ID-model,GO:0008150,GO:0046483,GO:1901360,GO:0090304,GO:0006725,GO:0006139,GO:0016070,GO:0034641,GO:0006807,GO:1901576,GO:0009058,GO:0044249,GO:0044763,GO:0044281,GO:0043170,GO:0044260,GO:0010467,GO:0060255,GO:0050794,GO:0044710,GO:0008152,GO:0065007,GO:0019222,GO:0080090,GO:0044238,GO:0044699,GO:0050789,GO:0031323,GO:0044237,GO:0071704,GO:0009987
105-2,NaN,0.86,0.85,0.83,0.87,0.81,0.84,0.81,0.78,0.74,0.72,0.72,0.54,0.82,0.74,0.72,0.79,0.78,0.77,0.81,0.75,0.71,0.75,0.74,0.78,0.50,0.74,0.74,0.70,0.79,0.58
105-3,NaN,0.84,0.81,0.83,0.82,0.78,0.81,0.78,0.75,0.70,0.68,0.67,0.61,0.80,0.69,0.67,0.74,0.78,0.73,0.80,0.70,0.71,0.76,0.77,0.70,0.58,0.72,0.77,0.67,0.70,0.54
106-1,NaN,0.60,0.60,0.53,0.58,0.56,0.54,0.60,0.60,0.60,0.59,0.59,0.64,0.61,0.58,0.51,0.53,0.53,0.51,0.61,0.59,0.56,0.57,0.53,0.56,0.69,0.53,0.53,0.58,0.57,0.57
106-2,NaN,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50
106-3,NaN,0.60,0.60,0.53,0.58,0.56,0.54,0.60,0.60,0.60,0.59,0.59,0.55,0.61,0.57,0.53,0.53,0.53,0.51,0.61,0.59,0.54,0.52,0.53,0.56,0.61,0.50,0.53,0.60,0.57,0.56
107-1,NaN,0.87,0.84,0.87,0.84,0.83,0.85,0.80,0.76,0.65,0.60,0.60,0.61,0.75,0.81,0.78,0.81,0.73,0.71,0.73,0.65,0.69,0.70,0.71,0.71,0.60,0.67,0.71,0.64,0.65,0.53
107-2,NaN,0.89,0.89,0.90,0.89,0.84,0.89,0.86,0.85,0.86,0.86,0.85,0.55,0.79,0.86,0.89,0.93,0.76,0.74,0.82,0.80,0.68,0.75,0.75,0.80,0.53,0.73,0.75,0.85,0.80,0.65
107-3,NaN,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50
108-1,NaN,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50
109-1,NaN,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50
110-1,NaN,0.84,0.82,0.80,0.83,0.83,0.75,0.81,0.77,0.76,0.75,0.74,0.68,0.78,0.80,0.71,0.71,0.60,0.58,0.70,0.76,0.59,0.56,0.60,0.74,0.66,0.56,0.60,0.70,0.71,0.57
110-2,NaN,0.79,0.79,0.75,0.76,0.75,0.75,0.80,0.80,0.74,0.72,0.73,0.67,0.89,0.67,0.64,0.70,0.71,0.68,0.82,0.67,0.74,0.64,0.69,0.64,0.67,0.66,0.68,0.69,0.69,0.61
110-3,NaN,0.75,0.74,0.62,0.70,0.67,0.62,0.73,0.73,0.87,0.85,0.86,0.42,0.76,0.76,0.74,0.64,0.46,0.48,0.69,0.75,0.56,0.50,0.51,0.71,0.44,0.53,0.50,0.74,0.73,0.53
111-1,NaN,0.81,0.79,0.77,0.80,0.81,0.73,0.78,0.72,0.76,0.75,0.74,0.66,0.78,0.76,0.67,0.70,0.61,0.59,0.72,0.72,0.59,0.57,0.61,0.70,0.63,0.56,0.60,0.66,0.67,0.56
111-2,NaN,0.74,0.72,0.61,0.69,0.66,0.61,0.72,0.72,0.87,0.85,0.86,0.39,0.77,0.75,0.73,0.64,0.46,0.49,0.70,0.74,0.56,0.50,0.51,0.69,0.41,0.53,0.50,0.73,0.72,0.52
111-3,NaN,0.52,0.52,0.53,0.53,0.53,0.54,0.52,0.52,0.49,0.49,0.49,0.51,0.50,0.52,0.53,0.53,0.50,0.49,0.50,0.52,0.48,0.50,0.50,0.52,0.51,0.49,0.50,0.52,0.52,0.53
112-1,NaN,0.86,0.85,0.85,0.82,0.83,0.76,0.85,0.86,0.95,0.93,0.93,0.62,0.90,0.85,0.83,0.81,0.59,0.57,0.82,0.75,0.66,0.53,0.58,0.77,0.65,0.56,0.57,0.76,0.77,0.67
112-2,NaN,0.87,0.85,0.85,0.83,0.83,0.77,0.86,0.86,0.95,0.93,0.93,0.63,0.90,0.86,0.84,0.82,0.60,0.58,0.82,0.75,0.66,0.53,0.59,0.77,0.65,0.57,0.58,0.76,0.77,0.67
112-3,NaN,0.85,0.83,0.84,0.81,0.81,0.76,0.84,0.84,0.95,0.91,0.92,0.50,0.94,0.83,0.81,0.81,0.58,0.57,0.88,0.80,0.63,0.52,0.57,0.81,0.54,0.56,0.56,0.80,0.81,0.54
113-1,NaN,0.85,0.83,0.84,0.81,0.81,0.76,0.84,0.85,0.95,0.92,0.92,0.50,0.94,0.84,0.81,0.81,0.59,0.58,0.89,0.80,0.63,0.52,0.58,0.81,0.54,0.57,0.57,0.80,0.81,0.53
113-2,NaN,0.73,0.71,0.62,0.67,0.64,0.62,0.70,0.71,0.87,0.85,0.85,0.36,0.76,0.76,0.74,0.64,0.40,0.49,0.70,0.74,0.53,0.44,0.45,0.72,0.37,0.53,0.44,0.74,0.72,0.49
113-3,NaN,0.80,0.77,0.76,0.78,0.79,0.72,0.75,0.68,0.74,0.73,0.72,0.62,0.80,0.74,0.65,0.69,0.61,0.59,0.74,0.72,0.60,0.57,0.61,0.68,0.60,0.57,0.60,0.65,0.66,0.50
114-1,NaN,0.92,0.91,0.91,0.90,0.90,0.87,0.90,0.89,0.77,0.77,0.76,0.74,0.91,0.85,0.82,0.84,0.58,0.61,0.91,0.81,0.66,0.60,0.58,0.80,0.71,0.62,0.60,0.78,0.79,0.71
115-1,NaN,0.87,0.88,0.93,0.88,0.86,0.93,0.87,0.86,0.89,0.88,0.86,0.72,0.86,0.84,0.86,0.91,0.74,0.73,0.88,0.76,0.81,0.74,0.74,0.76,0.73,0.77,0.68,0.77,0.78,0.71
116-1,NaN,0.79,0.79,0.83,0.80,0.79,0.84,0.80,0.80,0.77,0.77,0.73,0.67,0.71,0.80,0.79,0.85,0.56,0.62,0.75,0.74,0.61,0.60,0.56,0.75,0.65,0.64,0.56,0.72,0.74,0.68
116-2,NaN,0.56,0.56,0.57,0.58,0.56,0.58,0.56,0.56,0.55,0.55,0.55,0.57,0.58,0.58,0.57,0.62,0.54,0.52,0.58,0.54,0.51,0.53,0.54,0.58,0.55,0.52,0.54,0.55,0.55,0.54
117-1,NaN,0.86,0.86,0.87,0.83,0.84,0.83,0.83,0.81,0.75,0.75,0.75,0.61,0.86,0.79,0.76,0.82,0.73,0.67,0.83,0.71,0.65,0.69,0.71,0.71,0.64,0.64,0.71,0.71,0.72,0.52
117-2,NaN,0.65,0.65,0.67,0.64,0.65,0.67,0.64,0.64,0.69,0.69,0.65,0.63,0.64,0.67,0.63,0.65,0.48,0.53,0.62,0.66,0.57,0.46,0.46,0.65,0.68,0.56,0.46,0.63,0.65,0.55
119-1,NaN,0.82,0.81,0.76,0.80,0.79,0.71,0.81,0.80,0.65,0.64,0.63,0.48,0.76,0.72,0.71,0.69,0.50,0.47,0.76,0.71,0.52,0.52,0.49,0.66,0.48,0.50,0.50,0.71,0.69,0.66
120-1,NaN,0.94,0.94,0.94,0.93,0.93,0.90,0.93,0.92,0.74,0.72,0.71,0.74,0.90,0.86,0.84,0.87,0.63,0.60,0.89,0.83,0.65,0.65,0.62,0.82,0.71,0.62,0.63,0.80,0.80,0.70
120-2,NaN,0.75,0.72,0.68,0.75,0.75,0.69,0.71,0.70,0.51,0.51,0.53,0.65,0.75,0.67,0.63,0.75,0.52,0.55,0.79,0.64,0.58,0.53,0.52,0.64,0.68,0.56,0.52,0.64,0.71,0.46
120-3,NaN,0.74,0.62,0.52,0.63,0.61,0.52,0.65,0.65,0.60,0.60,0.57,0.56,0.72,0.68,0.67,0.51,0.65,0.57,0.75,0.82,0.52,0.60,0.66,0.78,0.58,0.60,0.65,0.75,0.82,0.69
121-1,NaN,0.79,0.79,0.76,0.77,0.76,0.72,0.80,0.80,0.66,0.66,0.63,0.52,0.73,0.73,0.66,0.70,0.42,0.47,0.74,0.78,0.47,0.40,0.42,0.74,0.54,0.46,0.42,0.74,0.81,0.67
121-2,NaN,0.74,0.74,0.72,0.71,0.69,0.71,0.73,0.75,0.70,0.70,0.67,0.53,0.68,0.73,0.72,0.67,0.42,0.44,0.73,0.78,0.44,0.41,0.43,0.72,0.55,0.43,0.43,0.75,0.74,0.73
121-3,NaN,0.81,0.81,0.71,0.79,0.78,0.70,0.81,0.81,0.62,0.61,0.61,0.51,0.76,0.67,0.66,0.68,0.47,0.51,0.75,0.69,0.49,0.45,0.45,0.68,0.58,0.50,0.45,0.71,0.69,0.58
122-1,NaN,0.89,0.89,0.83,0.88,0.88,0.82,0.89,0.89,0.74,0.74,0.71,0.61,0.82,0.82,0.80,0.75,0.59,0.64,0.84,0.77,0.66,0.62,0.58,0.80,0.61,0.65,0.59,0.78,0.79,0.58
124-1,NaN,0.55,0.52,0.73,0.66,0.70,0.66,0.50,0.45,0.42,0.43,0.43,0.47,0.44,0.52,0.57,0.55,0.74,0.57,0.46,0.40,0.55,0.77,0.75,0.39,0.51,0.60,0.75,0.42,0.38,0.42
124-2,NaN,0.33,0.31,0.44,0.42,0.44,0.48,0.30,0.30,0.41,0.42,0.43,0.45,0.45,0.39,0.43,0.41,0.54,0.46,0.30,0.35,0.45,0.54,0.55,0.37,0.46,0.46,0.55,0.36,0.35,0.44
124-3,NaN,0.52,0.52,0.72,0.58,0.61,0.66,0.50,0.45,0.44,0.44,0.45,0.43,0.36,0.52,0.57,0.55,0.74,0.57,0.44,0.38,0.57,0.78,0.76,0.37,0.48,0.61,0.76,0.40,0.36,0.39
125-1,NaN,0.92,0.91,0.91,0.90,0.90,0.86,0.90,0.89,0.75,0.75,0.75,0.74,0.91,0.85,0.82,0.84,0.59,0.62,0.91,0.81,0.67,0.61,0.60,0.79,0.71,0.63,0.61,0.78,0.79,0.70
125-2,NaN,0.90,0.90,0.87,0.90,0.90,0.86,0.90,0.90,0.70,0.69,0.68,0.68,0.84,0.82,0.77,0.78,0.64,0.67,0.84,0.78,0.65,0.64,0.63,0.81,0.62,0.64,0.64,0.72,0.80,0.61
125-3,NaN,0.87,0.86,0.85,0.83,0.84,0.79,0.81,0.83,0.80,0.79,0.78,0.72,0.77,0.85,0.83,0.79,0.61,0.65,0.76,0.85,0.66,0.65,0.63,0.84,0.66,0.66,0.63,0.79,0.81,0.69
126-1,NaN,0.62,0.62,0.66,0.63,0.64,0.63,0.61,0.61,0.49,0.49,0.49,0.52,0.50,0.64,0.62,0.62,0.49,0.49,0.50,0.62,0.48,0.49,0.49,0.61,0.50,0.49,0.49,0.58,0.60,0.56
127-1,NaN,0.87,0.89,0.85,0.89,0.86,0.81,0.88,0.87,0.78,0.76,0.76,0.75,0.85,0.80,0.79,0.75,0.72,0.58,0.83,0.79,0.61,0.75,0.76,0.78,0.72,0.58,0.75,0.76,0.77,0.70
127-2,NaN,0.90,0.90,0.87,0.89,0.88,0.84,0.90,0.88,0.79,0.76,0.76,0.73,0.87,0.81,0.80,0.78,0.68,0.60,0.85,0.80,0.64,0.69,0.69,0.79,0.72,0.61,0.68,0.78,0.79,0.70
127-3,NaN,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50
128-1,NaN,0.59,0.57,0.60,0.61,0.58,0.65,0.60,0.56,0.70,0.70,0.70,0.59,0.73,0.57,0.59,0.61,0.69,0.54,0.70,0.53,0.57,0.64,0.70,0.53,0.60,0.54,0.68,0.54,0.51,0.54
129-1,NaN,0.86,0.86,0.84,0.85,0.84,0.81,0.84,0.83,0.78,0.77,0.76,0.51,0.89,0.75,0.75,0.80,0.77,0.67,0.81,0.73,0.58,0.75,0.80,0.76,0.50,0.62,0.82,0.73,0.76,0.59
129-2,NaN,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50
129-3,NaN,0.86,0.86,0.84,0.85,0.84,0.81,0.84,0.83,0.78,0.77,0.76,0.51,0.89,0.75,0.75,0.80,0.77,0.67,0.81,0.73,0.58,0.75,0.80,0.76,0.50,0.62,0.82,0.73,0.76,0.59
130-1,NaN,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50
130-2,NaN,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50
130-3,NaN,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50
131-1,NaN,0.86,0.86,0.84,0.84,0.83,0.85,0.86,0.86,0.73,0.72,0.68,0.62,0.76,0.84,0.79,0.79,0.52,0.50,0.76,0.79,0.52,0.57,0.52,0.81,0.60,0.53,0.53,0.75,0.82,0.65
131-2,NaN,0.86,0.86,0.85,0.85,0.84,0.87,0.87,0.87,0.75,0.73,0.70,0.68,0.75,0.80,0.78,0.81,0.52,0.54,0.75,0.77,0.57,0.56,0.50,0.76,0.64,0.56,0.52,0.75,0.76,0.68
131-3,NaN,0.80,0.82,0.82,0.81,0.80,0.89,0.81,0.82,0.73,0.73,0.71,0.69,0.78,0.76,0.73,0.87,0.49,0.72,0.75,0.69,0.72,0.53,0.53,0.70,0.71,0.71,0.54,0.65,0.68,0.61
132-1,NaN,0.87,0.85,0.81,0.85,0.85,0.74,0.87,0.86,0.91,0.89,0.85,0.67,0.89,0.82,0.76,0.72,0.60,0.58,0.85,0.76,0.64,0.55,0.59,0.73,0.65,0.58,0.59,0.73,0.76,0.65
132-2,NaN,0.86,0.85,0.80,0.84,0.84,0.74,0.86,0.84,0.87,0.85,0.85,0.57,0.93,0.81,0.76,0.72,0.59,0.58,0.92,0.79,0.62,0.54,0.58,0.78,0.57,0.58,0.58,0.78,0.78,0.56
65-1,NaN,0.48,0.49,0.41,0.42,0.44,0.44,0.48,0.48,0.68,0.70,0.67,0.48,0.78,0.39,0.40,0.43,0.63,0.63,0.73,0.42,0.62,0.64,0.64,0.35,0.54,0.64,0.63,0.44,0.48,0.42
65-2,NaN,0.52,0.49,0.41,0.44,0.44,0.45,0.50,0.48,0.68,0.69,0.67,0.48,0.78,0.39,0.40,0.45,0.63,0.63,0.72,0.43,0.61,0.63,0.62,0.36,0.53,0.65,0.60,0.45,0.48,0.35
65-3,NaN,0.51,0.50,0.40,0.45,0.45,0.45,0.49,0.48,0.69,0.69,0.65,0.48,0.75,0.38,0.38,0.43,0.65,0.62,0.74,0.42,0.62,0.64,0.62,0.37,0.49,0.66,0.61,0.44,0.46,0.35
68-1,NaN,0.69,0.69,0.65,0.67,0.63,0.67,0.65,0.64,0.70,0.72,0.72,0.67,0.75,0.67,0.67,0.66,0.71,0.59,0.77,0.58,0.59,0.65,0.71,0.62,0.64,0.58,0.68,0.59,0.53,0.54
68-2,NaN,0.72,0.72,0.66,0.67,0.64,0.68,0.71,0.70,0.64,0.65,0.66,0.56,0.77,0.67,0.68,0.67,0.62,0.58,0.83,0.62,0.53,0.61,0.61,0.56,0.52,0.58,0.61,0.59,0.58,0.53
69-1,NaN,0.80,0.81,0.89,0.83,0.84,0.89,0.80,0.79,0.84,0.82,0.80,0.67,0.74,0.77,0.79,0.90,0.78,0.79,0.79,0.71,0.81,0.77,0.78,0.70,0.68,0.79,0.75,0.72,0.74,0.62
69-2,NaN,0.71,0.71,0.83,0.73,0.73,0.86,0.71,0.70,0.88,0.87,0.85,0.69,0.79,0.73,0.75,0.90,0.79,0.78,0.84,0.66,0.80,0.78,0.79,0.62,0.66,0.78,0.75,0.67,0.67,0.60
70-1,NaN,0.76,0.73,0.77,0.78,0.77,0.82,0.77,0.77,0.72,0.79,0.79,0.75,0.75,0.74,0.78,0.80,0.73,0.66,0.77,0.73,0.68,0.64,0.66,0.78,0.72,0.61,0.68,0.73,0.66,0.64
70-2,NaN,0.75,0.71,0.69,0.78,0.68,0.57,0.70,0.72,0.68,0.68,0.67,0.63,0.82,0.51,0.59,0.53,0.64,0.71,0.64,0.63,0.57,0.70,0.64,0.55,0.59,0.63,0.66,0.67,0.62,0.53
70-3,NaN,0.65,0.64,0.61,0.65,0.66,0.65,0.68,0.68,0.62,0.68,0.58,0.60,0.67,0.61,0.55,0.63,0.84,0.77,0.69,0.64,0.65,0.83,0.84,0.60,0.64,0.77,0.84,0.63,0.58,0.59
72-1,NaN,0.76,0.76,0.73,0.74,0.73,0.75,0.74,0.74,0.70,0.70,0.70,0.63,0.72,0.71,0.71,0.70,0.58,0.63,0.71,0.68,0.65,0.61,0.58,0.68,0.68,0.65,0.58,0.67,0.70,0.57
72-2,NaN,0.60,0.60,0.58,0.61,0.61,0.59,0.65,0.65,0.57,0.57,0.57,0.53,0.50,0.64,0.62,0.59,0.53,0.55,0.50,0.69,0.53,0.52,0.53,0.67,0.53,0.54,0.53,0.67,0.65,0.54
73-1,NaN,0.73,0.73,0.74,0.71,0.70,0.73,0.73,0.72,0.70,0.69,0.70,0.55,0.83,0.59,0.64,0.68,0.66,0.65,0.82,0.62,0.61,0.69,0.58,0.61,0.58,0.68,0.61,0.64,0.63,0.45
73-2,NaN,0.73,0.73,0.74,0.71,0.70,0.76,0.73,0.72,0.68,0.68,0.69,0.58,0.83,0.58,0.63,0.71,0.67,0.64,0.82,0.62,0.63,0.69,0.58,0.60,0.60,0.68,0.60,0.64,0.62,0.46
73-3,NaN,0.59,0.57,0.68,0.61,0.62,0.68,0.58,0.56,0.56,0.56,0.56,0.61,0.71,0.61,0.60,0.60,0.72,0.67,0.65,0.51,0.65,0.70,0.67,0.56,0.59,0.68,0.66,0.51,0.51,0.49
74-1,NaN,0.64,0.66,0.67,0.63,0.62,0.58,0.61,0.58,0.67,0.67,0.67,0.67,0.61,0.64,0.71,0.60,0.39,0.46,0.67,0.60,0.53,0.44,0.40,0.57,0.67,0.48,0.40,0.66,0.60,0.56
74-2,NaN,0.74,0.73,0.73,0.75,0.72,0.77,0.76,0.76,0.75,0.75,0.71,0.74,0.77,0.72,0.71,0.76,0.70,0.69,0.80,0.68,0.75,0.70,0.69,0.68,0.79,0.69,0.69,0.68,0.68,0.57
75-1,NaN,0.80,0.81,0.89,0.83,0.84,0.89,0.80,0.79,0.84,0.82,0.80,0.74,0.74,0.77,0.79,0.90,0.78,0.79,0.79,0.71,0.84,0.77,0.78,0.70,0.73,0.79,0.75,0.71,0.74,0.62
75-2,NaN,0.73,0.73,0.86,0.75,0.75,0.89,0.73,0.72,0.87,0.86,0.84,0.71,0.79,0.75,0.76,0.91,0.79,0.78,0.84,0.67,0.83,0.78,0.79,0.63,0.70,0.78,0.75,0.67,0.68,0.60
79-1,NaN,0.83,0.83,0.80,0.83,0.82,0.76,0.82,0.81,0.81,0.79,0.79,0.67,0.81,0.79,0.77,0.80,0.64,0.63,0.86,0.78,0.62,0.62,0.62,0.80,0.62,0.62,0.63,0.76,0.79,0.64
79-2,NaN,0.72,0.72,0.67,0.70,0.68,0.59,0.72,0.70,0.73,0.71,0.71,0.61,0.76,0.63,0.58,0.58,0.60,0.48,0.80,0.65,0.51,0.57,0.60,0.61,0.60,0.46,0.60,0.60,0.63,0.58
79-3,NaN,0.90,0.90,0.88,0.89,0.89,0.87,0.90,0.89,0.86,0.85,0.85,0.66,0.87,0.91,0.90,0.83,0.71,0.74,0.84,0.85,0.75,0.68,0.70,0.89,0.67,0.73,0.71,0.89,0.90,0.76
80-1,NaN,0.75,0.78,0.78,0.76,0.76,0.71,0.72,0.69,0.79,0.78,0.78,0.77,0.61,0.75,0.80,0.76,0.44,0.58,0.66,0.64,0.66,0.50,0.45,0.65,0.76,0.60,0.46,0.68,0.66,0.63
80-2,NaN,0.79,0.78,0.80,0.80,0.77,0.85,0.81,0.81,0.78,0.77,0.73,0.72,0.77,0.76,0.75,0.84,0.69,0.70,0.80,0.71,0.75,0.70,0.68,0.71,0.76,0.70,0.69,0.70,0.71,0.64
81-1,NaN,0.76,0.76,0.73,0.74,0.72,0.77,0.77,0.77,0.73,0.73,0.73,0.66,0.72,0.68,0.71,0.75,0.54,0.56,0.77,0.70,0.59,0.51,0.53,0.67,0.67,0.56,0.52,0.71,0.66,0.68
81-2,NaN,0.76,0.76,0.73,0.74,0.72,0.77,0.77,0.77,0.73,0.73,0.73,0.66,0.72,0.68,0.71,0.75,0.54,0.56,0.77,0.70,0.59,0.51,0.53,0.67,0.67,0.56,0.52,0.71,0.66,0.68
82-1,NaN,0.83,0.83,0.80,0.81,0.82,0.78,0.72,0.72,0.84,0.74,0.69,0.61,0.75,0.76,0.75,0.75,0.67,0.65,0.75,0.72,0.68,0.64,0.66,0.67,0.61,0.66,0.66,0.67,0.66,0.66
83-1,NaN,0.80,0.80,0.80,0.80,0.79,0.79,0.79,0.82,0.65,0.64,0.59,0.59,0.78,0.70,0.70,0.77,0.77,0.73,0.78,0.49,0.74,0.75,0.75,0.63,0.60,0.71,0.76,0.49,0.49,0.46
83-2,NaN,0.75,0.73,0.78,0.78,0.77,0.78,0.74,0.78,0.69,0.68,0.64,0.64,0.75,0.72,0.71,0.77,0.84,0.79,0.76,0.49,0.71,0.80,0.81,0.63,0.66,0.78,0.81,0.51,0.49,0.53
84-1,NaN,0.71,0.71,0.72,0.75,0.77,0.73,0.68,0.74,0.71,0.72,0.69,0.54,0.83,0.68,0.70,0.69,0.46,0.59,0.85,0.69,0.56,0.38,0.46,0.67,0.58,0.55,0.43,0.71,0.68,0.54
