GO:0000001	mitochondrion inheritance
GO:0000466	maturation of 5.8S rRNA from tricistronic rRNA transcript (SSU-rRNA, 5.8S rRNA, LSU-rRNA)
GO:0000467	exonucleolytic trimming to generate mature 3'-end of 5.8S rRNA from tricistronic rRNA transcript (SSU-rRNA, 5.8S rRNA, LSU-rRNA)
GO:0000468	generation of mature 3'-end of LSU-rRNA from tricistronic rRNA transcript (SSU-rRNA, 5.8S rRNA, LSU-rRNA)
GO:0000469	cleavage involved in rRNA processing
GO:0000470	maturation of LSU-rRNA
GO:0000471	endonucleolytic cleavage in 3'-ETS of tricistronic rRNA transcript (SSU-rRNA, 5.8S rRNA, LSU-rRNA)
GO:0000472	endonucleolytic cleavage to generate mature 5'-end of SSU-rRNA from (SSU-rRNA, 5.8S rRNA, LSU-rRNA)
GO:0000473	maturation of LSU-rRNA from tetracistronic rRNA transcript (SSU-rRNA, 5.8S rRNA, 2S rRNA, LSU-rRNA)
GO:0000474	maturation of SSU-rRNA from tetracistronic rRNA transcript (SSU-rRNA, 5.8S rRNA, 2S rRNA, LSU-rRNA)
GO:0000475	maturation of 2S rRNA
GO:0000476	maturation of 4.5S rRNA
GO:0000477	generation of mature 5'-end of LSU-rRNA from tricistronic rRNA transcript (SSU-rRNA, 5.8S rRNA, LSU-rRNA)
GO:0000478	endonucleolytic cleavage involved in rRNA processing
GO:0000479	endonucleolytic cleavage of tricistronic rRNA transcript (SSU-rRNA, 5.8S rRNA, LSU-rRNA)
GO:0000480	endonucleolytic cleavage in 5'-ETS of tricistronic rRNA transcript (SSU-rRNA, 5.8S rRNA, LSU-rRNA)
GO:0000481	maturation of 5S rRNA
GO:0000482	maturation of 5S rRNA from tetracistronic rRNA transcript (SSU-rRNA, 5.8S rRNA, LSU-rRNA)
GO:0000483	endonucleolytic cleavage of tetracistronic rRNA transcript (SSU-rRNA, 5.8S rRNA, 2S rRNA, LSU-rRNA)
GO:0000484	cleavage between SSU-rRNA and 5.8S rRNA of tetracistronic rRNA transcript (SSU-rRNA, 5.8S rRNA, 2S rRNA, LSU-rRNA)
GO:0000485	cleavage between 2S rRNA and LSU-rRNA of tetracistronic rRNA transcript (SSU-rRNA, 5.8S rRNA, 2S rRNA, LSU-rRNA)
GO:0000486	cleavage between 5.8S rRNA and 2S rRNA of tetracistronic rRNA transcript (SSU-rRNA, 5.8S rRNA, 2S rRNA, LSU-rRNA)
GO:0000487	maturation of 5.8S rRNA from tetracistronic rRNA transcript (SSU-rRNA, 5.8S rRNA, 2S rRNA, LSU-rRNA)
GO:0000488	maturation of LSU-rRNA from tetracistronic rRNA transcript (SSU-rRNA, LSU-rRNA, 4.5S-rRNA, 5S-rRNA)
GO:0000489	maturation of SSU-rRNA from tetracistronic rRNA transcript (SSU-rRNA, LSU-rRNA, 4.5S-rRNA, 5S-rRNA)
GO:0000491	small nucleolar ribonucleoprotein complex assembly
GO:0000492	box C/D snoRNP assembly
GO:0000493	box H/ACA snoRNP assembly
GO:0000494	box C/D snoRNA 3'-end processing
GO:0000495	box H/ACA snoRNA 3'-end processing
GO:0000501	flocculation via cell wall protein-carbohydrate interaction
GO:0000578	embryonic axis specification
GO:0000705	achiasmate meiosis I
GO:0000706	meiotic DNA double-strand break processing
GO:0000707	meiotic DNA recombinase assembly
GO:0000708	meiotic strand invasion
GO:0000709	meiotic joint molecule formation
GO:0000710	meiotic mismatch repair
GO:0000711	meiotic DNA repair synthesis
GO:0000712	resolution of meiotic recombination intermediates
GO:0000713	meiotic heteroduplex formation
GO:0000714	meiotic strand displacement
GO:0000715	nucleotide-excision repair, DNA damage recognition
GO:0000716	transcription-coupled nucleotide-excision repair, DNA damage recognition
GO:0000717	nucleotide-excision repair, DNA duplex unwinding
GO:0000718	nucleotide-excision repair, DNA damage removal
GO:0000719	photoreactive repair
GO:0000720	pyrimidine dimer repair by nucleotide-excision repair
GO:0000722	telomere maintenance via recombination
GO:0000723	telomere maintenance
GO:0000724	double-strand break repair via homologous recombination
GO:0000725	recombinational repair
GO:0000726	non-recombinational repair
GO:0000727	double-strand break repair via break-induced replication
GO:0000728	gene conversion at mating-type locus, DNA double-strand break formation
GO:0000729	DNA double-strand break processing
GO:0000730	DNA recombinase assembly
GO:0000731	DNA synthesis involved in DNA repair
GO:0000732	strand displacement
GO:0000733	DNA strand renaturation
GO:0000734	gene conversion at mating-type locus, DNA repair synthesis
GO:0000735	removal of nonhomologous ends
GO:0000736	double-strand break repair via single-strand annealing, removal of nonhomologous ends
GO:0000737	DNA catabolic process, endonucleolytic
GO:0000738	DNA catabolic process, exonucleolytic
GO:0000740	nuclear membrane fusion
GO:0000741	karyogamy
GO:0000742	karyogamy involved in conjugation with cellular fusion
GO:0000743	nuclear migration involved in conjugation with cellular fusion
GO:0000744	karyogamy involved in conjugation with mutual genetic exchange
GO:0000745	nuclear migration involved in conjugation with mutual genetic exchange
GO:0000746	conjugation
GO:0000747	conjugation with cellular fusion
GO:0000748	conjugation with mutual genetic exchange
GO:0000749	response to pheromone involved in conjugation with cellular fusion
GO:0000750	pheromone-dependent signal transduction involved in conjugation with cellular fusion
GO:0000751	cell cycle arrest in response to pheromone
GO:0000752	agglutination involved in conjugation with cellular fusion
GO:0000753	cell morphogenesis involved in conjugation with cellular fusion
GO:0000754	adaptation of signaling pathway by response to pheromone involved in conjugation with cellular fusion
GO:0000755	cytogamy
GO:0000756	response to pheromone involved in conjugation with mutual genetic exchange
GO:0000757	signal transduction involved in conjugation with mutual genetic exchange
GO:0000758	agglutination involved in conjugation with mutual genetic exchange
GO:0000759	cell morphogenesis involved in conjugation with mutual genetic exchange
GO:0000760	adaptation to pheromone involved in conjugation with mutual genetic exchange
GO:0000761	conjugant formation
GO:0000762	pheromone-induced unidirectional conjugation
GO:0000765	response to pheromone involved in pheromone-induced unidirectional conjugation
GO:0000766	negative adaptation of signaling pathway by response to pheromone involved in pheromone-induced unidirectional conjugation
GO:0000767	cell morphogenesis involved in conjugation
GO:0000768	syncytium formation by plasma membrane fusion
GO:0000769	syncytium formation by mitosis without cytokinesis
GO:0000770	peptide pheromone export
GO:0000771	agglutination involved in conjugation
GO:0000819	sister chromatid segregation
GO:0000820	regulation of glutamine family amino acid metabolic process
GO:0000821	regulation of arginine metabolic process
GO:0000902	cell morphogenesis
GO:0000903	regulation of cell shape during vegetative growth phase
GO:0000904	cell morphogenesis involved in differentiation
GO:0000905	sporocarp development involved in asexual reproduction
GO:0000909	sporocarp development involved in sexual reproduction
GO:0000910	cytokinesis
GO:0000911	cytokinesis by cell plate formation
GO:0000912	assembly of actomyosin apparatus involved in cytokinesis
GO:0000913	preprophase band assembly
GO:0000914	phragmoplast assembly
GO:0000915	cytokinesis, actomyosin contractile ring assembly
GO:0000916	actomyosin contractile ring contraction
GO:0000917	barrier septum assembly
GO:0000918	barrier septum site selection
GO:0000919	cell plate assembly
GO:0000920	cytokinetic cell separation
GO:0000921	septin ring assembly
GO:0000947	amino acid catabolic process to alcohol via Ehrlich pathway
GO:0000948	amino acid catabolic process to carboxylic acid via Ehrlich pathway
GO:0000949	aromatic amino acid family catabolic process to alcohol via Ehrlich pathway
GO:0000950	branched-chain amino acid catabolic process to alcohol via Ehrlich pathway
GO:0000951	methionine catabolic process to 3-methylthiopropanol
GO:0000952	aromatic amino acid family catabolic process to carboxylic acid via Ehrlich pathway
GO:0000953	branched-chain amino acid catabolic process to carboxylic acid via Ehrlich pathway
GO:0000954	methionine catabolic process to 3-methylthiopropanoate
GO:0000955	amino acid catabolic process via Ehrlich pathway
GO:0000956	nuclear-transcribed mRNA catabolic process
GO:0000957	mitochondrial RNA catabolic process
GO:0000958	mitochondrial mRNA catabolic process
GO:0000959	mitochondrial RNA metabolic process
GO:0000960	regulation of mitochondrial RNA catabolic process
GO:0000961	negative regulation of mitochondrial RNA catabolic process
GO:0000962	positive regulation of mitochondrial RNA catabolic process
GO:0000963	mitochondrial RNA processing
GO:0000964	mitochondrial RNA 5'-end processing
GO:0000965	mitochondrial RNA 3'-end processing
GO:0000966	RNA 5'-end processing
GO:0000967	rRNA 5'-end processing
GO:0000968	tRNA exon ligation
GO:0000969	tRNA exon ligation utilizing ATP as source of linkage phosphate
GO:0000970	tRNA exon ligation utilizing GTP as source of linkage phosphate
GO:0000971	tRNA exon ligation utilizing 2',3' cyclic phosphate of 5'-exon as source of linkage phosphate
GO:0000972	transcription-dependent tethering of RNA polymerase II gene DNA at nuclear periphery
GO:0000973	posttranscriptional tethering of RNA polymerase II gene DNA at nuclear periphery
GO:0000999	RNA polymerase III type 1 promoter transcriptional preinitiation complex assembly
GO:0001009	transcription from RNA polymerase III type 2 promoter
GO:0001014	snoRNA transcription from a type 2 RNA polymerase III promoter
GO:0001015	snoRNA transcription from an RNA polymerase II promoter
GO:0001020	RNA polymerase III type 3 promoter transcriptional preinitiation complex assembly
GO:0001021	RNA polymerase III type 2 promoter transcriptional preinitiation complex assembly
GO:0001022	transcription initiation from RNA polymerase III type 1 promoter
GO:0001023	transcription initiation from RNA polymerase III type 2 promoter
GO:0001024	transcription initiation from RNA polymerase III type 3 promoter
GO:0001035	transcription from RNA polymerase III type 3 promoter
GO:0001036	transcription initiation from RNA polymerase III hybrid type promoter
GO:0001041	transcription from a RNA polymerase III hybrid type promoter
GO:0001043	RNA polymerase III hybrid type promoter transcriptional preinitiation complex assembly
GO:0001059	transcription from RNA polymerase IV promoter
GO:0001060	transcription from RNA polymerase V promoter
GO:0001079	nitrogen catabolite regulation of transcription from RNA polymerase II promoter
GO:0001080	nitrogen catabolite activation of transcription from RNA polymerase II promoter
GO:0001081	nitrogen catabolite repression of transcription from RNA polymerase II promoter
GO:0001100	negative regulation of exit from mitosis
GO:0001101	response to acid
GO:0001109	promoter clearance during DNA-dependent transcription
GO:0001110	promoter clearance from RNA polymerase III promoter
GO:0001111	promoter clearance from RNA polymerase II promoter
GO:0001112	DNA-dependent transcriptional open complex formation
GO:0001113	transcriptional open complex formation at RNA polymerase II promoter
GO:0001115	protein-DNA-RNA complex subunit organization
GO:0001116	protein-DNA-RNA complex assembly
GO:0001117	protein-DNA-RNA complex disassembly
GO:0001118	transcription ternary complex disassembly
GO:0001119	protein-DNA-RNA complex remodeling
GO:0001120	protein-DNA complex remodeling
GO:0001121	transcription from bacterial-type RNA polymerase promoter
GO:0001122	promoter clearance from bacterial-type RNA polymerase promoter
GO:0001123	transcription initiation from bacterial-type RNA polymerase promoter
GO:0001124	transcription elongation from bacterial-type RNA polymerase promoter
GO:0001125	transcription termination from bacterial-type RNA polymerase promoter
GO:0001126	bacterial-type RNA polymerase preinitiation complex assembly
GO:0001127	transcriptional open complex formation at bacterial-type RNA polymerase promoter
GO:0001171	reverse transcription
GO:0001172	transcription, RNA-dependent
GO:0001173	DNA-dependent transcriptional start site selection
GO:0001174	transcriptional start site selection at RNA polymerase II promoter
GO:0001175	transcriptional start site selection at RNA polymerase III promoter
GO:0001176	transcriptional start site selection at bacterial-type RNA polymerase promoter
GO:0001177	regulation of transcriptional open complex formation at RNA polymerase II promoter
GO:0001178	regulation of transcriptional start site selection at RNA polymerase II promoter
GO:0001180	transcription initiation from RNA polymerase I promoter for nuclear large rRNA transcript
GO:0001182	promoter clearance from RNA polymerase I promoter
GO:0001183	transcription elongation from RNA polymerase I promoter for nuclear large rRNA transcript
GO:0001184	promoter clearance from RNA polymerase I promoter for nuclear large rRNA transcript
GO:0001185	termination of RNA polymerase I transcription from promoter for nuclear large rRNA transcript
GO:0001188	RNA polymerase I transcriptional preinitiation complex assembly
GO:0001189	RNA polymerase I transcriptional preinitiation complex assembly at the promoter for the nuclear large rRNA transcript
GO:0001192	maintenance of transcriptional fidelity during DNA-dependent transcription elongation
GO:0001193	maintenance of transcriptional fidelity during DNA-dependent transcription elongation from RNA polymerase II promoter
GO:0001194	maintenance of transcriptional fidelity during DNA-dependent transcription elongation from bacterial-type RNA polymerase promoter
GO:0001195	maintenance of transcriptional fidelity during DNA-dependent transcription elongation from RNA polymerase III promoter
GO:0001196	regulation of mating-type specific transcription from RNA polymerase II promoter
GO:0001197	positive regulation of mating-type specific transcription from RNA polymerase II promoter
GO:0001198	negative regulation of mating-type specific transcription from RNA polymerase II promoter
GO:0001207	histone displacement
GO:0001208	histone H2A-H2B dimer displacement
GO:0001300	chronological cell aging
GO:0001301	progressive alteration of chromatin involved in cell aging
GO:0001302	replicative cell aging
GO:0001303	nucleolar fragmentation involved in replicative aging
GO:0001304	progressive alteration of chromatin involved in replicative cell aging
GO:0001305	progressive alteration of chromatin involved in chronological cell aging
GO:0001306	age-dependent response to oxidative stress
GO:0001307	extrachromosomal circular DNA accumulation involved in replicative cell aging
GO:0001308	negative regulation of chromatin silencing involved in replicative cell aging
GO:0001309	age-dependent telomere shortening
GO:0001310	extrachromosomal rDNA circle accumulation involved in replicative cell aging
GO:0001311	formation of extrachromosomal circular rDNA by homologous recombination involved in replicative cell aging
GO:0001312	replication of extrachromosomal rDNA circles involved in replicative cell aging
GO:0001313	formation of extrachromosomal circular DNA involved in replicative cell aging
GO:0001314	replication of extrachromosomal circular DNA involved in replicative cell aging
GO:0001315	age-dependent response to reactive oxygen species
GO:0001316	age-dependent response to reactive oxygen species involved in replicative cell aging
GO:0001317	accumulation of oxidatively modified proteins involved in replicative cell aging
GO:0001318	formation of oxidatively modified proteins involved in replicative cell aging
GO:0001319	inheritance of oxidatively modified proteins involved in replicative cell aging
GO:0001320	age-dependent response to reactive oxygen species involved in chronological cell aging
GO:0001321	age-dependent general metabolic decline involved in replicative cell aging
GO:0001322	age-dependent response to oxidative stress involved in replicative cell aging
GO:0001323	age-dependent general metabolic decline involved in chronological cell aging
GO:0001324	age-dependent response to oxidative stress involved in chronological cell aging
GO:0001325	formation of extrachromosomal circular DNA
GO:0001326	replication of extrachromosomal circular DNA
GO:0001402	signal transduction involved in filamentous growth
GO:0001403	invasive growth in response to glucose limitation
GO:0001407	glycerophosphodiester transport
GO:0001408	guanine nucleotide transport
GO:0001410	chlamydospore formation
GO:0001501	skeletal system development
GO:0001502	cartilage condensation
GO:0001503	ossification
GO:0001504	neurotransmitter uptake
GO:0001505	regulation of neurotransmitter levels
GO:0001507	acetylcholine catabolic process in synaptic cleft
GO:0001508	regulation of action potential
GO:0001510	RNA methylation
GO:0001514	selenocysteine incorporation
GO:0001516	prostaglandin biosynthetic process
GO:0001519	peptide amidation
GO:0001522	pseudouridine synthesis
GO:0001523	retinoid metabolic process
GO:0001525	angiogenesis
GO:0001539	ciliary or flagellar motility
GO:0001541	ovarian follicle development
GO:0001542	ovulation from ovarian follicle
GO:0001543	ovarian follicle rupture
GO:0001544	initiation of primordial ovarian follicle growth
GO:0001545	primary ovarian follicle growth
GO:0001546	preantral ovarian follicle growth
GO:0001547	antral ovarian follicle growth
GO:0001548	follicular fluid formation in ovarian follicle antrum
GO:0001549	cumulus cell differentiation
GO:0001550	ovarian cumulus expansion
GO:0001551	ovarian follicle endowment
GO:0001552	ovarian follicle atresia
GO:0001553	luteinization
GO:0001554	luteolysis
GO:0001555	oocyte growth
GO:0001556	oocyte maturation
GO:0001558	regulation of cell growth
GO:0001559	regulation of cell growth by detection of nuclear:cytoplasmic ratio
GO:0001560	regulation of cell growth by extracellular stimulus
GO:0001561	fatty acid alpha-oxidation
GO:0001562	response to protozoan
GO:0001563	detection of protozoan
GO:0001568	blood vessel development
GO:0001569	patterning of blood vessels
GO:0001570	vasculogenesis
GO:0001572	lactosylceramide biosynthetic process
GO:0001573	ganglioside metabolic process
GO:0001574	ganglioside biosynthetic process
GO:0001575	globoside metabolic process
GO:0001576	globoside biosynthetic process
GO:0001578	microtubule bundle formation
GO:0001579	medium-chain fatty acid transport
GO:0001580	detection of chemical stimulus involved in sensory perception of bitter taste
GO:0001581	detection of chemical stimulus involved in sensory perception of sour taste
GO:0001582	detection of chemical stimulus involved in sensory perception of sweet taste
GO:0001583	detection of chemical stimulus involved in sensory perception of salty taste
GO:0001649	osteoblast differentiation
GO:0001654	eye development
GO:0001655	urogenital system development
GO:0001656	metanephros development
GO:0001657	ureteric bud development
GO:0001658	branching involved in ureteric bud morphogenesis
GO:0001659	temperature homeostasis
GO:0001660	fever generation
GO:0001661	conditioned taste aversion
GO:0001662	behavioral fear response
GO:0001666	response to hypoxia
GO:0001667	ameboidal cell migration
GO:0001672	regulation of chromatin assembly or disassembly
GO:0001675	acrosome assembly
GO:0001676	long-chain fatty acid metabolic process
GO:0001677	formation of translation initiation ternary complex
GO:0001678	cellular glucose homeostasis
GO:0001680	tRNA 3'-terminal CCA addition
GO:0001682	tRNA 5'-leader removal
GO:0001692	histamine metabolic process
GO:0001694	histamine biosynthetic process
GO:0001695	histamine catabolic process
GO:0001696	gastric acid secretion
GO:0001697	histamine-induced gastric acid secretion
GO:0001698	gastrin-induced gastric acid secretion
GO:0001699	acetylcholine-induced gastric acid secretion
GO:0001700	embryonic development via the syncytial blastoderm
GO:0001701	in utero embryonic development
GO:0001702	gastrulation with mouth forming second
GO:0001703	gastrulation with mouth forming first
GO:0001704	formation of primary germ layer
GO:0001705	ectoderm formation
GO:0001706	endoderm formation
GO:0001707	mesoderm formation
GO:0001708	cell fate specification
GO:0001709	cell fate determination
GO:0001710	mesodermal cell fate commitment
GO:0001711	endodermal cell fate commitment
GO:0001712	ectodermal cell fate commitment
GO:0001713	ectodermal cell fate determination
GO:0001714	endodermal cell fate specification
GO:0001715	ectodermal cell fate specification
GO:0001717	conversion of seryl-tRNAsec to selenocys-tRNAsec
GO:0001720	conversion of lysyl-tRNA to pyrrolysyl-tRNA
GO:0001731	formation of translation preinitiation complex
GO:0001732	formation of translation initiation complex
GO:0001736	establishment of planar polarity
GO:0001737	establishment of imaginal disc-derived wing hair orientation
GO:0001738	morphogenesis of a polarized epithelium
GO:0001742	oenocyte differentiation
GO:0001743	optic placode formation
GO:0001744	optic lobe placode formation
GO:0001745	compound eye morphogenesis
GO:0001746	Bolwig's organ morphogenesis
GO:0001748	optic lobe placode development
