HP:0000002	Abnormality of body height
HP:0000682	Abnormality of dental enamel
HP:0000683	Grayish enamel
HP:0000684	Delayed eruption of teeth
HP:0000685	Hypoplasia of teeth
HP:0000687	Widely spaced teeth
HP:0000689	Dental malocclusion
HP:0000690	Agenesis of maxillary lateral incisor
HP:0000691	Microdontia
HP:0000692	Misalignment of teeth
HP:0000694	Shell teeth
HP:0000695	Natal tooth
HP:0000696	Delayed eruption of permanent teeth
HP:0000698	Conical teeth
HP:0000699	Diastema
HP:0000700	Periapical radiolucency
HP:0000703	Dentinogenesis imperfecta
HP:0000704	Periodontitis
HP:0000705	Amelogenesis imperfecta
HP:0000706	Unerupted tooth
HP:0000707	Abnormality of the nervous system
HP:0000708	Behavioural/Psychiatric Abnormality
HP:0000709	Psychosis
HP:0000710	Hyperorality
HP:0000711	Restlessness
HP:0000712	Emotional lability
HP:0000713	Agitation
HP:0000716	Depression
HP:0000717	Autism
HP:0000718	Aggressive behavior
HP:0000719	Inappropriate behavior
HP:0000720	Mood swings
HP:0000721	Lack of spontaneous play
HP:0000722	Obsessive-compulsive disorder
HP:0000723	Restrictive behavior
HP:0000725	Psychotic episodes
HP:0000726	Dementia
HP:0000727	Frontal lobe dementia
HP:0000728	Impaired ability to form peer relationships
HP:0000729	Autism spectrum disorder
HP:0000732	Inflexible adherence to routines or rituals
HP:0000733	Stereotypic behavior
HP:0000734	Disinhibition
HP:0000735	Impaired social interactions
HP:0000736	Short attention span
HP:0000737	Irritability
HP:0000738	Hallucinations
HP:0000739	Anxiety
HP:0000740	Anxiety (with pheochromocytoma)
HP:0000741	Apathy
HP:0000742	Self-mutilation
HP:0000743	Frontal release signs
HP:0000744	Low frustration tolerance
HP:0000745	Lack of motivation
HP:0000746	Delusions
HP:0000748	Inappropriate laughter
HP:0000749	Paroxysmal bursts of laughter
HP:0000750	Delayed speech and language development
HP:0000751	Personality changes
HP:0000752	Hyperactivity
HP:0000753	Autism with high cognitive abilities
HP:0000756	Agoraphobia
HP:0000757	Lack of insight
HP:0000758	Impaired use of nonverbal behaviors
HP:0000759	Abnormality of the peripheral nervous system
HP:0000762	Decreased nerve conduction velocity
HP:0000763	Sensory neuropathy
HP:0000764	Peripheral axonal degeneration
HP:0000765	Abnormality of the thorax
HP:0000766	Abnormality of the sternum
HP:0000767	Pectus excavatum
HP:0000768	Pectus carinatum
HP:0000769	Abnormality of the breast
HP:0000771	Gynecomastia
HP:0000772	Abnormality of the ribs
HP:0000773	Short ribs
HP:0000774	Narrow chest
HP:0000775	Abnormality of the diaphragm
HP:0000776	Congenital diaphragmatic hernia
HP:0000777	Abnormality of the thymus
HP:0000778	Hypoplasia of the thymus
HP:0000782	Abnormality of the scapula
HP:0000786	Primary amenorrhea
HP:0000787	Nephrolithiasis
HP:0000789	Infertility
HP:0000790	Hematuria
HP:0000791	Uric acid nephrolithiasis
HP:0000792	Kidney malformation
HP:0000793	Membranoproliferative glomerulonephritis
HP:0000794	IgA nephropathy
HP:0000795	Abnormality of the urethra
HP:0000796	Urethral obstruction
HP:0000798	Oligospermia
HP:0000799	Fatty kidney
HP:0000800	Cystic renal dysplasia
HP:0000802	Impotence
HP:0000803	Renal cortical cysts
HP:0000804	Xanthine nephrolithiasis
HP:0000805	Enuresis
HP:0000806	Selective proximal tubular damage
HP:0000807	Glandular hypospadias
HP:0000808	Penoscrotal hypospadias
HP:0000809	Urinary tract atresia
HP:0000811	Abnormal external genitalia
HP:0000812	Abnormal internal genitalia
HP:0000813	Bicornuate uterus
HP:0000814	Multiple small renal cortical cysts
HP:0000815	Hypergonadotropic hypogonadism
HP:0000816	Abnormality of Krebs cycle metabolism
HP:0000817	Poor eye contact
HP:0000818	Abnormality of the endocrine system
HP:0000819	Diabetes mellitus
HP:0000820	Abnormality of the thyroid gland
HP:0000821	Hypothyroidism
HP:0000822	Hypertension
HP:0000823	Delayed puberty
HP:0000824	Growth hormone deficiency
HP:0000825	Hyperinsulinemic hypoglycemia
HP:0000826	Precocious puberty
HP:0000828	Abnormality of the parathyroid gland
HP:0000829	Hypoparathyroidism
HP:0000830	Anterior hypopituitarism
HP:0000831	Insulin-resistant diabetes mellitus
HP:0000832	Primary hypothyroidism
HP:0000833	Glucose intolerance
HP:0000834	Abnormality of the adrenal glands
HP:0000835	Adrenal hypoplasia
HP:0000836	Hyperthyroidism
HP:0000837	Gonadotropin excess
HP:0000839	Pituitary dwarfism
HP:0000840	Adrenogenital syndrome
HP:0000841	Hyperactive renin-angiotensin system
HP:0000842	Hyperinsulinemia
HP:0000843	Hyperparathyroidism
HP:0000845	Growth hormone excess
HP:0000846	Adrenal insufficiency
HP:0000847	Abnormality of renin-angiotensin system
HP:0000848	Increased circulating renin level
HP:0000849	Adrenocortical abnormality
HP:0000851	Congenital hypothyroidism
HP:0000852	Pseudohypoparathyroidism
HP:0000853	Goiter
HP:0000854	Thyroid adenoma
HP:0000855	Insulin resistance
HP:0000857	Neonatal insulin-dependent diabetes mellitus
HP:0000858	Menstrual irregularities
HP:0000859	Hyperaldosteronism
HP:0000860	Parathyroid hypoplasia
HP:0000863	Central diabetes insipidus
HP:0000864	Abnormality of the hypothalamus-pituitary axis
HP:0000866	Euthyroid multinodular goiter
HP:0000867	Secondary hyperparathyroidism
HP:0000868	Decreased fertility in females
HP:0000869	Secondary amenorrhea
HP:0000870	Prolactin excess
HP:0000871	Panhypopituitarism
HP:0000872	Hashimoto thyroiditis
HP:0000873	Diabetes insipidus
HP:0000875	Episodic hypertension
HP:0000876	Oligomenorrhea
HP:0000877	Insulin-resistant diabetes mellitus at puberty
HP:0000878	11 pairs of ribs
HP:0000879	Short sternum
HP:0000882	Hypoplastic scapulae
HP:0000883	Thin ribs
HP:0000884	Prominent sternum
HP:0000885	Broad ribs
HP:0000886	Deformed rib cage
HP:0000887	Cupped ribs
HP:0000888	Horizontal ribs
HP:0000889	Abnormality of the clavicles
HP:0000890	Long clavicles
HP:0000891	Cervical ribs
HP:0000892	Bifid ribs
HP:0000893	Bulging of the costochondral junction
HP:0000894	Short clavicles
HP:0000895	Hooked clavicles
HP:0000896	Rib exostoses
HP:0000897	Rachitic rosary
HP:0000900	Thickened ribs
HP:0000902	Rib fusion
HP:0000904	Flaring of rib cage
HP:0000905	Progressive clavicular acroosteolysis
HP:0000907	Anterior rib cupping
HP:0000910	Wide-cupped costochondral junctions
HP:0000911	Flat glenoid fossa
HP:0000912	Sprengel anomaly
HP:0000913	Posterior rib fusion
HP:0000914	Shield chest
HP:0000915	Pectus excavatum of inferior sternum
HP:0000916	Broad clavicles
HP:0000917	Superior pectus carinatum
HP:0000918	Scapular exostoses
HP:0000919	Abnormality of the costochondral junction
HP:0000920	Enlargement of the costochondral junction
HP:0000921	Missing ribs
HP:0000922	Posterior rib cupping
HP:0000923	Beaded ribs
HP:0000924	Abnormality of the skeletal system
HP:0000925	Abnormality of the vertebral column
HP:0000926	Platyspondyly
HP:0000927	Abnormality of skeletal maturation
HP:0000929	Abnormality of the skull
HP:0000930	Elevated imprint of the transverse sinuses
HP:0000931	Thinning and bulging of the posterior fossa bones
HP:0000932	Abnormality of the posterior cranial fossa
HP:0000933	Posterior fossa cyst at the fourth ventricle
HP:0000934	Chondrocalcinosis
HP:0000935	Thickened cortex of long bones
HP:0000938	Osteopenia
HP:0000939	Osteoporosis
HP:0000940	Abnormal diaphysis morphology
HP:0000941	Short diaphyses
HP:0000943	Dysostosis multiplex
HP:0000944	Abnormality of the metaphyses
HP:0000945	Flared irregular metaphyses
HP:0000946	Hypoplastic ilia
HP:0000947	Dumbbell-shaped long bone
HP:0000951	Abnormality of the skin
HP:0000952	Jaundice
HP:0000953	Hyperpigmentation of the skin
HP:0000954	Single transverse palmar crease
HP:0000956	Acanthosis nigricans
HP:0000957	Cafe-au-lait spot
HP:0000958	Dry skin
HP:0000960	Sacral dimple
HP:0000961	Cyanosis
HP:0000962	Hyperkeratosis
HP:0000963	Thin skin
HP:0000964	Eczema
HP:0000965	Cutis marmorata
HP:0000966	Hypohidrosis
HP:0000967	Petechiae
HP:0000968	Ectodermal dysplasia
HP:0000969	Edema
HP:0000970	Anhidrosis
HP:0000971	Abnormality of the sweat gland
HP:0000972	Palmoplantar hyperkeratosis
HP:0000973	Cutis laxa
HP:0000974	Hyperextensible skin
HP:0000975	Hyperhidrosis
HP:0000976	Eczematoid dermatitis
HP:0000977	Soft skin
HP:0000978	Bruising susceptibility
HP:0000979	Purpura
HP:0000980	Pallor
HP:0000982	Palmoplantar keratoderma
HP:0000987	Atypical scarring of skin
HP:0000988	Skin rash
HP:0000989	Pruritus
HP:0000991	Xanthomatosis
HP:0000992	Cutaneous photosensitivity
HP:0000993	Molluscoid pseudotumors
HP:0000995	Pigmented nevi
HP:0000996	Facial capillary hemangioma
HP:0000997	Axillary freckling
HP:0000998	Hypertrichosis
HP:0000999	Pyoderma
HP:0001000	Abnormality of skin pigmentation
HP:0001001	Abnormality of subcutaneous fat tissue
HP:0001002	Decreased subcutaneous fat
HP:0001003	Multiple lentigines
HP:0001004	Lymphedema
HP:0001005	Dermatological manifestations of systemic disorders
HP:0001006	Hypotrichosis
HP:0001007	Hirsutism
HP:0001008	Accumulation of melanosomes in melanocytes
HP:0001009	Telangiectasia
HP:0001010	Hypopigmentation of the skin
HP:0001011	Diaphoresis (with pheochromocytoma)
HP:0001012	Multiple lipomas
HP:0001013	Eruptive xanthomas
HP:0001014	Angiokeratoma
HP:0001015	Prominent superficial veins
HP:0001017	Anemic pallor
HP:0001018	Abnormal palmar dermatoglyphics
HP:0001019	Erythroderma
