ID-model,GO:0005575,GO:0031981,GO:0070013,GO:0043233,GO:0031974,GO:0044428,GO:0030054,GO:0005886,GO:0071944,GO:0005739,GO:0070161,GO:0032991,GO:0005615,GO:0005912,GO:0044421,GO:0005634,GO:0005730,GO:0005576,GO:0043234,GO:0043228,GO:0043232,GO:0005829,GO:0043231,GO:0005856,GO:0016020,GO:0044444,GO:0005794,GO:0005924,GO:0043229,GO:0030055,GO:0031988,GO:0044446,GO:0044422,GO:0031982,GO:0070062,GO:0043230,GO:0065010,GO:0005925,GO:0044424,GO:0005622,GO:0005737,GO:0043227,GO:0043226,GO:0005623,GO:0044464
131-3,NaN,0.66,0.64,0.64,0.64,0.66,0.55,0.70,0.69,0.88,0.50,0.59,0.66,0.52,0.58,0.76,0.59,0.61,0.63,0.61,0.61,0.62,0.74,0.64,0.66,0.66,0.54,0.53,0.68,0.50,0.54,0.53,0.52,0.53,0.52,0.50,0.50,0.64,0.63,0.63,0.59,0.53,0.51,0.59,0.59
132-1,NaN,0.85,0.80,0.80,0.82,0.83,0.84,0.73,0.75,0.74,0.82,0.67,0.72,0.84,0.63,0.77,0.67,0.65,0.69,0.74,0.74,0.62,0.65,0.77,0.57,0.67,0.57,0.78,0.63,0.79,0.63,0.66,0.65,0.61,0.50,0.52,0.52,0.69,0.63,0.63,0.61,0.51,0.52,0.59,0.59
132-2,NaN,0.85,0.80,0.80,0.82,0.84,0.84,0.73,0.76,0.73,0.82,0.64,0.72,0.84,0.63,0.76,0.67,0.64,0.65,0.74,0.74,0.62,0.65,0.77,0.56,0.68,0.57,0.78,0.63,0.79,0.63,0.65,0.63,0.61,0.50,0.52,0.52,0.69,0.64,0.64,0.62,0.50,0.52,0.61,0.61
65-1,NaN,0.75,0.75,0.75,0.75,0.76,0.81,0.51,0.52,0.52,0.84,0.62,0.58,0.81,0.65,0.65,0.60,0.65,0.62,0.66,0.66,0.53,0.58,0.66,0.45,0.53,0.72,0.65,0.57,0.68,0.65,0.69,0.68,0.64,0.55,0.57,0.56,0.60,0.55,0.55,0.50,0.59,0.58,0.52,0.52
65-2,NaN,0.74,0.73,0.74,0.74,0.75,0.83,0.52,0.52,0.63,0.66,0.67,0.60,0.64,0.64,0.67,0.51,0.64,0.67,0.66,0.66,0.57,0.58,0.65,0.47,0.54,0.55,0.60,0.57,0.65,0.66,0.69,0.68,0.64,0.54,0.56,0.55,0.57,0.56,0.56,0.50,0.59,0.58,0.53,0.53
65-3,NaN,0.74,0.74,0.74,0.74,0.75,0.85,0.52,0.52,0.58,0.66,0.62,0.60,0.64,0.65,0.66,0.52,0.65,0.62,0.66,0.66,0.53,0.58,0.66,0.45,0.52,0.59,0.61,0.57,0.65,0.64,0.69,0.68,0.64,0.54,0.55,0.55,0.55,0.55,0.55,0.50,0.59,0.58,0.52,0.52
68-1,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
68-2,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
69-1,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
69-2,NaN,0.84,0.83,0.82,0.81,0.80,0.76,0.67,0.66,0.75,0.72,0.63,0.71,0.72,0.64,0.70,0.69,0.65,0.65,0.69,0.69,0.54,0.68,0.68,0.63,0.61,0.66,0.69,0.66,0.71,0.61,0.63,0.64,0.60,0.56,0.56,0.56,0.68,0.61,0.62,0.59,0.47,0.50,0.60,0.60
70-1,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
70-2,NaN,0.82,0.86,0.86,0.84,0.83,0.80,0.74,0.74,0.78,0.83,0.72,0.69,0.84,0.65,0.80,0.75,0.67,0.72,0.77,0.77,0.72,0.80,0.72,0.58,0.74,0.68,0.74,0.78,0.76,0.54,0.75,0.73,0.63,0.50,0.50,0.50,0.65,0.75,0.75,0.59,0.54,0.51,0.72,0.72
70-3,NaN,0.82,0.82,0.82,0.83,0.82,0.81,0.81,0.81,0.75,0.80,0.72,0.52,0.80,0.59,0.76,0.50,0.58,0.62,0.70,0.68,0.65,0.75,0.64,0.55,0.71,0.69,0.68,0.67,0.67,0.57,0.69,0.70,0.59,0.50,0.50,0.50,0.50,0.61,0.61,0.62,0.57,0.53,0.59,0.59
72-1,NaN,0.76,0.75,0.75,0.75,0.72,0.58,0.76,0.75,0.84,0.56,0.61,0.63,0.56,0.56,0.73,0.66,0.60,0.63,0.59,0.59,0.71,0.65,0.59,0.64,0.65,0.71,0.56,0.63,0.56,0.50,0.63,0.62,0.50,0.50,0.50,0.50,0.56,0.58,0.58,0.59,0.50,0.53,0.51,0.51
72-2,NaN,0.75,0.75,0.75,0.75,0.72,0.58,0.75,0.75,0.83,0.56,0.57,0.63,0.56,0.56,0.74,0.65,0.61,0.58,0.61,0.61,0.71,0.65,0.53,0.64,0.66,0.72,0.56,0.64,0.56,0.50,0.65,0.65,0.51,0.50,0.50,0.50,0.56,0.61,0.61,0.59,0.50,0.51,0.52,0.52
73-1,NaN,0.66,0.62,0.62,0.61,0.57,0.76,0.69,0.68,0.78,0.75,0.57,0.68,0.75,0.63,0.67,0.56,0.64,0.56,0.69,0.69,0.66,0.68,0.74,0.65,0.62,0.77,0.73,0.67,0.72,0.55,0.58,0.58,0.56,0.55,0.55,0.55,0.71,0.62,0.60,0.56,0.51,0.51,0.57,0.57
73-2,NaN,0.65,0.61,0.61,0.60,0.56,0.76,0.70,0.69,0.78,0.77,0.58,0.68,0.77,0.63,0.68,0.56,0.64,0.58,0.67,0.67,0.68,0.68,0.68,0.64,0.63,0.78,0.74,0.67,0.73,0.55,0.55,0.55,0.56,0.55,0.55,0.55,0.74,0.62,0.60,0.55,0.50,0.51,0.58,0.58
73-3,NaN,0.64,0.60,0.59,0.59,0.58,0.75,0.68,0.61,0.70,0.73,0.57,0.56,0.74,0.56,0.58,0.52,0.57,0.61,0.58,0.59,0.54,0.51,0.59,0.56,0.49,0.72,0.75,0.51,0.72,0.55,0.52,0.52,0.53,0.50,0.55,0.54,0.50,0.50,0.50,0.51,0.48,0.49,0.50,0.50
74-1,NaN,0.82,0.86,0.86,0.86,0.73,0.80,0.68,0.68,0.91,0.72,0.54,0.61,0.72,0.54,0.71,0.71,0.59,0.58,0.70,0.70,0.56,0.73,0.54,0.66,0.62,0.75,0.75,0.67,0.75,0.51,0.57,0.59,0.51,0.50,0.50,0.50,0.70,0.61,0.62,0.60,0.53,0.48,0.61,0.61
74-2,NaN,0.65,0.66,0.65,0.65,0.65,0.68,0.69,0.68,0.71,0.70,0.64,0.65,0.67,0.57,0.76,0.52,0.60,0.65,0.59,0.59,0.48,0.74,0.61,0.64,0.55,0.67,0.68,0.70,0.68,0.52,0.55,0.55,0.53,0.50,0.50,0.50,0.65,0.64,0.66,0.56,0.53,0.53,0.65,0.65
75-1,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
75-2,NaN,0.83,0.84,0.83,0.83,0.78,0.76,0.71,0.71,0.85,0.72,0.64,0.70,0.73,0.64,0.74,0.68,0.65,0.65,0.71,0.71,0.59,0.73,0.72,0.63,0.64,0.71,0.69,0.69,0.71,0.60,0.63,0.62,0.58,0.56,0.56,0.56,0.68,0.62,0.64,0.63,0.53,0.52,0.61,0.61
79-1,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
79-2,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
79-3,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
80-1,NaN,0.83,0.86,0.86,0.86,0.74,0.80,0.63,0.63,0.88,0.72,0.60,0.60,0.72,0.53,0.72,0.71,0.58,0.64,0.70,0.70,0.57,0.70,0.61,0.63,0.62,0.75,0.75,0.65,0.75,0.53,0.60,0.61,0.52,0.50,0.50,0.50,0.70,0.63,0.64,0.60,0.55,0.48,0.61,0.61
80-2,NaN,0.70,0.72,0.71,0.71,0.69,0.71,0.72,0.72,0.87,0.70,0.68,0.64,0.67,0.57,0.79,0.55,0.61,0.69,0.65,0.65,0.56,0.77,0.65,0.64,0.63,0.72,0.68,0.72,0.68,0.51,0.59,0.59,0.51,0.50,0.50,0.50,0.65,0.66,0.68,0.61,0.55,0.53,0.66,0.66
81-1,NaN,0.52,0.51,0.51,0.53,0.53,0.58,0.55,0.54,0.62,0.56,0.65,0.62,0.53,0.59,0.74,0.50,0.63,0.64,0.55,0.55,0.57,0.70,0.60,0.57,0.61,0.62,0.53,0.66,0.56,0.51,0.49,0.49,0.51,0.50,0.50,0.50,0.50,0.64,0.64,0.52,0.56,0.55,0.59,0.59
81-2,NaN,0.52,0.51,0.51,0.53,0.53,0.58,0.55,0.54,0.62,0.56,0.65,0.62,0.53,0.59,0.74,0.50,0.63,0.64,0.55,0.55,0.57,0.70,0.60,0.57,0.62,0.62,0.53,0.66,0.56,0.51,0.49,0.49,0.51,0.50,0.50,0.50,0.50,0.64,0.64,0.52,0.56,0.55,0.59,0.59
82-1,NaN,0.56,0.56,0.56,0.56,0.55,0.58,0.59,0.59,0.67,0.56,0.56,0.54,0.56,0.56,0.65,0.53,0.58,0.55,0.52,0.52,0.63,0.63,0.57,0.51,0.58,0.53,0.56,0.61,0.56,0.53,0.48,0.48,0.52,0.50,0.50,0.50,0.53,0.53,0.53,0.53,0.62,0.59,0.47,0.47
83-1,NaN,0.85,0.82,0.81,0.81,0.87,0.80,0.71,0.71,0.74,0.81,0.75,0.72,0.81,0.68,0.81,0.70,0.69,0.69,0.70,0.70,0.62,0.52,0.67,0.57,0.42,0.67,0.76,0.50,0.75,0.66,0.66,0.66,0.66,0.58,0.58,0.58,0.76,0.50,0.50,0.42,0.51,0.48,0.50,0.50
83-2,NaN,0.86,0.83,0.82,0.82,0.87,0.80,0.71,0.71,0.74,0.81,0.75,0.72,0.81,0.68,0.81,0.70,0.69,0.69,0.70,0.70,0.62,0.52,0.67,0.58,0.42,0.67,0.76,0.50,0.75,0.66,0.66,0.66,0.66,0.58,0.58,0.58,0.76,0.50,0.50,0.42,0.51,0.48,0.49,0.49
84-1,NaN,0.54,0.48,0.48,0.48,0.54,0.49,0.61,0.66,0.56,0.50,0.49,0.50,0.50,0.48,0.56,0.48,0.48,0.49,0.49,0.49,0.60,0.53,0.54,0.54,0.54,0.54,0.50,0.52,0.50,0.51,0.45,0.45,0.51,0.50,0.50,0.50,0.50,0.51,0.51,0.52,0.52,0.55,0.48,0.48
85-1,NaN,0.81,0.81,0.77,0.77,0.78,0.77,0.75,0.76,0.83,0.77,0.74,0.59,0.74,0.67,0.77,0.68,0.69,0.71,0.67,0.67,0.64,0.71,0.66,0.61,0.65,0.69,0.67,0.68,0.66,0.60,0.61,0.60,0.59,0.57,0.56,0.56,0.60,0.64,0.64,0.59,0.55,0.53,0.56,0.56
85-2,NaN,0.68,0.66,0.64,0.64,0.63,0.76,0.75,0.73,0.78,0.79,0.74,0.72,0.76,0.65,0.76,0.67,0.66,0.70,0.63,0.63,0.69,0.68,0.69,0.54,0.62,0.67,0.71,0.65,0.71,0.58,0.57,0.55,0.56,0.57,0.56,0.56,0.68,0.64,0.65,0.60,0.55,0.54,0.57,0.57
86-1,NaN,0.58,0.57,0.57,0.57,0.59,0.55,0.62,0.61,0.74,0.56,0.61,0.54,0.56,0.53,0.69,0.53,0.53,0.59,0.59,0.59,0.56,0.69,0.63,0.58,0.63,0.53,0.56,0.67,0.56,0.51,0.59,0.58,0.50,0.50,0.50,0.50,0.56,0.63,0.63,0.59,0.52,0.51,0.59,0.59
86-2,NaN,0.58,0.57,0.57,0.57,0.59,0.55,0.62,0.61,0.74,0.56,0.61,0.54,0.56,0.53,0.69,0.53,0.53,0.59,0.59,0.59,0.56,0.69,0.63,0.58,0.63,0.53,0.56,0.67,0.56,0.51,0.59,0.58,0.50,0.50,0.50,0.50,0.56,0.63,0.63,0.59,0.52,0.51,0.59,0.59
86-3,NaN,0.62,0.61,0.61,0.61,0.61,0.56,0.57,0.57,0.75,0.57,0.53,0.56,0.57,0.55,0.77,0.56,0.55,0.54,0.61,0.61,0.61,0.74,0.63,0.58,0.66,0.58,0.57,0.70,0.57,0.51,0.57,0.56,0.49,0.50,0.50,0.50,0.57,0.66,0.66,0.63,0.51,0.48,0.61,0.61
87-1,NaN,0.68,0.70,0.70,0.70,0.64,0.71,0.82,0.81,0.86,0.68,0.67,0.63,0.68,0.59,0.75,0.56,0.64,0.61,0.63,0.63,0.68,0.67,0.72,0.66,0.66,0.73,0.66,0.61,0.66,0.57,0.58,0.57,0.56,0.50,0.50,0.50,0.63,0.60,0.60,0.55,0.51,0.52,0.58,0.58
87-2,NaN,0.68,0.70,0.69,0.69,0.64,0.70,0.82,0.81,0.86,0.68,0.67,0.64,0.68,0.59,0.73,0.56,0.64,0.61,0.64,0.64,0.69,0.67,0.72,0.67,0.64,0.72,0.66,0.62,0.66,0.57,0.58,0.56,0.56,0.50,0.50,0.50,0.63,0.59,0.60,0.52,0.53,0.54,0.57,0.57
87-3,NaN,0.67,0.69,0.69,0.69,0.66,0.70,0.76,0.76,0.85,0.66,0.58,0.52,0.66,0.55,0.72,0.53,0.60,0.61,0.62,0.62,0.59,0.66,0.71,0.64,0.62,0.66,0.64,0.61,0.64,0.53,0.60,0.58,0.52,0.50,0.50,0.50,0.60,0.58,0.58,0.55,0.49,0.50,0.55,0.55
88-1,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
89-1,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
89-2,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
89-3,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
91-1,NaN,0.48,0.48,0.48,0.48,0.46,0.55,0.67,0.71,0.50,0.58,0.54,0.49,0.58,0.50,0.50,0.45,0.49,0.54,0.37,0.37,0.69,0.47,0.43,0.57,0.62,0.43,0.59,0.47,0.49,0.49,0.38,0.38,0.49,0.49,0.49,0.49,0.59,0.49,0.49,0.53,0.46,0.46,0.48,0.48
91-2,NaN,0.50,0.49,0.49,0.49,0.47,0.61,0.74,0.74,0.50,0.58,0.57,0.49,0.58,0.50,0.53,0.45,0.49,0.56,0.38,0.38,0.69,0.49,0.45,0.55,0.59,0.43,0.59,0.50,0.59,0.49,0.41,0.41,0.49,0.49,0.49,0.49,0.59,0.49,0.49,0.51,0.51,0.52,0.49,0.49
91-3,NaN,0.61,0.63,0.63,0.63,0.56,0.73,0.63,0.65,0.54,0.38,0.43,0.52,0.38,0.49,0.49,0.58,0.49,0.38,0.64,0.64,0.39,0.50,0.57,0.59,0.46,0.68,0.38,0.50,0.70,0.50,0.56,0.56,0.51,0.53,0.53,0.53,0.38,0.47,0.47,0.51,0.49,0.49,0.47,0.47
93-1,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
93-2,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
94-1,NaN,0.73,0.73,0.72,0.72,0.69,0.66,0.69,0.71,0.85,0.64,0.66,0.54,0.64,0.57,0.75,0.56,0.62,0.63,0.64,0.64,0.53,0.74,0.71,0.66,0.66,0.70,0.65,0.70,0.65,0.53,0.58,0.58,0.52,0.50,0.50,0.50,0.62,0.62,0.62,0.61,0.56,0.52,0.57,0.57
95-1,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
95-2,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
96-1,NaN,0.57,0.54,0.52,0.52,0.54,0.53,0.54,0.53,0.61,0.51,0.51,0.49,0.52,0.43,0.54,0.48,0.46,0.49,0.48,0.48,0.57,0.52,0.62,0.47,0.51,0.58,0.53,0.50,0.53,0.51,0.50,0.50,0.51,0.49,0.49,0.49,0.53,0.50,0.50,0.52,0.54,0.50,0.50,0.50
96-2,NaN,0.58,0.57,0.56,0.58,0.58,0.49,0.45,0.44,0.51,0.51,0.51,0.50,0.52,0.49,0.50,0.48,0.50,0.49,0.48,0.48,0.54,0.50,0.51,0.46,0.51,0.42,0.47,0.50,0.47,0.50,0.51,0.51,0.50,0.50,0.50,0.50,0.47,0.50,0.50,0.51,0.52,0.50,0.50,0.50
96-3,NaN,0.53,0.54,0.53,0.53,0.52,0.58,0.55,0.52,0.45,0.50,0.50,0.50,0.51,0.53,0.50,0.55,0.52,0.47,0.50,0.50,0.50,0.51,0.57,0.52,0.53,0.60,0.49,0.50,0.49,0.50,0.51,0.51,0.50,0.51,0.51,0.51,0.49,0.50,0.50,0.52,0.50,0.50,0.50,0.50
97-1,NaN,0.59,0.63,0.62,0.62,0.57,0.55,0.55,0.57,0.75,0.53,0.55,0.54,0.53,0.54,0.75,0.56,0.61,0.58,0.64,0.64,0.63,0.73,0.61,0.59,0.66,0.61,0.50,0.72,0.50,0.51,0.56,0.59,0.51,0.50,0.50,0.50,0.50,0.69,0.69,0.56,0.52,0.53,0.66,0.66
97-2,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
97-3,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
98-1,NaN,0.51,0.48,0.48,0.48,0.46,0.43,0.59,0.59,0.59,0.41,0.45,0.47,0.39,0.46,0.44,0.49,0.42,0.42,0.47,0.47,0.71,0.43,0.50,0.61,0.52,0.43,0.36,0.42,0.35,0.52,0.35,0.35,0.52,0.49,0.50,0.50,0.36,0.47,0.47,0.50,0.48,0.47,0.51,0.51
99-1,NaN,0.81,0.79,0.79,0.79,0.80,0.80,0.71,0.70,0.73,0.78,0.55,0.68,0.78,0.64,0.76,0.63,0.63,0.56,0.68,0.68,0.66,0.76,0.76,0.61,0.63,0.66,0.63,0.73,0.62,0.58,0.66,0.64,0.57,0.55,0.55,0.55,0.63,0.69,0.68,0.63,0.52,0.52,0.64,0.64
