ID-model,GO:0003674,GO:0016874,GO:0070011,GO:0008233,GO:0016491,GO:0000975,GO:0044212,GO:0001067,GO:0003677,GO:0016787,GO:0016788,GO:0003676,GO:0097159,GO:1901363,GO:0016740,GO:0003824,GO:0016772,GO:0022857,GO:0005215,GO:0030234,GO:0043565,GO:0016773,GO:0022891,GO:0022892,GO:0043168,GO:0005102,GO:0043167,GO:0046872,GO:0042802,GO:0043169,GO:0019899,GO:0005515,GO:0005488
117-2,NaN,0.55,0.65,0.67,0.75,0.50,0.50,0.50,0.67,0.66,0.53,0.67,0.66,0.66,0.64,0.65,0.62,0.58,0.57,0.57,0.55,0.50,0.59,0.58,0.57,0.50,0.52,0.48,0.50,0.48,0.50,0.50,0.52
119-1,NaN,0.94,0.99,0.96,0.98,0.77,0.77,0.77,0.94,0.91,0.89,0.92,0.88,0.88,0.96,0.90,0.99,0.94,0.98,0.71,0.71,1.00,0.94,0.94,0.78,0.69,0.70,0.77,0.44,0.72,0.52,0.58,0.58
120-1,NaN,1.00,0.99,0.96,0.98,0.92,0.92,0.92,0.93,0.94,0.96,0.91,0.84,0.84,0.98,0.94,1.00,0.99,0.99,0.90,0.87,1.00,0.99,0.99,0.77,0.69,0.69,0.80,0.58,0.75,0.65,0.67,0.55
120-2,NaN,0.63,0.95,0.92,0.69,0.65,0.65,0.65,0.78,0.84,0.75,0.81,0.70,0.73,0.80,0.82,0.85,0.84,0.93,0.71,0.68,0.79,0.83,0.85,0.64,0.67,0.64,0.62,0.53,0.61,0.63,0.67,0.54
120-3,NaN,0.55,0.50,0.60,0.54,0.67,0.65,0.67,0.78,0.64,0.50,0.82,0.69,0.70,0.56,0.68,0.64,0.80,0.82,0.49,0.58,0.65,0.79,0.81,0.47,0.50,0.53,0.62,0.50,0.61,0.50,0.50,0.51
121-1,NaN,0.85,0.94,0.90,0.78,0.50,0.50,0.50,0.71,0.83,0.79,0.70,0.69,0.69,0.85,0.81,0.92,0.83,0.87,0.65,0.60,0.82,0.82,0.79,0.69,0.50,0.63,0.70,0.50,0.67,0.49,0.50,0.52
121-2,NaN,0.50,0.50,0.53,0.54,0.50,0.50,0.50,0.52,0.52,0.50,0.52,0.51,0.51,0.54,0.53,0.54,0.54,0.54,0.50,0.55,0.50,0.55,0.54,0.50,0.50,0.50,0.50,0.50,0.50,0.49,0.49,0.49
121-3,NaN,0.85,0.99,0.96,0.77,0.50,0.50,0.50,0.87,0.87,0.83,0.86,0.81,0.81,0.84,0.82,0.92,0.87,0.87,0.65,0.54,0.91,0.86,0.83,0.70,0.50,0.66,0.73,0.50,0.70,0.49,0.55,0.55
122-1,NaN,0.75,0.64,0.70,0.78,0.50,0.50,0.50,0.84,0.85,0.83,0.86,0.79,0.79,0.83,0.81,0.88,0.78,0.79,0.69,0.59,0.86,0.77,0.79,0.65,0.55,0.52,0.52,0.50,0.51,0.49,0.61,0.56
124-1,NaN,0.99,1.00,0.91,0.63,0.95,0.95,0.95,0.82,0.69,0.72,0.76,0.51,0.51,0.54,0.45,0.51,0.83,0.83,0.79,0.91,0.51,0.84,0.80,0.44,0.68,0.36,0.47,0.48,0.50,0.75,0.48,0.59
124-2,NaN,0.57,0.31,0.33,0.40,0.32,0.33,0.32,0.69,0.30,0.37,0.55,0.46,0.46,0.32,0.22,0.18,0.35,0.35,0.74,0.79,0.15,0.37,0.35,0.33,0.63,0.35,0.36,0.44,0.40,0.77,0.61,0.55
124-3,NaN,0.94,1.00,0.91,0.49,0.95,0.95,0.95,0.79,0.61,0.64,0.72,0.27,0.27,0.37,0.41,0.51,0.76,0.74,0.64,0.75,0.51,0.76,0.72,0.44,0.68,0.36,0.47,0.48,0.50,0.75,0.48,0.58
125-1,NaN,0.95,0.99,0.93,0.92,0.52,0.52,0.52,0.90,0.93,0.94,0.88,0.84,0.84,0.97,0.91,1.00,0.95,0.99,0.72,0.59,1.00,0.95,0.95,0.73,0.64,0.69,0.82,0.53,0.80,0.51,0.67,0.58
125-2,NaN,0.94,1.00,0.96,0.88,0.53,0.53,0.53,0.87,0.93,0.92,0.84,0.77,0.77,0.95,0.90,0.98,0.94,0.94,0.75,0.57,0.99,0.94,0.94,0.75,0.53,0.64,0.74,0.49,0.70,0.48,0.53,0.52
125-3,NaN,0.91,0.94,0.88,0.91,0.85,0.85,0.85,0.83,0.87,0.86,0.79,0.74,0.75,0.90,0.82,0.95,0.91,0.94,0.88,0.76,0.96,0.91,0.91,0.84,0.64,0.68,0.64,0.38,0.60,0.55,0.59,0.53
126-1,NaN,0.80,0.95,0.87,0.85,0.50,0.50,0.50,0.81,0.80,0.77,0.80,0.76,0.76,0.98,0.83,0.88,0.74,0.77,0.69,0.50,0.73,0.72,0.75,0.71,0.55,0.63,0.53,0.50,0.52,0.51,0.58,0.65
127-1,NaN,0.94,0.94,0.89,0.92,0.79,0.71,0.79,0.86,0.91,0.87,0.85,0.83,0.83,0.96,0.87,0.99,0.95,0.95,0.80,0.76,0.99,0.94,0.94,0.83,0.75,0.77,0.69,0.58,0.65,0.52,0.62,0.61
127-2,NaN,0.94,0.94,0.92,0.91,0.82,0.82,0.83,0.83,0.90,0.85,0.81,0.80,0.81,0.95,0.86,0.99,0.94,0.94,0.87,0.73,0.99,0.94,0.94,0.87,0.67,0.74,0.64,0.53,0.59,0.64,0.62,0.57
127-3,NaN,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50
128-1,NaN,0.84,0.84,0.85,0.70,0.63,0.63,0.63,0.64,0.80,0.74,0.61,0.63,0.62,0.75,0.73,0.65,0.68,0.69,0.75,0.62,0.62,0.65,0.67,0.67,0.50,0.61,0.62,0.51,0.59,0.55,0.52,0.50
129-1,NaN,0.93,0.93,0.95,0.91,0.87,0.87,0.87,0.84,0.87,0.84,0.83,0.78,0.78,0.85,0.86,0.83,0.87,0.87,0.92,0.80,0.75,0.85,0.87,0.84,0.57,0.75,0.64,0.32,0.63,0.62,0.59,0.61
129-2,NaN,0.55,0.49,0.50,0.51,0.45,0.45,0.45,0.47,0.47,0.44,0.47,0.47,0.47,0.49,0.48,0.42,0.42,0.47,0.68,0.48,0.42,0.42,0.47,0.54,0.53,0.54,0.53,0.44,0.56,0.67,0.58,0.55
129-3,NaN,0.93,0.93,0.95,0.91,0.87,0.87,0.87,0.85,0.87,0.84,0.83,0.78,0.78,0.85,0.86,0.83,0.87,0.87,0.92,0.80,0.75,0.85,0.86,0.84,0.57,0.75,0.66,0.32,0.65,0.62,0.59,0.61
130-1,NaN,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50
130-2,NaN,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50
130-3,NaN,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50
131-1,NaN,0.90,0.99,0.93,0.78,0.50,0.50,0.50,0.87,0.87,0.87,0.86,0.82,0.82,0.94,0.84,0.92,0.82,0.90,0.69,0.59,0.86,0.86,0.86,0.73,0.50,0.63,0.65,0.50,0.63,0.50,0.52,0.55
131-2,NaN,0.85,0.99,0.93,0.78,0.50,0.50,0.50,0.90,0.89,0.91,0.89,0.85,0.85,0.95,0.84,0.92,0.78,0.87,0.69,0.59,0.91,0.82,0.83,0.73,0.50,0.63,0.67,0.50,0.65,0.50,0.51,0.53
131-3,NaN,0.95,0.99,0.95,0.86,0.65,0.65,0.65,0.89,0.90,0.94,0.87,0.84,0.84,0.93,0.87,0.97,0.90,0.94,0.72,0.70,0.98,0.94,0.94,0.79,0.54,0.68,0.66,0.49,0.63,0.52,0.53,0.60
132-1,NaN,0.98,0.96,0.98,0.87,0.83,0.83,0.83,0.85,0.93,0.97,0.82,0.80,0.79,0.91,0.85,0.92,0.96,0.96,0.86,0.72,0.89,0.96,0.96,0.82,0.82,0.73,0.74,0.58,0.70,0.58,0.67,0.69
132-2,NaN,0.98,0.96,0.98,0.87,0.83,0.83,0.83,0.85,0.93,0.97,0.82,0.81,0.79,0.92,0.85,0.92,0.96,0.96,0.86,0.72,0.89,0.96,0.95,0.82,0.82,0.73,0.74,0.58,0.70,0.58,0.63,0.65
65-1,NaN,0.93,0.82,0.85,0.81,0.73,0.74,0.73,0.66,0.76,0.79,0.64,0.65,0.65,0.79,0.74,0.92,0.83,0.84,0.85,0.81,0.93,0.81,0.82,0.85,0.66,0.76,0.76,0.35,0.68,0.67,0.59,0.57
65-2,NaN,0.94,0.86,0.88,0.80,0.71,0.71,0.71,0.71,0.77,0.80,0.69,0.67,0.67,0.80,0.76,0.92,0.85,0.86,0.86,0.71,0.93,0.84,0.84,0.86,0.69,0.78,0.75,0.44,0.70,0.67,0.60,0.58
65-3,NaN,0.94,0.81,0.84,0.86,0.77,0.77,0.77,0.70,0.76,0.78,0.65,0.64,0.64,0.79,0.76,0.92,0.83,0.84,0.84,0.80,0.93,0.81,0.82,0.84,0.63,0.77,0.75,0.45,0.68,0.70,0.57,0.56
68-1,NaN,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50
68-2,NaN,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50
69-1,NaN,0.65,0.56,0.67,0.76,0.69,0.69,0.69,0.79,0.71,0.69,0.78,0.72,0.72,0.62,0.67,0.76,0.81,0.78,0.54,0.55,0.74,0.80,0.76,0.62,0.47,0.65,0.71,0.51,0.68,0.49,0.44,0.43
69-2,NaN,0.94,0.98,0.93,0.94,0.76,0.76,0.75,0.95,0.92,0.93,0.93,0.87,0.87,0.88,0.84,0.94,0.97,0.99,0.90,0.76,0.91,0.97,0.97,0.81,0.60,0.68,0.72,0.46,0.69,0.72,0.79,0.77
70-1,NaN,0.94,0.88,0.81,0.92,0.89,0.89,0.89,0.84,0.89,0.83,0.86,0.82,0.82,0.87,0.85,0.80,0.68,0.80,0.78,0.74,0.80,0.67,0.78,0.69,0.59,0.67,0.72,0.42,0.70,0.67,0.74,0.76
70-2,NaN,0.89,0.89,0.89,0.64,0.73,0.76,0.72,0.54,0.81,0.77,0.76,0.72,0.72,0.53,0.63,0.83,0.73,0.74,0.72,0.69,0.82,0.69,0.73,0.72,0.50,0.63,0.56,0.61,0.53,0.51,0.51,0.55
70-3,NaN,0.90,0.99,0.91,0.58,0.52,0.52,0.52,0.55,0.88,0.79,0.54,0.55,0.83,0.85,0.77,0.78,0.81,0.86,0.62,0.48,0.81,0.82,0.85,0.62,0.68,0.53,0.50,0.57,0.50,0.54,0.63,0.67
72-1,NaN,0.95,0.99,0.93,0.74,0.50,0.50,0.50,0.81,0.91,0.86,0.81,0.75,0.75,0.97,0.88,0.81,0.78,0.79,0.69,0.54,0.77,0.77,0.75,0.68,0.50,0.60,0.57,0.52,0.56,0.50,0.57,0.56
72-2,NaN,0.70,0.90,0.90,0.50,0.50,0.50,0.50,0.81,0.68,0.54,0.81,0.76,0.76,0.66,0.62,0.81,0.50,0.50,0.54,0.54,0.77,0.50,0.50,0.61,0.50,0.58,0.57,0.52,0.56,0.50,0.56,0.59
73-1,NaN,0.97,0.99,0.94,0.91,0.86,0.86,0.86,0.84,0.91,0.94,0.79,0.74,0.74,0.83,0.83,0.94,0.92,0.93,0.88,0.73,0.95,0.93,0.92,0.79,0.71,0.63,0.59,0.49,0.56,0.58,0.62,0.52
73-2,NaN,0.97,0.99,0.94,0.91,0.86,0.86,0.86,0.84,0.91,0.94,0.79,0.74,0.74,0.83,0.83,0.94,0.92,0.93,0.88,0.72,0.95,0.93,0.92,0.78,0.71,0.63,0.60,0.46,0.56,0.59,0.63,0.53
73-3,NaN,0.96,0.91,0.87,0.87,0.83,0.68,0.82,0.81,0.67,0.83,0.78,0.64,0.64,0.70,0.57,0.75,0.83,0.81,0.75,0.68,0.80,0.82,0.81,0.67,0.56,0.58,0.66,0.49,0.64,0.56,0.60,0.54
74-1,NaN,0.79,0.64,0.70,0.81,0.55,0.55,0.55,0.70,0.64,0.72,0.71,0.70,0.70,0.76,0.65,0.72,0.74,0.75,0.56,0.55,0.72,0.72,0.74,0.68,0.54,0.70,0.79,0.48,0.75,0.48,0.58,0.56
74-2,NaN,0.94,0.99,0.93,0.92,0.50,0.50,0.50,0.92,0.90,0.97,0.93,0.88,0.88,0.96,0.86,0.99,0.85,0.89,0.78,0.61,0.98,0.84,0.89,0.78,0.52,0.70,0.74,0.44,0.73,0.59,0.64,0.62
75-1,NaN,0.66,0.56,0.67,0.76,0.69,0.69,0.69,0.79,0.71,0.69,0.78,0.72,0.72,0.62,0.67,0.76,0.81,0.78,0.54,0.55,0.74,0.80,0.76,0.63,0.47,0.65,0.71,0.51,0.68,0.49,0.44,0.43
75-2,NaN,1.00,0.99,0.93,0.94,0.76,0.76,0.75,0.97,0.93,0.95,0.94,0.87,0.88,0.93,0.87,0.97,0.98,0.99,0.90,0.76,0.91,0.98,0.98,0.81,0.60,0.71,0.81,0.46,0.77,0.72,0.79,0.77
79-1,NaN,0.76,0.84,0.82,0.88,0.75,0.62,0.75,0.78,0.88,0.77,0.86,0.83,0.84,0.92,0.79,0.95,0.93,0.93,0.84,0.65,0.94,0.93,0.93,0.81,0.61,0.68,0.67,0.48,0.61,0.58,0.59,0.65
79-2,NaN,0.73,0.75,0.70,0.71,0.73,0.60,0.73,0.73,0.76,0.65,0.75,0.75,0.75,0.63,0.67,0.61,0.62,0.64,0.56,0.64,0.64,0.63,0.66,0.75,0.53,0.66,0.64,0.48,0.62,0.49,0.49,0.52
79-3,NaN,0.87,1.00,0.93,0.92,0.72,0.60,0.72,0.86,0.93,0.87,0.92,0.86,0.87,0.97,0.85,1.00,0.85,0.86,0.85,0.62,0.90,0.84,0.86,0.81,0.52,0.79,0.86,0.46,0.84,0.60,0.57,0.64
80-1,NaN,0.79,0.64,0.70,0.81,0.55,0.55,0.55,0.77,0.71,0.84,0.78,0.75,0.75,0.78,0.68,0.76,0.82,0.83,0.56,0.59,0.77,0.81,0.82,0.68,0.54,0.73,0.85,0.48,0.81,0.48,0.58,0.57
80-2,NaN,1.00,0.99,0.93,0.92,0.50,0.50,0.50,0.95,0.91,0.97,0.93,0.88,0.88,0.96,0.87,0.99,0.95,0.94,0.78,0.61,0.98,0.94,0.94,0.82,0.52,0.74,0.79,0.44,0.77,0.59,0.64,0.61
