ID-model,GO:0003674,GO:0016409,GO:0070011,GO:0016747,GO:0016757,GO:0016746,GO:0022891,GO:0022857,GO:0016773,GO:0008233,GO:0016491,GO:0017111,GO:0016462,GO:0016818,GO:0016817,GO:0016301,GO:0016788,GO:0016772,GO:0016740,GO:0004672,GO:0016874,GO:0004842,GO:0019787,GO:0016881,GO:0016879,GO:0022892,GO:0003677,GO:0005215,GO:0016787,GO:0000166,GO:1901265,GO:0003676,GO:0000975,GO:0044212,GO:0001067,GO:0043565,GO:0001071,GO:0003700,GO:0003824,GO:0097159,GO:1901363,GO:0036094,GO:0000976,GO:0030695,GO:0000981,GO:0043168,GO:0000977,GO:0001012,GO:0008289,GO:0060589,GO:0008092,GO:0008047,GO:0030234,GO:0017016,GO:0043167,GO:0031267,GO:0051020,GO:0017137,GO:0032403,GO:0005488,GO:0046872,GO:0005102,GO:0005515,GO:0043169,GO:0042802,GO:0019899,GO:0042803,GO:0046983
103-1,NaN,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50
103-2,NaN,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50
103-3,NaN,0.73,0.93,0.70,0.96,0.73,0.65,0.63,0.82,0.90,0.80,0.77,0.78,0.78,0.78,0.81,0.76,0.84,0.82,0.82,0.72,0.50,0.50,0.50,0.50,0.61,0.84,0.69,0.80,0.73,0.73,0.84,0.51,0.51,0.51,0.69,0.71,0.71,0.78,0.80,0.80,0.68,0.53,0.68,0.50,0.71,0.50,0.50,0.61,0.64,0.58,0.64,0.63,0.50,0.62,0.50,0.50,0.50,0.50,0.53,0.62,0.50,0.53,0.59,0.50,0.49,0.50,0.49
104-1,NaN,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50
104-2,NaN,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50
104-3,NaN,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50
105-1,NaN,1.00,1.00,0.99,1.00,1.00,0.93,0.94,0.99,0.98,0.99,0.98,0.97,0.97,0.97,0.99,0.97,0.99,0.97,0.99,0.95,0.95,0.95,0.95,0.95,0.89,0.92,0.88,0.94,0.75,0.75,0.91,0.84,0.84,0.84,0.85,0.85,0.85,0.89,0.77,0.77,0.68,0.81,0.92,0.70,0.72,0.71,0.71,0.78,0.85,0.78,0.75,0.79,0.74,0.62,0.74,0.73,0.73,0.71,0.50,0.69,0.56,0.60,0.63,0.39,0.52,0.32,0.35
105-2,NaN,1.00,1.00,1.00,1.00,1.00,0.93,0.93,0.99,0.99,0.99,0.98,0.97,0.97,0.97,0.99,0.97,0.99,0.98,0.99,0.94,0.93,0.93,0.92,0.92,0.89,0.94,0.91,0.95,0.79,0.79,0.94,0.89,0.89,0.89,0.94,0.88,0.88,0.92,0.85,0.85,0.70,0.89,0.93,0.79,0.77,0.78,0.78,0.80,0.88,0.77,0.81,0.85,0.70,0.66,0.70,0.70,0.69,0.64,0.50,0.73,0.52,0.62,0.67,0.45,0.52,0.42,0.42
105-3,NaN,1.00,1.00,0.99,1.00,1.00,0.92,0.92,0.99,0.98,0.99,0.98,0.97,0.97,0.97,0.99,0.97,0.98,0.97,0.99,0.94,0.94,0.94,0.94,0.93,0.87,0.95,0.89,0.94,0.77,0.77,0.94,0.81,0.81,0.81,0.90,0.84,0.84,0.90,0.82,0.82,0.73,0.78,0.98,0.66,0.74,0.69,0.69,0.86,0.90,0.79,0.81,0.85,0.72,0.65,0.71,0.71,0.73,0.64,0.49,0.73,0.46,0.57,0.70,0.53,0.45,0.51,0.46
106-1,NaN,0.55,0.79,0.53,0.92,0.57,0.74,0.72,0.77,0.77,0.83,0.77,0.75,0.75,0.75,0.76,0.72,0.71,0.74,0.77,0.55,0.50,0.50,0.55,0.55,0.73,0.78,0.76,0.78,0.82,0.82,0.81,0.53,0.53,0.53,0.72,0.71,0.71,0.74,0.77,0.77,0.80,0.57,0.68,0.55,0.74,0.55,0.55,0.65,0.64,0.60,0.64,0.65,0.50,0.70,0.50,0.50,0.50,0.50,0.53,0.72,0.50,0.57,0.68,0.50,0.50,0.50,0.49
106-2,NaN,0.50,0.50,0.50,0.58,0.50,0.55,0.55,0.50,0.50,0.73,0.54,0.54,0.54,0.54,0.50,0.63,0.50,0.54,0.50,0.50,0.50,0.50,0.50,0.50,0.54,0.50,0.54,0.60,0.83,0.83,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.59,0.52,0.52,0.81,0.50,0.50,0.50,0.69,0.50,0.50,0.54,0.50,0.50,0.50,0.50,0.50,0.69,0.50,0.50,0.50,0.50,0.38,0.75,0.50,0.50,0.71,0.50,0.50,0.50,0.50
106-3,NaN,0.55,0.79,0.53,0.62,0.57,0.60,0.59,0.73,0.77,0.76,0.69,0.68,0.68,0.68,0.73,0.59,0.69,0.63,0.73,0.50,0.50,0.50,0.50,0.50,0.62,0.61,0.62,0.70,0.58,0.58,0.61,0.52,0.52,0.52,0.52,0.59,0.59,0.66,0.57,0.58,0.56,0.54,0.50,0.55,0.56,0.55,0.55,0.54,0.50,0.58,0.50,0.52,0.50,0.54,0.50,0.50,0.50,0.50,0.49,0.56,0.50,0.51,0.55,0.50,0.50,0.50,0.49
107-1,NaN,1.00,0.99,0.98,1.00,0.99,0.93,0.94,0.99,0.96,0.99,0.94,0.94,0.94,0.94,0.99,0.97,0.99,0.97,0.99,0.92,0.86,0.86,0.85,0.85,0.94,0.91,0.93,0.94,0.71,0.71,0.88,0.79,0.79,0.79,0.82,0.85,0.85,0.89,0.75,0.76,0.67,0.73,0.89,0.77,0.69,0.62,0.62,0.80,0.86,0.71,0.75,0.80,0.69,0.59,0.69,0.69,0.67,0.57,0.45,0.77,0.56,0.58,0.71,0.55,0.53,0.50,0.49
107-2,NaN,1.00,1.00,1.00,1.00,1.00,0.93,0.93,0.99,0.96,0.99,0.97,0.96,0.96,0.96,1.00,0.98,0.98,0.98,1.00,0.93,0.93,0.93,0.93,0.93,0.90,0.92,0.89,0.95,0.77,0.77,0.92,0.87,0.87,0.87,0.90,0.89,0.89,0.93,0.84,0.84,0.67,0.73,0.93,0.72,0.75,0.67,0.67,0.71,0.93,0.69,0.79,0.85,0.66,0.66,0.66,0.66,0.68,0.46,0.48,0.78,0.48,0.59,0.72,0.52,0.57,0.49,0.47
107-3,NaN,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50
108-1,NaN,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50
109-1,NaN,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50
110-1,NaN,0.50,0.71,0.50,0.83,0.50,0.83,0.80,0.79,0.69,0.79,0.66,0.64,0.64,0.64,0.82,0.83,0.78,0.68,0.79,0.56,0.52,0.52,0.51,0.51,0.74,0.75,0.73,0.71,0.49,0.49,0.75,0.78,0.78,0.78,0.69,0.71,0.71,0.63,0.67,0.67,0.50,0.66,0.65,0.66,0.49,0.62,0.62,0.60,0.61,0.50,0.60,0.59,0.52,0.49,0.51,0.51,0.49,0.64,0.53,0.58,0.56,0.49,0.55,0.42,0.38,0.46,0.43
110-2,NaN,1.00,1.00,0.96,0.90,0.96,0.85,0.86,0.90,1.00,0.88,0.99,0.98,0.98,0.98,0.91,0.99,0.97,0.94,0.91,0.94,0.83,0.92,0.92,0.92,0.87,0.80,0.93,0.96,0.86,0.86,0.79,0.68,0.62,0.68,0.72,0.86,0.78,0.90,0.77,0.77,0.79,0.68,0.88,0.78,0.88,0.61,0.66,0.79,0.77,0.87,0.80,0.78,0.63,0.76,0.62,0.75,0.62,0.62,0.68,0.68,0.61,0.68,0.64,0.56,0.55,0.52,0.50
110-3,NaN,0.48,0.74,0.57,0.87,0.55,0.63,0.63,0.52,0.71,0.77,0.61,0.64,0.64,0.64,0.56,0.58,0.53,0.64,0.55,0.62,0.61,0.60,0.59,0.60,0.61,0.63,0.70,0.64,0.59,0.59,0.60,0.56,0.56,0.56,0.62,0.65,0.65,0.60,0.57,0.57,0.60,0.70,0.72,0.60,0.58,0.70,0.70,0.55,0.72,0.74,0.65,0.68,0.66,0.62,0.70,0.70,0.67,0.55,0.67,0.53,0.52,0.69,0.57,0.56,0.61,0.55,0.56
111-1,NaN,0.50,0.71,0.50,0.83,0.50,0.83,0.80,0.84,0.69,0.83,0.66,0.64,0.64,0.64,0.86,0.83,0.82,0.71,0.84,0.56,0.52,0.52,0.51,0.51,0.74,0.77,0.73,0.71,0.48,0.48,0.77,0.80,0.80,0.79,0.68,0.70,0.70,0.64,0.70,0.70,0.50,0.66,0.65,0.70,0.51,0.66,0.66,0.64,0.61,0.56,0.60,0.59,0.52,0.50,0.51,0.51,0.49,0.63,0.52,0.58,0.56,0.47,0.55,0.42,0.37,0.46,0.42
111-2,NaN,0.48,0.74,0.57,0.88,0.56,0.63,0.63,0.53,0.72,0.78,0.61,0.64,0.64,0.64,0.56,0.59,0.54,0.67,0.55,0.62,0.61,0.60,0.59,0.60,0.62,0.64,0.70,0.64,0.59,0.59,0.64,0.59,0.59,0.59,0.64,0.69,0.69,0.62,0.61,0.61,0.61,0.73,0.72,0.64,0.62,0.74,0.74,0.61,0.72,0.72,0.65,0.69,0.66,0.65,0.70,0.70,0.67,0.56,0.66,0.53,0.51,0.67,0.57,0.58,0.60,0.54,0.55
111-3,NaN,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.55,0.50,0.53,0.50,0.50,0.50,0.50,0.54,0.50,0.53,0.54,0.55,0.50,0.50,0.50,0.50,0.50,0.50,0.53,0.50,0.50,0.50,0.50,0.55,0.55,0.55,0.55,0.52,0.54,0.54,0.51,0.58,0.58,0.49,0.53,0.50,0.54,0.52,0.54,0.54,0.54,0.50,0.55,0.50,0.50,0.50,0.51,0.50,0.50,0.50,0.50,0.55,0.50,0.49,0.52,0.50,0.52,0.49,0.49,0.49
112-1,NaN,1.00,0.99,0.99,1.00,0.99,0.89,0.89,0.94,0.99,0.93,0.97,0.97,0.97,0.97,0.94,0.99,0.96,0.98,0.92,0.93,0.79,0.89,0.88,0.89,0.88,0.89,0.93,0.96,0.84,0.85,0.87,0.85,0.79,0.85,0.81,0.88,0.85,0.91,0.82,0.82,0.80,0.77,0.92,0.85,0.88,0.72,0.72,0.77,0.86,0.84,0.81,0.83,0.72,0.75,0.71,0.77,0.71,0.71,0.71,0.68,0.66,0.72,0.64,0.46,0.51,0.49,0.51
112-2,NaN,1.00,1.00,0.99,1.00,0.99,0.90,0.90,0.94,0.99,0.93,0.98,0.97,0.97,0.97,0.94,0.99,0.96,0.98,0.92,0.93,0.79,0.89,0.88,0.89,0.89,0.89,0.93,0.96,0.84,0.85,0.87,0.85,0.81,0.85,0.81,0.88,0.85,0.91,0.82,0.82,0.80,0.77,0.92,0.85,0.89,0.72,0.72,0.77,0.86,0.85,0.81,0.83,0.71,0.75,0.71,0.77,0.70,0.71,0.71,0.67,0.67,0.71,0.64,0.44,0.51,0.46,0.47
112-3,NaN,1.00,0.99,0.99,1.00,0.99,0.89,0.89,0.93,0.99,0.93,0.97,0.96,0.96,0.97,0.93,0.99,0.95,0.98,0.91,0.93,0.79,0.89,0.88,0.89,0.88,0.88,0.93,0.96,0.84,0.85,0.86,0.85,0.79,0.85,0.81,0.89,0.85,0.92,0.82,0.82,0.80,0.77,0.92,0.85,0.85,0.72,0.72,0.75,0.85,0.84,0.80,0.83,0.72,0.73,0.71,0.77,0.71,0.71,0.68,0.68,0.66,0.68,0.65,0.46,0.51,0.49,0.51
113-1,NaN,1.00,1.00,0.99,1.00,0.99,0.90,0.90,0.93,0.99,0.93,0.98,0.97,0.97,0.97,0.93,0.99,0.96,0.98,0.91,0.93,0.79,0.89,0.88,0.89,0.88,0.88,0.93,0.97,0.84,0.85,0.86,0.85,0.81,0.85,0.81,0.88,0.84,0.92,0.82,0.82,0.81,0.77,0.92,0.85,0.85,0.72,0.72,0.75,0.85,0.84,0.81,0.83,0.71,0.72,0.71,0.77,0.70,0.71,0.68,0.68,0.67,0.68,0.64,0.44,0.51,0.46,0.47
113-2,NaN,0.48,0.69,0.57,0.87,0.55,0.56,0.56,0.50,0.67,0.75,0.58,0.61,0.61,0.61,0.53,0.59,0.51,0.62,0.53,0.62,0.61,0.60,0.59,0.60,0.54,0.62,0.62,0.60,0.53,0.53,0.60,0.56,0.56,0.56,0.62,0.65,0.65,0.59,0.57,0.57,0.55,0.70,0.72,0.60,0.55,0.70,0.70,0.54,0.72,0.73,0.65,0.68,0.66,0.61,0.70,0.70,0.67,0.55,0.61,0.53,0.52,0.65,0.57,0.56,0.61,0.55,0.56
113-3,NaN,0.50,0.71,0.50,0.83,0.50,0.83,0.79,0.83,0.69,0.83,0.65,0.63,0.63,0.63,0.86,0.84,0.81,0.70,0.83,0.56,0.52,0.52,0.51,0.51,0.74,0.76,0.73,0.70,0.48,0.48,0.75,0.80,0.80,0.79,0.68,0.71,0.71,0.64,0.70,0.70,0.50,0.66,0.65,0.70,0.51,0.66,0.66,0.64,0.61,0.55,0.60,0.58,0.52,0.50,0.51,0.51,0.49,0.63,0.50,0.59,0.56,0.44,0.56,0.42,0.37,0.46,0.42
114-1,NaN,0.82,1.00,0.86,1.00,1.00,0.98,0.97,1.00,0.98,0.99,0.94,0.95,0.95,0.95,1.00,0.98,1.00,1.00,1.00,0.85,0.70,0.70,0.70,0.70,0.92,0.96,0.92,0.95,0.79,0.79,0.94,0.82,0.82,0.82,0.84,0.93,0.93,0.92,0.86,0.86,0.69,0.70,0.98,0.88,0.82,0.67,0.67,0.64,0.86,0.75,0.81,0.81,0.50,0.65,0.50,0.50,0.50,0.55,0.52,0.76,0.56,0.69,0.75,0.62,0.50,0.56,0.54
115-1,NaN,1.00,1.00,1.00,1.00,1.00,0.97,0.97,1.00,0.99,1.00,0.96,0.96,0.96,0.96,1.00,0.98,1.00,0.99,1.00,0.97,0.97,0.97,0.97,0.97,0.96,0.97,0.95,0.96,0.74,0.74,0.96,0.74,0.74,0.74,0.89,0.87,0.87,0.93,0.86,0.86,0.68,0.86,0.98,0.79,0.78,0.78,0.77,0.80,0.94,0.76,0.83,0.87,0.76,0.67,0.75,0.75,0.71,0.57,0.66,0.79,0.53,0.78,0.77,0.71,0.69,0.53,0.59
116-1,NaN,0.68,0.75,0.73,1.00,0.87,0.79,0.81,0.91,0.73,0.87,0.76,0.78,0.78,0.78,0.92,0.93,0.93,0.91,0.91,0.68,0.65,0.65,0.65,0.65,0.76,0.89,0.84,0.89,0.80,0.80,0.89,0.52,0.52,0.52,0.63,0.70,0.70,0.87,0.83,0.83,0.73,0.54,0.77,0.50,0.74,0.50,0.50,0.61,0.71,0.55,0.75,0.72,0.50,0.59,0.50,0.50,0.50,0.50,0.57,0.59,0.50,0.57,0.57,0.52,0.50,0.50,0.49
116-2,NaN,0.50,0.71,0.60,0.83,0.60,0.69,0.68,0.91,0.70,0.77,0.81,0.82,0.82,0.82,0.92,0.93,0.88,0.77,0.91,0.63,0.65,0.65,0.65,0.65,0.69,0.86,0.73,0.89,0.76,0.76,0.87,0.52,0.52,0.52,0.58,0.70,0.70,0.81,0.83,0.83,0.70,0.54,0.73,0.50,0.71,0.50,0.50,0.61,0.68,0.52,0.68,0.68,0.50,0.57,0.50,0.50,0.50,0.50,0.59,0.49,0.50,0.56,0.49,0.52,0.50,0.50,0.50
117-1,NaN,1.00,1.00,0.98,1.00,0.97,0.91,0.91,1.00,1.00,0.99,0.93,0.97,0.97,0.97,0.95,0.95,0.97,0.95,0.95,0.91,0.93,0.92,0.91,0.90,0.86,0.93,0.89,0.95,0.90,0.90,0.92,0.90,0.90,0.90,0.91,0.92,0.92,0.92,0.86,0.86,0.86,0.85,0.88,0.90,0.83,0.81,0.81,0.78,0.77,0.81,0.71,0.74,0.84,0.67,0.82,0.81,0.74,0.65,0.57,0.63,0.59,0.60,0.60,0.52,0.44,0.60,0.52
117-2,NaN,0.82,0.68,0.80,0.79,0.80,0.75,0.72,0.50,0.67,0.80,0.61,0.60,0.60,0.60,0.50,0.58,0.59,0.72,0.50,0.50,0.50,0.50,0.50,0.50,0.69,0.65,0.69,0.65,0.65,0.65,0.66,0.50,0.50,0.50,0.55,0.50,0.50,0.68,0.65,0.65,0.62,0.50,0.63,0.50,0.64,0.50,0.50,0.58,0.61,0.52,0.61,0.61,0.50,0.57,0.50,0.50,0.50,0.50,0.50,0.48,0.52,0.51,0.48,0.50,0.49,0.50,0.49
119-1,NaN,1.00,1.00,1.00,1.00,1.00,0.94,0.94,1.00,0.97,1.00,0.95,0.95,0.95,0.95,1.00,0.98,1.00,0.99,1.00,0.89,0.79,0.79,0.78,0.78,0.90,0.93,0.90,0.95,0.90,0.90,0.93,0.78,0.78,0.78,0.86,0.91,0.91,0.93,0.88,0.89,0.83,0.77,0.80,0.71,0.82,0.66,0.66,0.78,0.79,0.77,0.74,0.72,0.56,0.70,0.56,0.56,0.54,0.59,0.60,0.72,0.61,0.66,0.67,0.56,0.49,0.54,0.49
120-1,NaN,1.00,1.00,1.00,1.00,1.00,0.96,0.99,1.00,0.97,0.99,0.98,0.98,0.98,0.98,1.00,0.98,1.00,0.99,1.00,0.97,0.94,0.96,0.96,0.96,0.94,0.96,0.95,0.95,0.85,0.85,0.94,0.92,0.92,0.92,0.94,0.93,0.93,0.93,0.85,0.85,0.76,0.87,0.97,0.93,0.83,0.83,0.83,0.85,0.90,0.86,0.82,0.85,0.76,0.67,0.75,0.74,0.74,0.56,0.51,0.77,0.57,0.69,0.72,0.65,0.51,0.60,0.56
