ID-model,GO:0003674,GO:0008527,GO:0016874,GO:0016879,GO:0016881,GO:0019787,GO:0004842,GO:0008509,GO:0004930,GO:0042578,GO:0016887,GO:0000982,GO:0001077,GO:0016462,GO:0016818,GO:0016301,GO:0017111,GO:0016772,GO:0005216,GO:0015267,GO:0022803,GO:0022838,GO:0016817,GO:0015075,GO:0016746,GO:0016773,GO:0003700,GO:0001071,GO:0004672,GO:0004888,GO:0004674,GO:0016747,GO:0016788,GO:0038023,GO:0004872,GO:0022891,GO:0022857,GO:0001228,GO:0000981,GO:0003677,GO:0016491,GO:0022892,GO:0016740,GO:0004871,GO:0060089,GO:0003823,GO:0043565,GO:0000977,GO:0001012,GO:0008324,GO:0022836,GO:0022839,GO:0016787,GO:0005215,GO:0000976,GO:0005261,GO:0005198,GO:0008233,GO:0000987,GO:0001159,GO:0046873,GO:0022890,GO:0000978,GO:0003676,GO:0046872,GO:0003824,GO:0070011,GO:0001067,GO:0000975,GO:0044212,GO:1901363,GO:0097159,GO:0043169,GO:0042803,GO:0036094,GO:0008092,GO:0043167,GO:0043168,GO:0008047,GO:0031267,GO:0017016,GO:0005543,GO:0003723,GO:0051020,GO:0005488,GO:0042802,GO:0030234,GO:0015631,GO:0008289,GO:0003729,GO:0005515,GO:0046983,GO:0005102,GO:0003682,GO:0032403,GO:0019899,GO:0046982,GO:0030674,GO:0031625,GO:0044389,GO:0060090,GO:0043566,GO:0031490,GO:0019901,GO:0019900,GO:0019904
103-1,NaN,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50
103-2,NaN,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50
103-3,NaN,0.67,0.69,0.68,0.68,0.68,0.70,0.60,0.93,0.75,0.77,0.53,0.50,0.73,0.73,0.89,0.74,0.90,0.70,0.70,0.70,0.70,0.73,0.69,0.75,0.88,0.76,0.76,0.87,0.83,0.88,0.73,0.76,0.83,0.84,0.68,0.68,0.50,0.55,0.80,0.71,0.69,0.85,0.84,0.84,0.50,0.69,0.50,0.50,0.70,0.64,0.64,0.75,0.69,0.50,0.69,0.67,0.71,0.50,0.50,0.65,0.65,0.50,0.77,0.69,0.77,0.70,0.50,0.50,0.50,0.74,0.73,0.65,0.50,0.67,0.57,0.62,0.62,0.54,0.50,0.50,0.54,0.67,0.50,0.58,0.49,0.54,0.50,0.55,0.51,0.54,0.48,0.53,0.54,0.50,0.49,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.54
104-1,NaN,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50
104-2,NaN,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50
104-3,NaN,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50
105-1,NaN,1.00,0.99,0.99,0.99,0.99,1.00,1.00,0.99,0.99,0.94,0.95,0.94,0.93,0.93,0.94,0.93,0.94,0.96,0.96,0.96,0.96,0.93,0.95,0.94,0.93,0.90,0.90,0.93,0.98,0.92,0.93,0.97,0.97,0.96,0.93,0.93,0.91,0.90,0.87,0.98,0.94,0.92,0.95,0.95,0.84,0.91,0.88,0.88,0.91,0.87,0.87,0.86,0.89,0.83,0.92,0.89,0.80,0.84,0.84,0.91,0.89,0.85,0.85,0.78,0.83,0.77,0.71,0.71,0.70,0.73,0.72,0.75,0.58,0.66,0.81,0.64,0.72,0.66,0.75,0.75,0.71,0.90,0.75,0.61,0.59,0.68,0.78,0.62,0.91,0.65,0.57,0.59,0.68,0.59,0.58,0.71,0.74,0.59,0.59,0.73,0.60,0.56,0.55,0.59,0.49
105-2,NaN,1.00,0.99,0.99,0.99,0.99,0.99,1.00,0.99,0.99,0.92,0.92,0.89,0.93,0.93,0.95,0.93,0.95,0.96,0.96,0.96,0.96,0.93,0.96,0.93,0.94,0.92,0.92,0.94,0.98,0.93,0.93,0.98,0.97,0.96,0.93,0.93,0.89,0.90,0.91,0.99,0.94,0.93,0.95,0.95,0.83,0.89,0.86,0.86,0.89,0.87,0.87,0.89,0.90,0.82,0.85,0.85,0.82,0.79,0.79,0.87,0.87,0.77,0.87,0.76,0.86,0.78,0.80,0.80,0.80,0.77,0.76,0.73,0.59,0.67,0.76,0.64,0.74,0.66,0.77,0.77,0.74,0.87,0.77,0.58,0.56,0.70,0.75,0.63,0.66,0.62,0.55,0.62,0.77,0.62,0.56,0.70,0.54,0.62,0.62,0.54,0.58,0.47,0.53,0.61,0.50
105-3,NaN,1.00,0.98,0.99,0.99,0.99,0.99,1.00,0.99,0.99,0.96,0.86,0.83,0.94,0.94,0.93,0.94,0.93,0.96,0.96,0.96,0.96,0.94,0.95,0.98,0.93,0.92,0.92,0.92,0.98,0.92,0.98,0.98,0.97,0.96,0.94,0.94,0.85,0.87,0.92,0.99,0.94,0.92,0.94,0.94,0.88,0.89,0.82,0.82,0.88,0.86,0.86,0.88,0.88,0.80,0.84,0.88,0.85,0.74,0.74,0.86,0.84,0.74,0.86,0.81,0.84,0.82,0.78,0.78,0.78,0.75,0.74,0.78,0.65,0.64,0.75,0.66,0.71,0.71,0.79,0.79,0.64,0.82,0.79,0.59,0.58,0.73,0.74,0.61,0.63,0.61,0.59,0.58,0.80,0.58,0.58,0.68,0.71,0.69,0.69,0.71,0.63,0.65,0.56,0.60,0.58
106-1,NaN,0.71,0.65,0.54,0.54,0.50,0.50,0.55,1.00,0.70,0.81,0.53,0.54,0.80,0.80,0.71,0.82,0.74,0.65,0.65,0.65,0.65,0.80,0.70,0.58,0.76,0.72,0.72,0.72,0.94,0.50,0.50,0.68,0.94,0.92,0.70,0.72,0.52,0.53,0.73,0.71,0.71,0.73,0.89,0.89,0.49,0.68,0.50,0.50,0.70,0.61,0.61,0.79,0.72,0.52,0.61,0.79,0.75,0.50,0.50,0.73,0.73,0.50,0.70,0.77,0.72,0.75,0.52,0.52,0.52,0.66,0.66,0.72,0.50,0.66,0.55,0.65,0.64,0.54,0.53,0.53,0.54,0.56,0.53,0.60,0.49,0.54,0.50,0.55,0.51,0.57,0.48,0.55,0.54,0.50,0.50,0.49,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50
106-2,NaN,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.70,0.68,0.50,0.50,0.60,0.60,0.50,0.61,0.50,0.50,0.50,0.50,0.50,0.60,0.54,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.65,0.50,0.50,0.53,0.53,0.50,0.50,0.50,0.57,0.55,0.53,0.50,0.50,0.50,0.50,0.50,0.50,0.56,0.50,0.50,0.65,0.55,0.50,0.50,0.50,0.54,0.50,0.50,0.58,0.58,0.50,0.50,0.75,0.58,0.55,0.50,0.50,0.50,0.49,0.49,0.70,0.50,0.67,0.50,0.66,0.61,0.50,0.50,0.50,0.50,0.50,0.50,0.48,0.50,0.50,0.50,0.53,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50
106-3,NaN,0.50,0.61,0.50,0.50,0.50,0.50,0.50,0.53,0.50,0.77,0.53,0.54,0.78,0.78,0.73,0.80,0.71,0.55,0.55,0.55,0.55,0.78,0.58,0.54,0.73,0.60,0.60,0.72,0.58,0.50,0.50,0.53,0.58,0.60,0.57,0.59,0.52,0.53,0.64,0.64,0.57,0.68,0.57,0.57,0.49,0.57,0.50,0.50,0.59,0.55,0.55,0.69,0.58,0.51,0.54,0.79,0.67,0.50,0.50,0.54,0.58,0.50,0.61,0.65,0.65,0.65,0.51,0.51,0.51,0.57,0.57,0.62,0.50,0.65,0.54,0.62,0.61,0.50,0.53,0.53,0.54,0.53,0.53,0.54,0.49,0.50,0.50,0.53,0.51,0.54,0.49,0.51,0.50,0.50,0.50,0.49,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50
107-1,NaN,1.00,0.99,0.99,0.99,0.99,0.99,1.00,0.99,0.98,0.93,0.73,0.70,0.93,0.93,0.96,0.93,0.96,0.96,0.96,0.96,0.96,0.93,0.96,0.90,0.95,0.90,0.90,0.95,0.96,0.95,0.90,0.97,0.94,0.93,0.94,0.94,0.79,0.87,0.89,0.98,0.94,0.92,0.93,0.93,0.88,0.89,0.76,0.76,0.88,0.88,0.88,0.87,0.90,0.75,0.86,0.81,0.84,0.66,0.66,0.86,0.86,0.65,0.86,0.83,0.84,0.81,0.77,0.77,0.77,0.76,0.74,0.80,0.55,0.72,0.72,0.74,0.76,0.68,0.69,0.69,0.70,0.87,0.68,0.58,0.49,0.69,0.63,0.65,0.66,0.65,0.51,0.65,0.73,0.56,0.57,0.51,0.52,0.55,0.55,0.52,0.59,0.49,0.48,0.53,0.47
107-2,NaN,1.00,0.98,0.98,0.99,0.99,0.99,0.99,1.00,0.99,0.91,0.75,0.66,0.90,0.90,0.96,0.91,0.96,0.92,0.92,0.92,0.92,0.90,0.92,0.86,0.96,0.90,0.90,0.95,0.99,0.95,0.85,0.98,0.99,0.98,0.91,0.91,0.70,0.76,0.92,0.99,0.92,0.94,0.94,0.94,0.89,0.88,0.75,0.75,0.89,0.85,0.85,0.88,0.88,0.73,0.87,0.86,0.85,0.61,0.61,0.79,0.78,0.60,0.88,0.73,0.89,0.82,0.80,0.80,0.79,0.78,0.78,0.73,0.59,0.59,0.69,0.63,0.71,0.63,0.61,0.61,0.73,0.82,0.60,0.55,0.53,0.71,0.66,0.70,0.65,0.59,0.53,0.58,0.71,0.56,0.54,0.52,0.52,0.50,0.50,0.52,0.55,0.49,0.53,0.57,0.48
107-3,NaN,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50
108-1,NaN,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50
109-1,NaN,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50
110-1,NaN,0.71,0.82,0.79,0.79,0.80,0.77,0.54,0.71,0.83,0.69,0.66,0.61,0.69,0.69,0.93,0.68,0.93,0.61,0.61,0.61,0.61,0.69,0.67,0.60,0.93,0.65,0.65,0.96,0.68,0.95,0.61,0.81,0.67,0.67,0.65,0.65,0.62,0.66,0.70,0.84,0.65,0.78,0.68,0.68,0.49,0.64,0.62,0.62,0.71,0.63,0.63,0.65,0.63,0.64,0.64,0.71,0.65,0.58,0.58,0.75,0.75,0.59,0.71,0.68,0.71,0.63,0.69,0.69,0.68,0.67,0.66,0.64,0.54,0.44,0.56,0.61,0.59,0.53,0.55,0.55,0.62,0.73,0.54,0.54,0.47,0.58,0.57,0.59,0.66,0.54,0.48,0.54,0.62,0.43,0.48,0.46,0.54,0.67,0.67,0.54,0.46,0.48,0.55,0.61,0.39
110-2,NaN,0.71,0.99,0.98,0.98,0.98,0.83,1.00,0.99,0.99,0.93,0.64,0.53,0.94,0.94,0.92,0.94,0.94,0.83,0.83,0.83,0.83,0.95,0.88,0.94,0.93,0.81,0.90,0.94,0.91,0.88,0.93,0.98,0.86,0.96,0.86,0.86,0.55,0.83,0.84,0.91,0.85,0.93,0.86,0.96,0.84,0.73,0.70,0.72,0.76,0.62,0.62,0.92,0.82,0.69,0.70,0.78,0.80,0.51,0.51,0.68,0.68,0.52,0.80,0.80,0.88,0.76,0.74,0.67,0.63,0.75,0.74,0.77,0.50,0.71,0.83,0.73,0.75,0.64,0.63,0.61,0.71,0.71,0.67,0.76,0.51,0.72,0.57,0.66,0.65,0.77,0.51,0.57,0.69,0.51,0.54,0.51,0.52,0.50,0.68,0.49,0.69,0.46,0.46,0.51,0.53
