ID-model,GO:0005575,GO:0005623,GO:0044464,GO:0005622,GO:0044424,GO:0012505
129-1,NaN,0.22,0.22,0.61,0.60,0.54
129-2,NaN,0.50,0.50,0.50,0.50,0.50
129-3,NaN,0.22,0.22,0.61,0.60,0.54
130-1,NaN,0.50,0.50,0.50,0.50,0.50
130-2,NaN,0.50,0.50,0.50,0.50,0.50
130-3,NaN,0.50,0.50,0.50,0.50,0.50
131-1,NaN,0.72,0.72,0.77,0.77,0.55
131-2,NaN,0.76,0.76,0.76,0.76,0.55
131-3,NaN,0.89,0.89,0.76,0.76,0.60
132-1,NaN,0.93,0.93,0.67,0.67,0.61
132-2,NaN,0.93,0.93,0.70,0.70,0.61
65-1,NaN,0.07,0.07,0.62,0.62,0.39
65-2,NaN,0.07,0.07,0.62,0.62,0.48
65-3,NaN,0.07,0.07,0.62,0.62,0.36
68-1,NaN,0.50,0.50,0.50,0.50,0.50
68-2,NaN,0.50,0.50,0.50,0.50,0.50
69-1,NaN,0.33,0.33,0.69,0.68,0.68
69-2,NaN,0.41,0.41,0.60,0.60,0.66
70-1,NaN,0.50,0.50,0.50,0.50,0.50
70-2,NaN,0.09,0.09,0.46,0.46,0.48
70-3,NaN,0.89,0.89,0.43,0.43,0.45
72-1,NaN,0.70,0.70,0.50,0.50,0.59
72-2,NaN,0.69,0.69,0.48,0.48,0.55
73-1,NaN,0.85,0.85,0.68,0.68,0.46
73-2,NaN,0.85,0.85,0.68,0.68,0.44
73-3,NaN,0.48,0.48,0.53,0.53,0.53
74-1,NaN,0.37,0.37,0.55,0.55,0.56
74-2,NaN,0.59,0.59,0.79,0.74,0.58
75-1,NaN,0.33,0.33,0.70,0.68,0.68
75-2,NaN,0.41,0.41,0.60,0.60,0.66
79-1,NaN,0.50,0.50,0.50,0.50,0.50
79-2,NaN,0.50,0.50,0.50,0.50,0.50
79-3,NaN,0.50,0.50,0.50,0.50,0.50
80-1,NaN,0.41,0.41,0.57,0.57,0.56
80-2,NaN,0.67,0.67,0.78,0.78,0.58
81-1,NaN,0.93,0.93,0.71,0.71,0.51
81-2,NaN,0.93,0.93,0.71,0.71,0.51
82-1,NaN,0.93,0.93,0.60,0.60,0.46
83-1,NaN,0.56,0.74,0.73,0.73,0.55
83-2,NaN,0.56,0.74,0.73,0.73,0.55
84-1,NaN,0.96,0.96,0.39,0.39,0.57
85-1,NaN,0.81,0.81,0.69,0.69,0.56
85-2,NaN,0.81,0.81,0.69,0.69,0.56
86-1,NaN,0.50,0.50,0.45,0.41,0.50
86-2,NaN,0.50,0.50,0.45,0.41,0.50
86-3,NaN,0.59,0.59,0.54,0.54,0.50
87-1,NaN,0.50,0.50,0.50,0.50,0.50
87-2,NaN,0.50,0.50,0.50,0.50,0.50
87-3,NaN,0.87,0.87,0.71,0.71,0.53
88-1,NaN,0.50,0.50,0.50,0.50,0.50
89-1,NaN,0.50,0.50,0.50,0.50,0.50
89-2,NaN,0.50,0.50,0.50,0.50,0.50
89-3,NaN,0.50,0.50,0.50,0.50,0.50
91-1,NaN,0.50,0.50,0.50,0.50,0.50
91-2,NaN,0.50,0.50,0.50,0.50,0.50
91-3,NaN,0.50,0.50,0.50,0.50,0.50
93-1,NaN,0.50,0.50,0.50,0.50,0.50
93-2,NaN,0.50,0.50,0.50,0.50,0.50
94-1,NaN,0.93,0.93,0.60,0.60,0.61
95-1,NaN,0.50,0.50,0.50,0.50,0.50
95-2,NaN,0.50,0.50,0.50,0.50,0.50
96-1,NaN,0.50,0.50,0.50,0.50,0.50
96-2,NaN,0.50,0.50,0.50,0.50,0.50
96-3,NaN,0.50,0.50,0.50,0.50,0.50
97-1,NaN,0.93,0.93,0.51,0.51,0.57
97-2,NaN,0.50,0.50,0.50,0.50,0.50
97-3,NaN,0.50,0.50,0.50,0.50,0.50
98-1,NaN,0.93,0.93,0.79,0.79,0.76
99-1,NaN,0.96,0.96,0.66,0.67,0.52
