ID-model,GO:0008150,GO:0044723,GO:0006139,GO:0005975,GO:0044281,GO:0009059,GO:0006725,GO:0046483,GO:0042221,GO:1901360,GO:0044710,GO:0051716,GO:1901576,GO:0009058,GO:0005976,GO:0034641,GO:0044249,GO:0018130,GO:0019438,GO:0006807,GO:1901362,GO:0044238,GO:0008152,GO:0071704,GO:0044763,GO:0050896,GO:0044699,GO:0044237,GO:0050789,GO:0044271,GO:0043170,GO:1901564,GO:0044260,GO:0065007,GO:1901566,GO:0006810,GO:0051234,GO:0051704,GO:0044765,GO:0009987,GO:0019538,GO:0006950,GO:0051179
106-1,NaN,0.61,0.65,0.59,0.74,0.72,0.65,0.63,0.62,0.65,0.73,0.61,0.66,0.76,0.65,0.58,0.78,0.63,0.63,0.62,0.63,0.67,0.69,0.60,0.58,0.62,0.70,0.69,0.72,0.57,0.63,0.69,0.60,0.72,0.65,0.92,0.92,0.50,0.91,0.64,0.67,0.59,0.88
106-2,NaN,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50
106-3,NaN,0.61,0.66,0.59,0.74,0.72,0.65,0.64,0.62,0.65,0.73,0.57,0.66,0.66,0.65,0.59,0.68,0.63,0.63,0.62,0.63,0.66,0.63,0.59,0.52,0.59,0.57,0.64,0.56,0.57,0.61,0.69,0.60,0.56,0.65,0.69,0.69,0.50,0.66,0.59,0.62,0.59,0.63
107-1,NaN,0.85,0.77,0.78,0.83,0.94,0.76,0.67,0.62,0.69,0.69,0.65,0.75,0.81,0.94,0.64,0.78,0.70,0.69,0.64,0.69,0.71,0.68,0.65,0.54,0.60,0.65,0.65,0.71,0.68,0.77,0.65,0.69,0.71,0.70,0.92,0.92,0.58,0.94,0.60,0.80,0.57,0.81
107-2,NaN,0.85,0.73,0.77,0.81,0.86,0.76,0.62,0.57,0.63,0.70,0.66,0.74,0.79,0.92,0.59,0.78,0.62,0.64,0.64,0.62,0.71,0.67,0.65,0.53,0.64,0.70,0.68,0.78,0.61,0.69,0.66,0.66,0.79,0.69,0.98,0.98,0.57,0.99,0.60,0.72,0.54,0.83
107-3,NaN,0.85,0.75,0.79,0.84,0.81,0.78,0.76,0.51,0.77,0.72,0.61,0.74,0.76,0.94,0.71,0.74,0.80,0.81,0.70,0.80,0.72,0.66,0.68,0.49,0.61,0.62,0.72,0.73,0.75,0.69,0.75,0.69,0.73,0.79,0.98,0.98,0.57,0.99,0.61,0.69,0.57,0.87
108-1,NaN,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50
109-1,NaN,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50
110-1,NaN,0.86,0.84,0.78,0.79,0.84,0.78,0.76,0.68,0.77,0.67,0.57,0.71,0.71,0.82,0.69,0.65,0.69,0.69,0.66,0.68,0.75,0.71,0.75,0.39,0.62,0.42,0.69,0.62,0.60,0.75,0.59,0.74,0.59,0.57,0.64,0.63,0.63,0.59,0.54,0.79,0.60,0.53
110-2,NaN,0.95,0.78,0.88,0.73,0.95,0.66,0.65,0.66,0.65,0.57,0.69,0.71,0.71,0.93,0.57,0.65,0.63,0.61,0.59,0.62,0.67,0.67,0.71,0.43,0.61,0.56,0.68,0.69,0.52,0.75,0.59,0.77,0.70,0.55,0.91,0.91,0.60,0.90,0.68,0.76,0.56,0.75
110-3,NaN,0.59,0.66,0.62,0.70,0.67,0.61,0.64,0.70,0.60,0.59,0.63,0.64,0.64,0.68,0.55,0.70,0.73,0.73,0.48,0.73,0.55,0.56,0.54,0.40,0.65,0.48,0.58,0.55,0.62,0.62,0.57,0.71,0.55,0.63,0.68,0.68,0.41,0.65,0.55,0.73,0.71,0.69
111-1,NaN,0.86,0.84,0.78,0.79,0.84,0.78,0.76,0.68,0.77,0.67,0.57,0.71,0.71,0.82,0.69,0.65,0.69,0.69,0.66,0.68,0.75,0.71,0.75,0.39,0.62,0.42,0.69,0.62,0.60,0.75,0.59,0.74,0.59,0.57,0.64,0.63,0.63,0.59,0.54,0.79,0.60,0.53
111-2,NaN,0.59,0.66,0.62,0.70,0.67,0.61,0.64,0.70,0.60,0.59,0.63,0.64,0.64,0.68,0.55,0.70,0.73,0.73,0.48,0.73,0.55,0.56,0.54,0.40,0.65,0.48,0.58,0.55,0.62,0.62,0.57,0.71,0.55,0.63,0.68,0.68,0.41,0.65,0.55,0.73,0.71,0.69
111-3,NaN,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50
112-1,NaN,0.90,0.76,0.90,0.84,0.91,0.74,0.72,0.78,0.72,0.64,0.79,0.76,0.76,0.96,0.60,0.73,0.78,0.78,0.59,0.77,0.71,0.74,0.74,0.39,0.79,0.55,0.74,0.68,0.65,0.80,0.66,0.80,0.67,0.68,0.92,0.92,0.56,0.92,0.69,0.76,0.67,0.84
112-2,NaN,0.91,0.76,0.91,0.84,0.91,0.74,0.72,0.78,0.73,0.65,0.79,0.76,0.76,0.96,0.60,0.73,0.78,0.78,0.59,0.78,0.71,0.74,0.74,0.39,0.79,0.56,0.74,0.69,0.65,0.80,0.66,0.80,0.67,0.68,0.92,0.92,0.56,0.92,0.69,0.77,0.66,0.84
112-3,NaN,0.90,0.73,0.91,0.85,0.91,0.72,0.70,0.79,0.70,0.65,0.79,0.78,0.78,0.96,0.58,0.74,0.77,0.77,0.58,0.77,0.71,0.72,0.76,0.33,0.80,0.49,0.69,0.68,0.66,0.79,0.69,0.77,0.67,0.70,0.94,0.94,0.56,0.94,0.61,0.74,0.67,0.84
113-1,NaN,0.91,0.73,0.92,0.85,0.91,0.72,0.70,0.79,0.71,0.66,0.79,0.78,0.78,0.96,0.59,0.74,0.77,0.78,0.59,0.77,0.71,0.73,0.77,0.33,0.80,0.50,0.70,0.69,0.67,0.80,0.69,0.77,0.67,0.69,0.95,0.95,0.56,0.95,0.61,0.74,0.66,0.83
113-2,NaN,0.59,0.63,0.62,0.67,0.68,0.59,0.62,0.70,0.59,0.57,0.63,0.65,0.65,0.68,0.55,0.71,0.72,0.72,0.48,0.72,0.52,0.51,0.51,0.37,0.65,0.45,0.54,0.57,0.63,0.58,0.57,0.66,0.57,0.63,0.65,0.65,0.41,0.65,0.53,0.68,0.71,0.67
113-3,NaN,0.86,0.83,0.78,0.79,0.85,0.77,0.75,0.68,0.76,0.65,0.57,0.71,0.71,0.82,0.68,0.65,0.69,0.69,0.66,0.68,0.70,0.67,0.69,0.40,0.62,0.43,0.64,0.60,0.60,0.69,0.60,0.64,0.57,0.57,0.65,0.64,0.63,0.60,0.52,0.65,0.60,0.53
114-1,NaN,0.88,0.85,0.89,0.83,0.96,0.87,0.85,0.78,0.86,0.72,0.66,0.83,0.84,0.96,0.77,0.79,0.95,0.95,0.75,0.95,0.73,0.73,0.70,0.66,0.69,0.80,0.70,0.72,0.84,0.81,0.80,0.77,0.73,0.87,0.96,0.96,0.55,0.96,0.63,0.75,0.59,0.91
115-1,NaN,0.91,0.84,0.90,0.87,0.95,0.77,0.74,0.65,0.76,0.82,0.59,0.77,0.86,0.94,0.66,0.82,0.78,0.79,0.67,0.78,0.77,0.69,0.68,0.59,0.65,0.76,0.77,0.73,0.69,0.80,0.64,0.71,0.73,0.73,0.97,0.97,0.50,0.98,0.61,0.72,0.57,0.88
116-1,NaN,0.73,0.68,0.72,0.70,0.85,0.63,0.61,0.62,0.63,0.69,0.60,0.69,0.85,0.80,0.56,0.75,0.52,0.52,0.62,0.52,0.75,0.70,0.65,0.59,0.61,0.71,0.71,0.66,0.52,0.77,0.60,0.67,0.66,0.56,0.98,0.98,0.47,0.91,0.58,0.70,0.51,0.84
116-2,NaN,0.58,0.52,0.60,0.56,0.58,0.55,0.53,0.50,0.55,0.59,0.53,0.55,0.66,0.60,0.49,0.63,0.49,0.49,0.53,0.48,0.59,0.64,0.58,0.48,0.54,0.52,0.60,0.61,0.49,0.58,0.52,0.54,0.61,0.49,0.77,0.77,0.46,0.62,0.54,0.64,0.49,0.69
117-1,NaN,0.98,0.85,0.93,0.80,0.91,0.69,0.68,0.81,0.69,0.72,0.75,0.71,0.83,0.95,0.59,0.80,0.59,0.61,0.61,0.58,0.71,0.67,0.65,0.67,0.73,0.72,0.70,0.83,0.56,0.74,0.58,0.75,0.84,0.58,0.80,0.79,0.63,0.83,0.66,0.81,0.68,0.79
117-2,NaN,0.49,0.58,0.53,0.57,0.50,0.59,0.57,0.50,0.59,0.55,0.54,0.55,0.61,0.50,0.54,0.59,0.59,0.59,0.57,0.59,0.56,0.57,0.55,0.54,0.56,0.58,0.56,0.54,0.54,0.51,0.59,0.50,0.54,0.58,0.61,0.61,0.49,0.61,0.58,0.53,0.60,0.62
119-1,NaN,0.90,0.74,0.83,0.89,0.90,0.74,0.72,0.76,0.73,0.71,0.70,0.76,0.83,0.83,0.64,0.87,0.81,0.81,0.64,0.81,0.61,0.59,0.55,0.46,0.68,0.57,0.63,0.76,0.77,0.66,0.69,0.68,0.75,0.77,0.97,0.96,0.68,0.97,0.59,0.71,0.68,0.90
120-1,NaN,0.91,0.86,0.90,0.85,0.96,0.87,0.87,0.74,0.87,0.74,0.61,0.82,0.85,0.95,0.77,0.79,0.89,0.89,0.75,0.89,0.72,0.70,0.69,0.66,0.67,0.83,0.68,0.74,0.81,0.80,0.82,0.74,0.74,0.90,0.96,0.96,0.52,0.98,0.63,0.79,0.59,0.90
120-2,NaN,0.50,0.64,0.64,0.63,0.48,0.70,0.72,0.51,0.70,0.49,0.49,0.47,0.47,0.50,0.63,0.47,0.65,0.65,0.60,0.65,0.48,0.62,0.53,0.56,0.62,0.65,0.57,0.50,0.64,0.47,0.57,0.42,0.49,0.50,0.80,0.81,0.50,0.78,0.53,0.40,0.48,0.79
120-3,NaN,0.50,0.49,0.50,0.64,0.49,0.56,0.71,0.50,0.55,0.54,0.63,0.47,0.47,0.50,0.52,0.49,0.49,0.49,0.53,0.49,0.50,0.57,0.62,0.63,0.64,0.68,0.57,0.50,0.49,0.49,0.55,0.55,0.47,0.50,0.71,0.71,0.50,0.72,0.58,0.48,0.51,0.70
121-1,NaN,0.78,0.59,0.75,0.63,0.79,0.60,0.57,0.65,0.59,0.71,0.61,0.69,0.78,0.75,0.53,0.65,0.57,0.57,0.57,0.57,0.64,0.62,0.53,0.59,0.63,0.74,0.49,0.67,0.52,0.62,0.66,0.50,0.67,0.61,0.95,0.95,0.48,0.90,0.49,0.61,0.59,0.89
121-2,NaN,0.54,0.50,0.53,0.53,0.55,0.53,0.53,0.50,0.53,0.51,0.49,0.54,0.54,0.55,0.52,0.52,0.55,0.55,0.52,0.55,0.50,0.54,0.52,0.49,0.49,0.49,0.52,0.50,0.54,0.52,0.53,0.49,0.50,0.54,0.50,0.50,0.50,0.50,0.50,0.50,0.49,0.50
121-3,NaN,0.82,0.57,0.79,0.69,0.83,0.60,0.59,0.69,0.60,0.73,0.65,0.72,0.84,0.80,0.54,0.76,0.62,0.62,0.57,0.62,0.64,0.66,0.57,0.65,0.63,0.77,0.56,0.71,0.56,0.64,0.68,0.53,0.71,0.65,0.96,0.96,0.50,0.89,0.56,0.66,0.58,0.91
122-1,NaN,0.62,0.66,0.63,0.68,0.68,0.64,0.62,0.61,0.64,0.63,0.61,0.64,0.75,0.60,0.57,0.70,0.62,0.63,0.58,0.62,0.66,0.67,0.59,0.65,0.63,0.71,0.63,0.70,0.57,0.61,0.63,0.59,0.70,0.61,0.72,0.72,0.54,0.72,0.62,0.68,0.57,0.73
124-1,NaN,0.33,0.52,0.31,0.43,0.32,0.47,0.49,0.60,0.48,0.47,0.49,0.36,0.29,0.30,0.47,0.35,0.47,0.46,0.48,0.46,0.36,0.41,0.44,0.65,0.59,0.61,0.42,0.60,0.50,0.41,0.37,0.56,0.60,0.58,0.87,0.87,0.45,0.91,0.49,0.65,0.45,0.59
124-2,NaN,0.26,0.34,0.26,0.35,0.18,0.35,0.37,0.35,0.36,0.37,0.47,0.31,0.22,0.16,0.42,0.28,0.41,0.41,0.38,0.41,0.36,0.38,0.42,0.46,0.45,0.29,0.42,0.34,0.46,0.33,0.29,0.43,0.34,0.41,0.01,0.01,0.48,0.02,0.46,0.34,0.54,0.14
124-3,NaN,0.34,0.52,0.33,0.40,0.32,0.47,0.49,0.60,0.48,0.40,0.50,0.36,0.29,0.30,0.47,0.35,0.46,0.46,0.48,0.46,0.35,0.41,0.45,0.65,0.59,0.61,0.41,0.60,0.50,0.41,0.37,0.57,0.60,0.49,0.88,0.88,0.45,0.92,0.49,0.66,0.46,0.60
125-1,NaN,0.88,0.85,0.89,0.83,0.96,0.87,0.85,0.77,0.86,0.72,0.63,0.82,0.83,0.96,0.77,0.79,0.95,0.95,0.75,0.95,0.73,0.73,0.70,0.65,0.70,0.81,0.70,0.72,0.84,0.81,0.80,0.77,0.73,0.87,0.96,0.96,0.53,0.96,0.63,0.75,0.59,0.91
125-2,NaN,0.97,0.73,0.91,0.84,0.93,0.70,0.68,0.69,0.70,0.75,0.67,0.75,0.83,0.90,0.63,0.77,0.67,0.67,0.65,0.67,0.74,0.67,0.66,0.69,0.60,0.76,0.66,0.73,0.59,0.75,0.73,0.67,0.73,0.70,0.94,0.94,0.53,0.97,0.61,0.78,0.59,0.89
125-3,NaN,0.79,0.87,0.75,0.76,0.67,0.89,0.86,0.73,0.89,0.73,0.67,0.70,0.71,0.67,0.65,0.68,0.70,0.84,0.64,0.84,0.66,0.67,0.66,0.59,0.58,0.62,0.70,0.59,0.64,0.66,0.62,0.71,0.58,0.62,0.71,0.70,0.71,0.66,0.69,0.70,0.56,0.69
126-1,NaN,0.49,0.61,0.54,0.72,0.53,0.55,0.55,0.58,0.55,0.71,0.48,0.55,0.55,0.50,0.55,0.57,0.53,0.53,0.55,0.53,0.57,0.53,0.54,0.45,0.60,0.60,0.49,0.55,0.53,0.55,0.58,0.50,0.58,0.57,0.94,0.93,0.54,0.86,0.48,0.65,0.49,0.82
127-1,NaN,0.90,0.72,0.81,0.78,0.90,0.82,0.83,0.82,0.83,0.72,0.74,0.87,0.86,0.85,0.73,0.79,0.87,0.88,0.72,0.87,0.63,0.67,0.66,0.55,0.71,0.63,0.64,0.72,0.79,0.69,0.74,0.60,0.71,0.80,0.84,0.84,0.49,0.86,0.53,0.54,0.70,0.72
127-2,NaN,0.98,0.73,0.87,0.79,0.88,0.69,0.78,0.80,0.78,0.72,0.72,0.73,0.71,0.84,0.60,0.67,0.69,0.69,0.60,0.68,0.63,0.68,0.64,0.55,0.69,0.65,0.66,0.65,0.62,0.70,0.58,0.65,0.65,0.60,0.88,0.88,0.61,0.89,0.56,0.62,0.65,0.78
127-3,NaN,0.63,0.59,0.61,0.47,0.63,0.54,0.55,0.47,0.54,0.52,0.51,0.56,0.56,0.67,0.60,0.53,0.48,0.48,0.58,0.48,0.62,0.59,0.61,0.49,0.45,0.47,0.56,0.52,0.52,0.64,0.57,0.58,0.52,0.52,0.44,0.44,0.53,0.44,0.53,0.54,0.47,0.48
128-1,NaN,0.91,0.79,0.84,0.78,0.82,0.67,0.66,0.77,0.66,0.66,0.56,0.63,0.63,0.68,0.60,0.60,0.56,0.55,0.58,0.54,0.66,0.60,0.58,0.54,0.70,0.55,0.58,0.49,0.54,0.63,0.54,0.63,0.48,0.52,0.67,0.67,0.67,0.67,0.53,0.61,0.67,0.59
129-1,NaN,0.91,0.89,0.81,0.79,0.80,0.91,0.77,0.74,0.90,0.58,0.55,0.68,0.68,0.66,0.79,0.60,0.52,0.52,0.78,0.51,0.64,0.65,0.71,0.40,0.68,0.48,0.67,0.64,0.51,0.67,0.70,0.73,0.63,0.54,0.88,0.88,0.68,0.88,0.52,0.54,0.78,0.81
129-2,NaN,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50
129-3,NaN,0.91,0.89,0.81,0.79,0.80,0.91,0.77,0.74,0.90,0.58,0.55,0.68,0.68,0.66,0.79,0.60,0.52,0.52,0.78,0.51,0.64,0.65,0.71,0.40,0.68,0.48,0.67,0.64,0.51,0.67,0.70,0.73,0.63,0.54,0.88,0.88,0.68,0.88,0.52,0.54,0.78,0.81
130-1,NaN,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50
130-2,NaN,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50
130-3,NaN,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50
131-1,NaN,0.78,0.67,0.74,0.60,0.75,0.67,0.65,0.62,0.66,0.63,0.58,0.67,0.76,0.80,0.60,0.72,0.66,0.67,0.60,0.66,0.64,0.62,0.58,0.62,0.59,0.71,0.62,0.61,0.60,0.63,0.65,0.54,0.64,0.66,0.85,0.85,0.46,0.86,0.61,0.57,0.52,0.75
131-2,NaN,0.83,0.67,0.81,0.60,0.79,0.64,0.62,0.61,0.64,0.63,0.58,0.67,0.80,0.85,0.58,0.71,0.61,0.62,0.58,0.61,0.67,0.67,0.59,0.62,0.57,0.69,0.64,0.64,0.56,0.69,0.63,0.53,0.68,0.61,0.81,0.81,0.46,0.82,0.60,0.61,0.51,0.72
131-3,NaN,0.86,0.83,0.80,0.73,0.87,0.87,0.83,0.67,0.86,0.68,0.57,0.79,0.80,0.85,0.75,0.76,0.85,0.87,0.78,0.86,0.75,0.69,0.71,0.59,0.59,0.70,0.70,0.71,0.77,0.70,0.86,0.57,0.71,0.90,0.93,0.93,0.53,0.94,0.65,0.60,0.56,0.80
132-1,NaN,0.89,0.82,0.86,0.84,0.90,0.75,0.74,0.76,0.74,0.66,0.65,0.73,0.73,0.94,0.61,0.70,0.73,0.73,0.59,0.73,0.72,0.73,0.74,0.40,0.73,0.51,0.72,0.68,0.60,0.80,0.62,0.79,0.67,0.63,0.89,0.89,0.60,0.87,0.66,0.77,0.65,0.79
132-2,NaN,0.89,0.81,0.86,0.85,0.91,0.74,0.72,0.76,0.73,0.66,0.65,0.75,0.76,0.94,0.61,0.72,0.73,0.72,0.59,0.72,0.69,0.70,0.73,0.35,0.74,0.45,0.66,0.68,0.61,0.75,0.63,0.71,0.67,0.64,0.91,0.90,0.60,0.89,0.59,0.65,0.65,0.77
