ID-model,GO:0005575,GO:0044456,GO:0045202,GO:0031981,GO:0044425,GO:0005783,GO:0044427,GO:0070013,GO:0005694,GO:0005654,GO:0043233,GO:0044428,GO:0030054,GO:0031974,GO:0005615,GO:0043005,GO:0071944,GO:0005886,GO:0005634,GO:0043234,GO:0097458,GO:0070161,GO:0042995,GO:0005856,GO:0005730,GO:0044430,GO:0005739,GO:0044463,GO:0032991,GO:0005912,GO:0005576,GO:0044421,GO:0016020,GO:0043228,GO:0043232,GO:0044446,GO:0030424,GO:0044422,GO:0005829,GO:0005924,GO:0005794,GO:0030055,GO:0012505,GO:0043231,GO:0043230,GO:0065010,GO:0070062,GO:0031988,GO:0005925,GO:0031982,GO:0043229,GO:0044444,GO:0044424,GO:0043226,GO:0005622,GO:0043227,GO:0005623,GO:0044464,GO:0005737
124-2,NaN,0.64,0.58,0.56,0.46,0.77,0.52,0.55,0.53,0.53,0.55,0.61,0.61,0.55,0.60,0.50,0.47,0.46,0.58,0.43,0.58,0.60,0.48,0.64,0.52,0.65,0.63,0.45,0.44,0.60,0.72,0.76,0.50,0.41,0.41,0.45,0.79,0.46,0.51,0.65,0.61,0.65,0.35,0.34,0.50,0.50,0.50,0.68,0.61,0.68,0.34,0.43,0.37,0.55,0.36,0.55,0.30,0.32,0.41
124-3,NaN,0.87,0.90,0.70,0.46,0.47,0.80,0.65,0.81,0.81,0.65,0.68,0.67,0.65,0.53,0.76,0.55,0.57,0.41,0.53,0.78,0.71,0.66,0.73,0.59,0.75,0.59,0.61,0.50,0.71,0.61,0.59,0.55,0.52,0.52,0.50,0.67,0.49,0.47,0.69,0.37,0.69,0.59,0.34,0.55,0.55,0.56,0.65,0.70,0.66,0.35,0.46,0.40,0.52,0.38,0.51,0.32,0.34,0.43
125-1,NaN,0.69,0.73,0.83,0.79,0.80,0.64,0.83,0.71,0.78,0.83,0.80,0.62,0.83,0.73,0.59,0.75,0.75,0.81,0.72,0.66,0.57,0.58,0.75,0.65,0.71,0.81,0.56,0.68,0.57,0.65,0.60,0.66,0.72,0.72,0.71,0.49,0.70,0.69,0.59,0.70,0.59,0.78,0.73,0.50,0.50,0.50,0.52,0.56,0.51,0.69,0.65,0.63,0.60,0.63,0.60,0.60,0.60,0.61
125-2,NaN,0.71,0.71,0.74,0.79,0.83,0.66,0.74,0.80,0.71,0.74,0.73,0.69,0.74,0.68,0.61,0.79,0.79,0.78,0.67,0.70,0.68,0.64,0.75,0.61,0.72,0.78,0.56,0.65,0.68,0.67,0.62,0.68,0.67,0.67,0.67,0.49,0.67,0.63,0.71,0.74,0.71,0.78,0.69,0.54,0.54,0.54,0.57,0.68,0.56,0.68,0.62,0.64,0.55,0.64,0.54,0.63,0.62,0.59
125-3,NaN,0.87,0.81,0.82,0.81,0.82,0.76,0.79,0.80,0.87,0.77,0.78,0.74,0.77,0.74,0.62,0.71,0.72,0.71,0.73,0.60,0.74,0.65,0.72,0.75,0.76,0.80,0.68,0.70,0.72,0.71,0.70,0.61,0.66,0.66,0.62,0.49,0.61,0.59,0.64,0.68,0.64,0.71,0.61,0.58,0.58,0.58,0.62,0.64,0.61,0.59,0.57,0.57,0.58,0.56,0.60,0.55,0.54,0.56
126-1,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
127-1,NaN,0.91,0.87,0.86,0.79,0.82,0.90,0.85,0.91,0.82,0.84,0.89,0.84,0.84,0.73,0.73,0.79,0.78,0.82,0.78,0.70,0.79,0.72,0.80,0.64,0.75,0.75,0.73,0.78,0.79,0.67,0.63,0.67,0.77,0.77,0.70,0.65,0.69,0.68,0.71,0.79,0.70,0.73,0.70,0.53,0.53,0.53,0.57,0.67,0.56,0.67,0.64,0.57,0.57,0.57,0.57,0.56,0.55,0.60
127-2,NaN,0.86,0.86,0.87,0.82,0.80,0.91,0.85,0.85,0.84,0.84,0.90,0.76,0.82,0.77,0.68,0.79,0.78,0.83,0.77,0.63,0.71,0.72,0.82,0.66,0.82,0.76,0.70,0.77,0.72,0.67,0.63,0.68,0.75,0.74,0.72,0.63,0.71,0.64,0.68,0.75,0.68,0.71,0.72,0.51,0.51,0.50,0.54,0.65,0.54,0.71,0.67,0.66,0.61,0.66,0.59,0.58,0.59,0.62
127-3,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
128-1,NaN,0.71,0.64,0.74,0.75,0.67,0.93,0.69,0.86,0.86,0.67,0.70,0.69,0.67,0.58,0.62,0.63,0.63,0.71,0.61,0.62,0.62,0.67,0.73,0.58,0.69,0.73,0.66,0.58,0.59,0.64,0.63,0.60,0.67,0.67,0.54,0.52,0.54,0.56,0.57,0.61,0.56,0.60,0.56,0.60,0.60,0.60,0.59,0.53,0.59,0.55,0.62,0.56,0.54,0.57,0.55,0.51,0.52,0.58
129-1,NaN,0.76,0.72,0.86,0.77,0.83,0.88,0.84,0.80,0.89,0.83,0.84,0.82,0.83,0.82,0.63,0.80,0.80,0.81,0.78,0.61,0.79,0.67,0.79,0.76,0.79,0.74,0.63,0.75,0.79,0.75,0.73,0.68,0.73,0.73,0.67,0.60,0.67,0.68,0.76,0.73,0.75,0.72,0.70,0.66,0.66,0.65,0.67,0.74,0.66,0.67,0.65,0.61,0.60,0.61,0.61,0.53,0.54,0.61
129-2,NaN,1.00,1.00,0.90,0.76,0.84,0.91,0.89,0.91,0.92,0.88,0.86,0.83,0.88,0.74,NaN,0.76,0.76,0.80,0.73,NaN,0.80,0.52,0.75,0.85,0.64,0.76,NaN,0.76,0.80,0.65,0.63,0.64,0.75,0.75,0.66,NaN,0.66,0.76,0.72,0.67,0.70,0.71,0.75,0.62,0.61,0.61,0.64,0.73,0.63,0.69,0.70,0.65,0.45,0.64,0.50,0.57,0.57,0.60
129-3,NaN,0.77,0.73,0.86,0.77,0.83,0.87,0.84,0.80,0.90,0.84,0.84,0.82,0.83,0.82,0.63,0.80,0.80,0.81,0.78,0.61,0.79,0.67,0.79,0.77,0.79,0.74,0.63,0.75,0.79,0.75,0.73,0.68,0.73,0.73,0.68,0.60,0.68,0.68,0.70,0.73,0.71,0.71,0.70,0.66,0.66,0.66,0.68,0.68,0.66,0.67,0.65,0.61,0.61,0.61,0.61,0.53,0.54,0.61
130-1,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
130-2,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
130-3,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
131-1,NaN,0.67,0.75,0.71,0.76,0.73,0.68,0.72,0.80,0.53,0.72,0.68,0.62,0.72,0.59,0.60,0.68,0.67,0.83,0.73,0.68,0.57,0.61,0.70,0.65,0.70,0.85,0.56,0.70,0.58,0.63,0.56,0.66,0.68,0.68,0.65,0.49,0.65,0.58,0.59,0.58,0.59,0.69,0.76,0.50,0.50,0.50,0.50,0.56,0.49,0.72,0.65,0.69,0.61,0.68,0.60,0.62,0.62,0.64
131-2,NaN,0.68,0.75,0.67,0.78,0.76,0.68,0.68,0.77,0.48,0.68,0.64,0.59,0.68,0.60,0.58,0.67,0.67,0.81,0.73,0.65,0.57,0.60,0.67,0.64,0.66,0.84,0.55,0.70,0.58,0.64,0.56,0.65,0.67,0.67,0.66,0.49,0.65,0.59,0.59,0.68,0.59,0.73,0.74,0.50,0.50,0.50,0.50,0.56,0.50,0.71,0.65,0.67,0.60,0.67,0.59,0.61,0.61,0.62
131-3,NaN,0.50,0.56,0.69,0.76,0.76,0.76,0.67,0.75,0.51,0.67,0.70,0.54,0.67,0.68,0.59,0.73,0.72,0.78,0.71,0.50,0.50,0.65,0.73,0.68,0.70,0.82,0.57,0.67,0.52,0.62,0.57,0.66,0.67,0.67,0.59,0.48,0.58,0.61,0.53,0.58,0.50,0.71,0.71,0.50,0.50,0.52,0.54,0.65,0.53,0.67,0.62,0.63,0.60,0.62,0.58,0.58,0.58,0.60
132-1,NaN,0.85,0.81,0.85,0.85,0.82,0.87,0.82,0.87,0.89,0.81,0.84,0.84,0.82,0.76,0.64,0.76,0.75,0.79,0.74,0.60,0.81,0.69,0.76,0.70,0.76,0.81,0.67,0.71,0.82,0.66,0.64,0.64,0.73,0.73,0.68,0.56,0.66,0.59,0.78,0.66,0.80,0.76,0.68,0.54,0.54,0.51,0.58,0.68,0.58,0.66,0.67,0.66,0.58,0.65,0.54,0.61,0.61,0.63
132-2,NaN,0.86,0.81,0.85,0.80,0.83,0.87,0.81,0.87,0.89,0.81,0.85,0.84,0.82,0.76,0.67,0.76,0.75,0.79,0.73,0.64,0.81,0.67,0.76,0.70,0.76,0.80,0.67,0.71,0.82,0.65,0.64,0.62,0.73,0.73,0.67,0.56,0.65,0.60,0.78,0.65,0.80,0.77,0.67,0.54,0.54,0.51,0.58,0.68,0.57,0.65,0.67,0.67,0.57,0.67,0.53,0.62,0.63,0.63
65-1,NaN,0.65,0.67,0.72,0.57,0.56,0.75,0.73,0.74,0.87,0.72,0.71,0.81,0.72,0.64,0.79,0.61,0.57,0.66,0.63,0.76,0.84,0.75,0.68,0.63,0.67,0.70,0.72,0.64,0.82,0.64,0.64,0.51,0.65,0.65,0.65,0.74,0.63,0.47,0.65,0.59,0.68,0.61,0.57,0.56,0.55,0.56,0.61,0.61,0.60,0.57,0.56,0.56,0.55,0.56,0.54,0.59,0.57,0.54
65-2,NaN,0.59,0.73,0.70,0.56,0.61,0.76,0.70,0.76,0.86,0.70,0.70,0.79,0.70,0.66,0.81,0.64,0.64,0.65,0.67,0.80,0.68,0.77,0.67,0.56,0.66,0.78,0.75,0.69,0.66,0.60,0.60,0.52,0.65,0.65,0.64,0.61,0.63,0.54,0.59,0.52,0.63,0.70,0.56,0.55,0.54,0.55,0.57,0.58,0.56,0.57,0.57,0.56,0.52,0.56,0.50,0.61,0.59,0.55
65-3,NaN,0.62,0.76,0.70,0.55,0.59,0.74,0.70,0.75,0.85,0.70,0.69,0.81,0.69,0.66,0.83,0.64,0.64,0.64,0.65,0.80,0.68,0.77,0.68,0.57,0.68,0.76,0.76,0.67,0.67,0.61,0.60,0.51,0.65,0.65,0.64,0.65,0.62,0.52,0.60,0.53,0.64,0.72,0.56,0.54,0.54,0.54,0.56,0.56,0.55,0.57,0.56,0.56,0.52,0.56,0.50,0.60,0.59,0.55
68-1,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
68-2,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
69-1,NaN,0.88,0.85,0.90,0.73,0.91,0.89,0.85,0.81,0.93,0.84,0.88,0.87,0.84,0.98,0.69,0.68,0.69,0.84,0.80,0.69,0.67,0.68,0.97,0.99,0.99,0.79,0.60,0.70,0.66,0.96,0.97,0.67,0.88,0.88,0.78,0.49,0.78,0.83,NaN,0.85,NaN,0.83,0.68,NaN,NaN,NaN,0.66,NaN,0.69,0.70,0.72,0.76,0.70,0.77,0.68,0.86,0.86,0.76
69-2,NaN,0.87,0.76,0.85,0.74,0.86,0.81,0.83,0.83,0.95,0.82,0.81,0.78,0.82,0.75,0.62,0.68,0.67,0.76,0.75,0.60,0.72,0.54,0.77,0.73,0.76,0.77,0.54,0.71,0.72,0.66,0.64,0.65,0.74,0.74,0.70,0.47,0.69,0.56,0.69,0.71,0.71,0.76,0.70,0.57,0.57,0.57,0.58,0.69,0.58,0.69,0.63,0.65,0.60,0.64,0.57,0.58,0.59,0.63
70-1,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
70-2,NaN,0.81,0.75,0.85,0.83,0.84,0.88,0.87,0.85,0.87,0.87,0.86,0.80,0.85,0.75,0.76,0.75,0.77,0.84,0.73,0.75,0.82,0.72,0.75,0.78,0.74,0.78,0.69,0.72,0.83,0.68,0.64,0.65,0.75,0.75,0.75,0.48,0.74,0.66,0.74,0.65,0.76,0.76,0.79,0.50,0.50,0.50,0.54,0.65,0.60,0.76,0.69,0.73,0.61,0.73,0.61,0.67,0.67,0.61
70-3,NaN,0.62,0.83,0.82,0.73,0.81,0.76,0.82,0.73,0.81,0.82,0.82,0.81,0.82,0.51,0.68,0.78,0.77,0.80,0.65,0.71,0.82,0.74,0.66,0.50,0.63,0.75,0.68,0.71,0.81,0.59,0.58,0.61,0.71,0.70,0.70,0.48,0.70,0.60,0.68,0.64,0.67,0.77,0.73,0.50,0.50,0.50,0.55,0.50,0.57,0.67,0.66,0.60,0.59,0.61,0.60,0.59,0.59,0.64
72-1,NaN,0.70,0.72,0.72,0.65,0.75,0.64,0.71,0.67,0.72,0.71,0.69,0.59,0.71,0.67,0.56,0.71,0.71,0.76,0.70,0.60,0.55,0.62,0.64,0.64,0.67,0.74,0.56,0.67,0.55,0.61,0.56,0.66,0.61,0.61,0.64,0.50,0.63,0.64,0.56,0.65,0.56,0.66,0.63,0.50,0.50,0.50,0.50,0.56,0.50,0.63,0.59,0.59,0.58,0.59,0.54,0.56,0.56,0.56
72-2,NaN,0.65,0.65,0.70,0.58,0.76,0.55,0.70,0.59,0.67,0.70,0.69,0.57,0.70,0.65,0.53,0.72,0.72,0.76,0.60,0.53,0.55,0.55,0.57,0.64,0.57,0.74,0.50,0.58,0.55,0.61,0.56,0.68,0.59,0.59,0.60,0.50,0.61,0.64,0.56,0.66,0.56,0.68,0.63,0.50,0.50,0.50,0.50,0.56,0.51,0.64,0.58,0.60,0.56,0.60,0.55,0.55,0.55,0.55
73-1,NaN,0.81,0.76,0.70,0.73,0.77,0.77,0.66,0.74,0.81,0.66,0.64,0.77,0.65,0.72,0.67,0.67,0.69,0.70,0.64,0.66,0.75,0.72,0.75,0.63,0.78,0.80,0.65,0.62,0.75,0.63,0.61,0.64,0.71,0.71,0.62,0.63,0.62,0.64,0.74,0.72,0.73,0.71,0.66,0.56,0.56,0.56,0.54,0.71,0.55,0.66,0.60,0.61,0.57,0.59,0.55,0.56,0.58,0.55
73-2,NaN,0.81,0.76,0.69,0.72,0.78,0.77,0.65,0.76,0.80,0.64,0.63,0.78,0.64,0.72,0.66,0.69,0.70,0.71,0.65,0.64,0.76,0.70,0.73,0.62,0.76,0.80,0.62,0.63,0.77,0.63,0.62,0.64,0.70,0.70,0.60,0.55,0.60,0.65,0.76,0.74,0.75,0.71,0.67,0.55,0.55,0.56,0.54,0.75,0.55,0.66,0.61,0.62,0.57,0.60,0.56,0.57,0.58,0.56
73-3,NaN,0.76,0.74,0.64,0.64,0.67,0.69,0.60,0.64,0.81,0.59,0.60,0.76,0.59,0.59,0.61,0.61,0.65,0.61,0.61,0.61,0.74,0.64,0.64,0.58,0.67,0.73,0.61,0.56,0.75,0.59,0.58,0.56,0.60,0.60,0.52,0.52,0.52,0.53,0.76,0.71,0.73,0.69,0.50,0.55,0.55,0.50,0.53,0.50,0.51,0.50,0.51,0.49,0.48,0.49,0.48,0.50,0.50,0.50
74-1,NaN,0.73,0.72,0.80,0.76,0.67,0.73,0.81,0.69,0.91,0.81,0.73,0.77,0.81,0.65,0.60,0.67,0.68,0.75,0.62,0.60,0.70,0.66,0.69,0.75,0.74,0.79,0.54,0.58,0.70,0.62,0.56,0.63,0.73,0.73,0.62,0.47,0.64,0.59,0.75,0.70,0.75,0.69,0.70,0.50,0.50,0.50,0.50,0.70,0.51,0.65,0.62,0.59,0.55,0.58,0.55,0.58,0.56,0.60
74-2,NaN,0.64,0.65,0.72,0.78,0.76,0.72,0.71,0.73,0.79,0.71,0.73,0.68,0.70,0.70,0.50,0.69,0.70,0.79,0.73,0.50,0.67,0.56,0.72,0.55,0.74,0.72,0.47,0.70,0.65,0.60,0.56,0.64,0.68,0.68,0.63,0.48,0.63,0.50,0.68,0.72,0.68,0.76,0.74,0.50,0.50,0.50,0.52,0.65,0.52,0.72,0.62,0.66,0.59,0.66,0.56,0.64,0.64,0.59
75-1,NaN,0.91,0.89,0.91,0.77,0.91,0.89,0.87,0.80,0.93,0.87,0.89,0.87,0.87,0.99,0.70,0.74,0.75,0.84,0.82,0.69,0.67,0.70,0.98,1.00,0.98,0.84,0.60,0.72,0.66,0.96,0.99,0.66,0.87,0.87,0.81,0.49,0.81,0.84,NaN,0.86,NaN,0.83,0.70,NaN,NaN,NaN,0.68,NaN,0.70,0.72,0.70,0.74,0.72,0.73,0.70,0.88,0.88,0.74
75-2,NaN,0.90,0.87,0.85,0.80,0.85,0.81,0.85,0.86,0.94,0.84,0.81,0.77,0.84,0.76,0.67,0.73,0.73,0.79,0.74,0.67,0.72,0.64,0.79,0.73,0.76,0.84,0.60,0.70,0.72,0.66,0.64,0.65,0.74,0.74,0.70,0.47,0.69,0.59,0.70,0.76,0.72,0.77,0.73,0.57,0.57,0.57,0.58,0.69,0.58,0.69,0.63,0.64,0.62,0.64,0.61,0.59,0.60,0.64
79-1,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
79-2,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
79-3,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
80-1,NaN,0.74,0.73,0.85,0.80,0.72,0.74,0.86,0.69,0.83,0.86,0.79,0.76,0.86,0.64,0.58,0.63,0.64,0.76,0.64,0.58,0.70,0.64,0.66,0.80,0.70,0.81,0.53,0.60,0.70,0.61,0.55,0.63,0.72,0.72,0.65,0.48,0.65,0.60,0.75,0.77,0.75,0.64,0.69,0.50,0.50,0.50,0.52,0.70,0.52,0.63,0.62,0.60,0.56,0.60,0.57,0.58,0.56,0.59
80-2,NaN,0.68,0.73,0.76,0.79,0.83,0.71,0.76,0.73,0.78,0.76,0.77,0.71,0.76,0.69,0.60,0.72,0.73,0.82,0.74,0.64,0.67,0.66,0.75,0.62,0.76,0.81,0.54,0.71,0.64,0.61,0.56,0.65,0.70,0.70,0.68,0.48,0.67,0.55,0.68,0.76,0.68,0.75,0.76,0.50,0.50,0.50,0.51,0.65,0.51,0.72,0.65,0.66,0.61,0.66,0.59,0.64,0.64,0.61
81-1,NaN,0.47,0.66,0.51,0.66,0.66,0.54,0.51,0.54,0.50,0.51,0.54,0.57,0.52,0.67,0.50,0.59,0.60,0.75,0.65,0.50,0.55,0.52,0.63,0.50,0.64,0.70,0.51,0.64,0.53,0.63,0.58,0.59,0.57,0.57,0.54,0.48,0.54,0.51,0.53,0.61,0.57,0.67,0.68,0.50,0.50,0.50,0.50,0.50,0.50,0.66,0.59,0.62,0.58,0.61,0.58,0.60,0.59,0.54
81-2,NaN,0.47,0.66,0.51,0.66,0.66,0.54,0.51,0.54,0.50,0.51,0.54,0.57,0.52,0.67,0.50,0.59,0.60,0.75,0.65,0.50,0.55,0.52,0.63,0.50,0.64,0.70,0.51,0.64,0.53,0.63,0.58,0.59,0.57,0.57,0.54,0.48,0.54,0.51,0.53,0.61,0.57,0.67,0.68,0.50,0.50,0.50,0.50,0.50,0.50,0.66,0.59,0.62,0.58,0.61,0.58,0.60,0.59,0.54
82-1,NaN,0.65,0.65,0.59,0.77,0.66,0.50,0.59,0.50,0.60,0.59,0.60,0.56,0.59,0.56,0.50,0.68,0.68,0.69,0.68,0.53,0.55,0.50,0.63,0.57,0.64,0.67,0.49,0.66,0.55,0.58,0.55,0.57,0.56,0.56,0.57,0.50,0.57,0.57,0.56,0.58,0.56,0.69,0.64,0.50,0.50,0.50,0.52,0.53,0.53,0.61,0.57,0.50,0.58,0.51,0.59,0.48,0.49,0.53
83-1,NaN,0.97,0.95,0.84,0.77,0.75,0.93,0.81,0.93,0.88,0.80,0.86,0.80,0.80,0.77,0.90,0.75,0.74,0.83,0.72,0.89,0.83,0.86,0.74,0.70,0.74,0.72,0.88,0.73,0.83,0.68,0.65,0.62,0.72,0.72,0.67,0.80,0.66,0.60,0.77,0.66,0.76,0.69,0.52,0.59,0.58,0.58,0.63,0.77,0.63,0.52,0.51,0.51,0.51,0.51,0.50,0.51,0.51,0.46
83-2,NaN,0.97,0.95,0.84,0.77,0.75,0.94,0.81,0.93,0.88,0.82,0.87,0.81,0.82,0.77,0.91,0.75,0.73,0.83,0.72,0.90,0.83,0.86,0.75,0.70,0.75,0.72,0.89,0.74,0.83,0.68,0.66,0.62,0.73,0.73,0.68,0.80,0.67,0.60,0.77,0.66,0.76,0.70,0.52,0.59,0.58,0.58,0.67,0.77,0.66,0.52,0.51,0.51,0.51,0.50,0.50,0.51,0.50,0.46
84-1,NaN,0.82,0.75,0.60,0.71,0.49,0.68,0.56,0.70,0.68,0.56,0.63,0.44,0.56,0.47,0.65,0.74,0.72,0.57,0.64,0.72,0.48,0.59,0.53,0.52,0.45,0.68,0.59,0.70,0.49,0.32,0.36,0.56,0.54,0.54,0.54,0.67,0.54,0.51,0.49,0.58,0.49,0.79,0.54,0.50,0.50,0.50,0.37,0.49,0.37,0.55,0.59,0.55,0.51,0.56,0.46,0.63,0.62,0.57
85-1,NaN,0.77,0.71,0.82,0.77,0.84,0.85,0.82,0.81,0.95,0.79,0.82,0.78,0.79,0.65,0.62,0.79,0.79,0.80,0.79,0.62,0.76,0.66,0.77,0.69,0.77,0.82,0.66,0.76,0.73,0.69,0.66,0.65,0.70,0.70,0.67,0.64,0.65,0.62,0.67,0.69,0.66,0.73,0.71,0.56,0.56,0.56,0.59,0.60,0.58,0.69,0.62,0.65,0.59,0.65,0.58,0.60,0.60,0.59
85-2,NaN,0.73,0.65,0.76,0.70,0.79,0.83,0.74,0.77,0.90,0.72,0.74,0.78,0.72,0.76,0.52,0.73,0.74,0.80,0.75,0.51,0.78,0.57,0.78,0.70,0.75,0.78,0.57,0.72,0.76,0.73,0.70,0.61,0.67,0.67,0.63,0.60,0.61,0.62,0.72,0.68,0.72,0.60,0.65,0.56,0.56,0.56,0.64,0.69,0.63,0.62,0.56,0.63,0.69,0.63,0.69,0.59,0.60,0.55
86-1,NaN,0.70,0.66,0.57,0.68,0.66,0.55,0.56,0.54,0.54,0.56,0.60,0.57,0.56,0.56,0.52,0.68,0.68,0.70,0.65,0.51,0.55,0.55,0.68,0.52,0.66,0.70,0.48,0.64,0.55,0.54,0.53,0.62,0.59,0.59,0.60,0.49,0.58,0.56,0.56,0.52,0.56,0.48,0.67,0.50,0.50,0.50,0.50,0.56,0.50,0.65,0.62,0.61,0.57,0.62,0.56,0.55,0.57,0.58
86-2,NaN,0.70,0.66,0.57,0.68,0.66,0.55,0.56,0.54,0.54,0.56,0.60,0.57,0.56,0.56,0.52,0.68,0.68,0.70,0.65,0.51,0.55,0.55,0.68,0.52,0.66,0.70,0.48,0.64,0.55,0.54,0.53,0.62,0.59,0.59,0.60,0.49,0.58,0.56,0.56,0.52,0.56,0.48,0.67,0.50,0.50,0.50,0.50,0.56,0.50,0.65,0.62,0.61,0.57,0.62,0.56,0.55,0.57,0.58
86-3,NaN,0.66,0.66,0.61,0.68,0.70,0.49,0.61,0.49,0.55,0.61,0.60,0.58,0.61,0.61,0.48,0.67,0.67,0.79,0.66,0.47,0.56,0.52,0.64,0.54,0.62,0.76,0.48,0.64,0.56,0.57,0.55,0.65,0.58,0.58,0.56,0.49,0.55,0.58,0.57,0.56,0.57,0.48,0.75,0.50,0.50,0.50,0.50,0.57,0.49,0.72,0.63,0.67,0.61,0.66,0.60,0.60,0.61,0.62
