ID-model,GO:0005575,GO:0044456,GO:0045202,GO:0044425,GO:0005783,GO:0031981,GO:0005654,GO:0030054,GO:0070013,GO:0005615,GO:0043233,GO:0044428,GO:0031974,GO:0043005,GO:0071944,GO:0044427,GO:0005886,GO:0043234,GO:0005694,GO:0005634,GO:0097458,GO:0070161,GO:0042995,GO:0005856,GO:0005730,GO:0044430,GO:0005739,GO:0044463,GO:0032991,GO:0005912,GO:0044421,GO:0005576,GO:0016020,GO:0043228,GO:0043232,GO:0030424,GO:0005829,GO:0044446,GO:0044422,GO:0005924,GO:0005794,GO:0030055,GO:0012505,GO:0043231,GO:0043230,GO:0065010,GO:0070062,GO:0005925,GO:0031988,GO:0043229,GO:0031982,GO:0044444,GO:0044424,GO:0043226,GO:0005622,GO:0043227,GO:0005623,GO:0044464,GO:0005737
111-1,NaN,0.81,0.80,0.72,0.68,0.61,0.59,0.52,0.59,0.54,0.58,0.59,0.58,0.73,0.70,0.70,0.70,0.70,0.67,0.54,0.71,0.50,0.70,0.61,0.59,0.65,0.68,0.73,0.68,0.50,0.43,0.42,0.55,0.60,0.60,0.62,0.54,0.59,0.59,0.48,0.58,0.48,0.79,0.55,0.48,0.48,0.48,0.49,0.38,0.56,0.38,0.61,0.55,0.43,0.55,0.42,0.63,0.59,0.55
111-2,NaN,0.57,0.57,0.54,0.76,0.70,0.84,0.79,0.68,0.70,0.67,0.69,0.67,0.58,0.53,0.77,0.53,0.58,0.78,0.66,0.54,0.88,0.60,0.76,0.64,0.80,0.74,0.51,0.58,0.89,0.64,0.64,0.52,0.64,0.64,0.47,0.59,0.61,0.59,0.87,0.68,0.87,0.39,0.59,0.56,0.56,0.54,0.83,0.67,0.59,0.66,0.63,0.60,0.58,0.59,0.57,0.53,0.54,0.61
111-3,NaN,0.49,0.49,0.49,0.53,0.55,0.54,0.51,0.55,0.50,0.55,0.54,0.55,0.50,0.50,0.54,0.50,0.52,0.53,0.54,0.49,0.52,0.51,0.56,0.52,0.58,0.52,0.50,0.51,0.52,0.50,0.50,0.51,0.55,0.55,0.50,0.50,0.55,0.55,0.49,0.50,0.49,0.50,0.54,0.50,0.50,0.50,0.50,0.50,0.55,0.50,0.50,0.53,0.53,0.52,0.52,0.51,0.51,0.50
112-1,NaN,0.85,0.80,0.84,0.74,0.84,0.90,0.85,0.81,0.76,0.80,0.84,0.81,0.68,0.75,0.88,0.75,0.76,0.87,0.80,0.62,0.83,0.71,0.78,0.68,0.77,0.78,0.69,0.73,0.82,0.65,0.67,0.64,0.74,0.74,0.54,0.59,0.67,0.66,0.77,0.67,0.79,0.73,0.68,0.53,0.53,0.49,0.63,0.59,0.66,0.59,0.67,0.65,0.60,0.64,0.57,0.58,0.59,0.61
112-2,NaN,0.86,0.80,0.84,0.74,0.84,0.90,0.83,0.80,0.75,0.80,0.84,0.81,0.68,0.76,0.88,0.75,0.75,0.87,0.80,0.62,0.81,0.71,0.78,0.68,0.77,0.78,0.69,0.73,0.80,0.65,0.67,0.64,0.74,0.74,0.54,0.58,0.67,0.66,0.75,0.67,0.76,0.73,0.68,0.52,0.52,0.49,0.63,0.59,0.66,0.58,0.66,0.65,0.59,0.64,0.56,0.58,0.59,0.61
112-3,NaN,0.85,0.80,0.81,0.74,0.84,0.90,0.85,0.80,0.76,0.79,0.84,0.81,0.68,0.75,0.88,0.75,0.75,0.87,0.80,0.62,0.83,0.70,0.78,0.68,0.77,0.77,0.69,0.73,0.82,0.65,0.67,0.63,0.74,0.74,0.54,0.59,0.65,0.64,0.77,0.67,0.79,0.73,0.67,0.53,0.53,0.49,0.63,0.59,0.65,0.58,0.67,0.66,0.59,0.66,0.56,0.61,0.62,0.62
113-1,NaN,0.86,0.80,0.81,0.75,0.83,0.89,0.83,0.80,0.75,0.79,0.84,0.81,0.68,0.76,0.88,0.76,0.75,0.87,0.79,0.63,0.81,0.69,0.78,0.68,0.77,0.77,0.69,0.73,0.80,0.65,0.67,0.63,0.74,0.74,0.54,0.59,0.65,0.64,0.75,0.67,0.76,0.74,0.67,0.52,0.52,0.49,0.63,0.58,0.65,0.58,0.67,0.66,0.59,0.66,0.55,0.61,0.61,0.62
113-2,NaN,0.58,0.59,0.49,0.72,0.67,0.78,0.78,0.65,0.70,0.65,0.66,0.64,0.57,0.53,0.78,0.52,0.57,0.78,0.63,0.54,0.86,0.56,0.72,0.64,0.75,0.74,0.51,0.57,0.87,0.64,0.64,0.51,0.62,0.62,0.47,0.60,0.59,0.57,0.89,0.68,0.88,0.39,0.59,0.56,0.56,0.54,0.83,0.67,0.59,0.66,0.64,0.61,0.60,0.60,0.59,0.52,0.53,0.62
113-3,NaN,0.81,0.80,0.71,0.68,0.61,0.59,0.52,0.59,0.54,0.58,0.59,0.58,0.73,0.70,0.70,0.70,0.71,0.67,0.54,0.71,0.50,0.70,0.61,0.59,0.65,0.68,0.73,0.69,0.50,0.43,0.42,0.54,0.60,0.60,0.62,0.54,0.58,0.58,0.48,0.57,0.48,0.79,0.56,0.48,0.48,0.48,0.49,0.38,0.58,0.38,0.62,0.59,0.37,0.61,0.34,0.72,0.67,0.57
114-1,NaN,0.94,0.89,0.79,0.79,0.84,0.82,0.72,0.82,0.76,0.82,0.81,0.82,0.80,0.76,0.87,0.76,0.75,0.83,0.82,0.82,0.75,0.77,0.71,0.72,0.68,0.79,0.73,0.71,0.75,0.62,0.66,0.67,0.74,0.74,0.46,0.70,0.72,0.71,0.73,0.69,0.73,0.82,0.73,0.50,0.50,0.50,0.73,0.58,0.69,0.59,0.65,0.63,0.60,0.63,0.60,0.60,0.60,0.61
115-1,NaN,0.75,0.77,0.80,0.81,0.85,0.91,0.74,0.85,0.79,0.85,0.81,0.84,0.62,0.74,0.80,0.75,0.75,0.81,0.79,0.63,0.73,0.63,0.81,0.76,0.80,0.82,0.63,0.70,0.71,0.66,0.66,0.67,0.75,0.75,0.42,0.63,0.69,0.68,0.72,0.78,0.71,0.80,0.73,0.56,0.56,0.55,0.68,0.59,0.70,0.58,0.66,0.67,0.60,0.66,0.59,0.60,0.59,0.62
116-1,NaN,0.50,0.49,0.60,0.56,0.59,0.50,0.59,0.59,0.56,0.59,0.58,0.59,0.49,0.52,0.65,0.52,0.58,0.68,0.64,0.49,0.58,0.53,0.59,0.59,0.60,0.68,0.53,0.56,0.55,0.53,0.58,0.55,0.60,0.60,0.50,0.53,0.57,0.56,0.56,0.58,0.59,0.49,0.61,0.50,0.50,0.50,0.53,0.50,0.59,0.50,0.56,0.58,0.56,0.58,0.55,0.53,0.52,0.55
116-2,NaN,0.50,0.50,0.51,0.57,0.53,0.50,0.57,0.53,0.52,0.53,0.53,0.53,0.50,0.52,0.65,0.52,0.53,0.63,0.56,0.50,0.55,0.50,0.51,0.55,0.52,0.63,0.50,0.52,0.55,0.52,0.56,0.50,0.54,0.54,0.50,0.51,0.55,0.55,0.56,0.56,0.56,0.49,0.56,0.50,0.50,0.50,0.53,0.50,0.55,0.50,0.54,0.53,0.54,0.52,0.53,0.49,0.50,0.53
117-1,NaN,0.88,0.85,0.80,0.82,0.79,0.89,0.77,0.75,0.71,0.75,0.80,0.75,0.75,0.70,0.87,0.69,0.74,0.85,0.76,0.75,0.79,0.79,0.69,0.70,0.71,0.74,0.72,0.73,0.77,0.65,0.65,0.64,0.65,0.65,0.65,0.65,0.66,0.65,0.76,0.69,0.74,0.68,0.67,0.61,0.61,0.61,0.74,0.60,0.66,0.60,0.65,0.63,0.55,0.63,0.55,0.61,0.60,0.60
117-2,NaN,0.55,0.53,0.59,0.53,0.56,0.65,0.50,0.56,0.51,0.56,0.57,0.56,0.50,0.56,0.50,0.56,0.64,0.50,0.54,0.50,0.50,0.53,0.51,0.50,0.52,0.52,0.53,0.63,0.50,0.50,0.50,0.51,0.51,0.51,0.50,0.51,0.54,0.53,0.50,0.50,0.50,0.54,0.52,0.50,0.50,0.50,0.50,0.50,0.51,0.50,0.52,0.51,0.51,0.51,0.51,0.53,0.52,0.52
119-1,NaN,0.91,0.87,0.83,0.86,0.79,0.74,0.77,0.77,0.71,0.76,0.78,0.76,0.75,0.77,0.68,0.77,0.69,0.75,0.77,0.77,0.77,0.77,0.68,0.67,0.70,0.80,0.83,0.69,0.77,0.66,0.69,0.67,0.62,0.62,0.66,0.65,0.60,0.59,0.72,0.80,0.72,0.75,0.66,0.56,0.56,0.56,0.70,0.60,0.62,0.59,0.63,0.56,0.59,0.56,0.59,0.54,0.54,0.58
120-1,NaN,0.87,0.82,0.83,0.86,0.85,0.83,0.76,0.83,0.79,0.83,0.82,0.83,0.71,0.76,0.88,0.75,0.76,0.88,0.83,0.73,0.78,0.74,0.73,0.81,0.75,0.87,0.68,0.74,0.79,0.73,0.76,0.66,0.73,0.73,0.50,0.66,0.70,0.68,0.73,0.79,0.72,0.79,0.73,0.64,0.63,0.63,0.73,0.63,0.69,0.63,0.64,0.63,0.61,0.63,0.61,0.61,0.60,0.61
120-2,NaN,0.48,0.63,0.78,0.82,0.78,0.69,0.60,0.77,0.73,0.77,0.76,0.77,0.50,0.75,0.50,0.75,0.72,0.52,0.78,0.50,0.58,0.57,0.66,0.63,0.54,0.82,0.53,0.71,0.58,0.61,0.65,0.66,0.63,0.63,0.50,0.62,0.59,0.58,0.50,0.66,0.50,0.79,0.70,0.50,0.50,0.50,0.50,0.56,0.69,0.56,0.64,0.64,0.59,0.63,0.58,0.57,0.58,0.61
120-3,NaN,0.50,0.50,0.79,0.77,0.75,0.62,0.50,0.75,0.70,0.75,0.74,0.75,0.50,0.70,0.50,0.70,0.75,0.49,0.79,0.50,0.50,0.50,0.57,0.67,0.50,0.80,0.50,0.73,0.50,0.60,0.62,0.67,0.63,0.63,0.50,0.58,0.65,0.63,0.50,0.53,0.50,0.55,0.71,0.50,0.50,0.50,0.50,0.51,0.72,0.52,0.61,0.71,0.62,0.72,0.60,0.66,0.67,0.56
121-1,NaN,0.64,0.65,0.72,0.69,0.59,0.50,0.56,0.58,0.56,0.58,0.57,0.58,0.53,0.59,0.55,0.59,0.60,0.59,0.72,0.60,0.52,0.57,0.67,0.59,0.67,0.75,0.53,0.58,0.52,0.53,0.60,0.59,0.61,0.61,0.50,0.53,0.57,0.57,0.50,0.66,0.50,0.72,0.68,0.50,0.50,0.50,0.50,0.50,0.66,0.50,0.61,0.62,0.60,0.61,0.59,0.61,0.60,0.58
121-2,NaN,0.55,0.62,0.53,0.53,0.50,0.50,0.50,0.50,0.53,0.50,0.50,0.50,0.50,0.54,0.50,0.54,0.51,0.50,0.52,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.51,0.50,0.51,0.51,0.52,0.50,0.50,0.50,0.51,0.50,0.50,0.50,0.50,0.50,0.50,0.51,0.50,0.50,0.50,0.50,0.50,0.51,0.50,0.51,0.51,0.50,0.51,0.50,0.53,0.52,0.51
121-3,NaN,0.69,0.68,0.74,0.73,0.61,0.49,0.56,0.60,0.57,0.60,0.59,0.60,0.60,0.62,0.64,0.62,0.62,0.67,0.73,0.63,0.55,0.60,0.65,0.61,0.66,0.77,0.60,0.61,0.55,0.53,0.60,0.59,0.63,0.63,0.55,0.56,0.59,0.59,0.53,0.65,0.53,0.76,0.70,0.50,0.50,0.50,0.53,0.51,0.67,0.50,0.63,0.61,0.63,0.61,0.61,0.59,0.58,0.59
122-1,NaN,0.64,0.68,0.70,0.73,0.59,0.54,0.57,0.60,0.58,0.60,0.58,0.60,0.56,0.64,0.64,0.65,0.71,0.67,0.69,0.56,0.55,0.60,0.67,0.56,0.67,0.71,0.56,0.68,0.55,0.53,0.57,0.61,0.64,0.64,0.49,0.52,0.61,0.61,0.56,0.54,0.56,0.58,0.64,0.50,0.50,0.50,0.56,0.50,0.62,0.50,0.59,0.58,0.54,0.58,0.55,0.58,0.57,0.54
124-1,NaN,0.87,0.90,0.59,0.74,0.70,0.81,0.75,0.67,0.57,0.67,0.69,0.67,0.76,0.67,0.79,0.66,0.56,0.81,0.47,0.78,0.77,0.67,0.76,0.59,0.76,0.70,0.62,0.53,0.77,0.62,0.65,0.58,0.54,0.54,0.67,0.47,0.50,0.50,0.75,0.50,0.74,0.62,0.36,0.55,0.55,0.56,0.75,0.61,0.37,0.62,0.50,0.41,0.53,0.39,0.52,0.33,0.35,0.43
