ID-model,GO:0005575,GO:0044456,GO:0045202,GO:0031981,GO:0070013,GO:0031974,GO:0043233,GO:0044430,GO:0005929,GO:0031226,GO:0044428,GO:0005887,GO:0009986,GO:0097458,GO:0044463,GO:0015629,GO:0015630,GO:0000228,GO:0005739,GO:0044454,GO:0042995,GO:0044427,GO:0005856,GO:0044459,GO:0005694,GO:0031410,GO:0016023,GO:0000790,GO:0030424,GO:0048471,GO:0005783,GO:0000785,GO:0005912,GO:0043228,GO:0043232,GO:0030141,GO:0005634,GO:0005829,GO:0016021,GO:0043234,GO:0043005,GO:0070161,GO:0032991,GO:0005730,GO:0031224,GO:0044422,GO:0005576,GO:0005794,GO:0044446,GO:0005886,GO:0044425,GO:0030054,GO:0005911,GO:0044421,GO:0005615,GO:0030055,GO:0071944,GO:0043231,GO:0043229,GO:0044444,GO:0044424,GO:0005622,GO:0043226,GO:0005925,GO:0005789,GO:0005924,GO:0042175,GO:0043227,GO:0005768,GO:0031988,GO:0031982,GO:0031967,GO:0005737,GO:0044432,GO:0065010,GO:0043230,GO:0070062,GO:0016020,GO:0005635,GO:0044464,GO:0005623,GO:0031975,GO:0031090,GO:0012505,GO:0005654
103-1,NaN,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.51,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.58,0.51,0.50,0.50,0.51,0.50,0.57,0.50,0.50,0.50,0.50,0.52,0.53,0.50,0.50,0.50,0.50,0.50,0.53,0.50,0.49,0.50,0.50,0.50,0.49,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.51,0.50,0.51,0.51,0.53,0.50,0.50,0.50
103-2,NaN,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.51,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.64,0.51,0.50,0.50,0.51,0.50,0.62,0.50,0.50,0.50,0.50,0.54,0.54,0.50,0.50,0.50,0.50,0.50,0.54,0.50,0.49,0.50,0.50,0.50,0.49,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.52,0.50,0.51,0.51,0.53,0.50,0.50,0.50
103-3,NaN,0.65,0.68,0.54,0.53,0.54,0.53,0.59,0.59,0.50,0.54,0.50,0.50,0.59,0.53,0.54,0.60,0.50,0.73,0.50,0.57,0.62,0.60,0.51,0.64,0.62,0.63,0.50,0.60,0.50,0.62,0.60,0.54,0.61,0.61,0.55,0.64,0.49,0.65,0.55,0.55,0.54,0.54,0.63,0.63,0.61,0.56,0.55,0.61,0.60,0.65,0.55,0.55,0.52,0.54,0.54,0.59,0.63,0.61,0.61,0.61,0.60,0.57,0.54,0.57,0.54,0.57,0.57,0.56,0.51,0.50,0.60,0.59,0.58,0.50,0.50,0.50,0.62,0.54,0.56,0.56,0.59,0.64,0.60,0.50
104-1,NaN,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50
104-2,NaN,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50
104-3,NaN,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50
105-1,NaN,0.87,0.86,0.81,0.77,0.77,0.77,0.82,0.80,0.68,0.77,0.66,0.77,0.74,0.72,0.75,0.80,0.87,0.75,0.82,0.76,0.75,0.76,0.73,0.75,0.72,0.72,0.81,0.77,0.72,0.77,0.74,0.73,0.71,0.71,0.81,0.65,0.66,0.73,0.68,0.72,0.74,0.66,0.79,0.70,0.65,0.64,0.74,0.65,0.69,0.68,0.63,0.65,0.61,0.65,0.73,0.67,0.60,0.60,0.60,0.59,0.58,0.54,0.75,0.78,0.74,0.77,0.53,0.78,0.55,0.55,0.63,0.57,0.69,0.54,0.54,0.53,0.62,0.62,0.53,0.53,0.56,0.69,0.63,0.61
105-2,NaN,0.82,0.84,0.83,0.80,0.79,0.79,0.83,0.83,0.70,0.78,0.69,0.77,0.73,0.73,0.73,0.83,0.93,0.79,0.87,0.75,0.79,0.77,0.75,0.81,0.72,0.73,0.83,0.71,0.76,0.82,0.76,0.66,0.73,0.73,0.78,0.72,0.69,0.77,0.70,0.70,0.64,0.68,0.77,0.73,0.69,0.65,0.79,0.69,0.77,0.70,0.59,0.60,0.61,0.65,0.67,0.75,0.67,0.67,0.68,0.64,0.64,0.61,0.69,0.82,0.68,0.82,0.60,0.80,0.56,0.56,0.58,0.61,0.72,0.53,0.53,0.53,0.65,0.57,0.56,0.56,0.53,0.74,0.72,0.50
105-3,NaN,0.87,0.85,0.80,0.76,0.75,0.76,0.81,0.85,0.68,0.76,0.66,0.72,0.71,0.70,0.69,0.81,0.84,0.79,0.84,0.76,0.73,0.76,0.72,0.72,0.69,0.69,0.82,0.67,0.70,0.80,0.73,0.67,0.69,0.69,0.76,0.67,0.69,0.72,0.71,0.65,0.63,0.69,0.71,0.71,0.64,0.65,0.75,0.63,0.74,0.67,0.64,0.65,0.63,0.64,0.67,0.72,0.63,0.62,0.64,0.60,0.59,0.57,0.68,0.75,0.68,0.75,0.56,0.75,0.56,0.57,0.65,0.58,0.65,0.58,0.58,0.58,0.62,0.64,0.54,0.54,0.61,0.70,0.67,0.81
106-1,NaN,0.52,0.52,0.50,0.50,0.50,0.50,0.57,0.56,0.54,0.50,0.55,0.50,0.51,0.50,0.58,0.52,0.50,0.62,0.50,0.52,0.61,0.56,0.54,0.61,0.55,0.55,0.50,0.55,0.50,0.54,0.62,0.50,0.55,0.55,0.50,0.58,0.53,0.68,0.56,0.52,0.50,0.56,0.50,0.65,0.58,0.53,0.51,0.59,0.58,0.61,0.53,0.60,0.51,0.52,0.50,0.57,0.55,0.56,0.54,0.55,0.55,0.55,0.50,0.49,0.50,0.49,0.55,0.50,0.51,0.51,0.53,0.53,0.49,0.51,0.51,0.51,0.58,0.50,0.54,0.54,0.53,0.50,0.52,0.51
106-2,NaN,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50
106-3,NaN,0.52,0.52,0.49,0.49,0.49,0.49,0.56,0.56,0.54,0.49,0.55,0.50,0.51,0.50,0.58,0.52,0.50,0.56,0.50,0.52,0.62,0.56,0.54,0.62,0.55,0.55,0.50,0.55,0.50,0.51,0.63,0.50,0.54,0.54,0.50,0.57,0.53,0.64,0.56,0.52,0.50,0.56,0.50,0.63,0.58,0.52,0.51,0.58,0.58,0.57,0.53,0.60,0.51,0.52,0.50,0.57,0.54,0.55,0.53,0.54,0.54,0.55,0.50,0.50,0.50,0.50,0.54,0.50,0.51,0.51,0.53,0.52,0.50,0.51,0.51,0.51,0.53,0.50,0.52,0.52,0.53,0.50,0.50,0.50
107-1,NaN,0.86,0.85,0.76,0.72,0.70,0.71,0.79,0.81,0.60,0.71,0.58,0.71,0.72,0.70,0.72,0.79,0.86,0.74,0.82,0.74,0.72,0.73,0.69,0.74,0.77,0.76,0.78,0.62,0.70,0.79,0.71,0.56,0.71,0.71,0.78,0.65,0.68,0.78,0.69,0.62,0.55,0.68,0.79,0.74,0.59,0.64,0.77,0.58,0.69,0.67,0.58,0.57,0.61,0.59,0.58,0.66,0.58,0.57,0.63,0.55,0.55,0.56,0.58,0.80,0.58,0.80,0.54,0.75,0.56,0.56,0.69,0.59,0.73,0.53,0.53,0.52,0.60,0.69,0.50,0.51,0.66,0.72,0.68,0.74
107-2,NaN,0.72,0.67,0.80,0.76,0.75,0.76,0.79,0.78,0.68,0.76,0.68,0.72,0.68,0.67,0.64,0.77,0.82,0.79,0.77,0.70,0.76,0.73,0.73,0.78,0.62,0.62,0.73,0.59,0.70,0.83,0.70,0.68,0.68,0.68,0.55,0.77,0.63,0.72,0.67,0.67,0.66,0.65,0.72,0.68,0.68,0.63,0.74,0.68,0.78,0.68,0.62,0.58,0.62,0.61,0.69,0.77,0.71,0.70,0.67,0.66,0.66,0.64,0.69,0.78,0.69,0.78,0.63,0.78,0.55,0.56,0.62,0.61,0.70,0.54,0.54,0.53,0.65,0.60,0.59,0.59,0.65,0.69,0.71,0.78
107-3,NaN,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.54,0.50,0.55,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.53,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.49,0.53,0.64,0.51,0.50,0.50,0.51,0.50,0.62,0.49,0.50,0.50,0.49,0.53,0.55,0.50,0.50,0.50,0.50,0.50,0.54,0.49,0.49,0.50,0.50,0.50,0.48,0.50,0.50,0.50,0.50,0.48,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.52,0.50,0.51,0.51,0.53,0.50,0.50,0.50
108-1,NaN,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50
109-1,NaN,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50
110-1,NaN,0.57,0.66,0.60,0.59,0.60,0.59,0.74,0.73,0.74,0.59,0.72,0.61,0.66,0.73,0.68,0.72,0.60,0.53,0.61,0.74,0.58,0.67,0.73,0.57,0.55,0.56,0.62,0.67,0.54,0.58,0.59,0.48,0.59,0.59,0.62,0.51,0.70,0.64,0.61,0.78,0.48,0.62,0.52,0.65,0.60,0.45,0.51,0.59,0.70,0.64,0.54,0.71,0.46,0.53,0.49,0.69,0.55,0.58,0.59,0.59,0.60,0.48,0.49,0.51,0.49,0.51,0.46,0.52,0.42,0.41,0.57,0.57,0.49,0.48,0.48,0.48,0.55,0.56,0.62,0.61,0.59,0.50,0.61,0.66
110-2,NaN,0.90,0.89,0.76,0.74,0.76,0.74,0.71,0.77,0.58,0.71,0.54,0.77,0.70,0.69,0.76,0.60,0.70,0.66,0.68,0.69,0.67,0.71,0.68,0.70,0.65,0.65,0.59,0.57,0.48,0.59,0.68,0.65,0.65,0.65,0.53,0.65,0.60,0.61,0.67,0.62,0.63,0.66,0.65,0.66,0.62,0.60,0.69,0.62,0.64,0.58,0.64,0.72,0.57,0.55,0.69,0.69,0.60,0.62,0.61,0.61,0.61,0.59,0.50,0.45,0.63,0.45,0.57,0.66,0.53,0.53,0.48,0.55,0.54,0.52,0.52,0.51,0.58,0.46,0.55,0.55,0.45,0.44,0.49,0.88
110-3,NaN,0.59,0.61,0.70,0.68,0.67,0.67,0.58,0.71,0.57,0.67,0.61,0.57,0.53,0.58,0.66,0.59,0.72,0.77,0.70,0.60,0.78,0.56,0.66,0.77,0.59,0.58,0.57,0.52,0.48,0.57,0.75,0.65,0.62,0.62,0.63,0.62,0.52,0.64,0.53,0.49,0.62,0.51,0.78,0.59,0.55,0.59,0.55,0.56,0.59,0.57,0.64,0.63,0.58,0.55,0.67,0.59,0.60,0.59,0.60,0.56,0.56,0.56,0.62,0.64,0.65,0.63,0.57,0.71,0.57,0.58,0.53,0.56,0.63,0.53,0.53,0.52,0.55,0.60,0.51,0.50,0.58,0.57,0.50,0.64
111-1,NaN,0.64,0.83,0.65,0.63,0.64,0.63,0.74,0.77,0.74,0.63,0.71,0.61,0.70,0.73,0.68,0.72,0.60,0.57,0.61,0.74,0.65,0.67,0.73,0.64,0.57,0.58,0.62,0.67,0.54,0.58,0.67,0.52,0.61,0.61,0.62,0.54,0.70,0.64,0.61,0.78,0.52,0.62,0.52,0.65,0.64,0.45,0.51,0.63,0.70,0.64,0.55,0.70,0.46,0.53,0.52,0.69,0.54,0.60,0.60,0.60,0.60,0.52,0.49,0.51,0.52,0.51,0.48,0.52,0.42,0.42,0.57,0.57,0.49,0.48,0.48,0.48,0.55,0.56,0.61,0.61,0.59,0.50,0.61,0.77
111-2,NaN,0.64,0.74,0.71,0.69,0.67,0.68,0.64,0.71,0.57,0.67,0.61,0.57,0.53,0.58,0.66,0.62,0.71,0.77,0.69,0.60,0.76,0.59,0.68,0.75,0.62,0.62,0.57,0.52,0.48,0.57,0.74,0.64,0.64,0.64,0.63,0.63,0.52,0.64,0.54,0.49,0.62,0.52,0.80,0.59,0.56,0.59,0.55,0.57,0.60,0.61,0.64,0.62,0.59,0.55,0.67,0.59,0.60,0.59,0.60,0.56,0.55,0.58,0.62,0.64,0.64,0.63,0.58,0.71,0.57,0.57,0.53,0.56,0.62,0.53,0.53,0.52,0.56,0.60,0.50,0.50,0.58,0.57,0.52,0.68
111-3,NaN,0.57,0.68,0.63,0.62,0.61,0.62,0.53,0.53,0.50,0.61,0.50,0.50,0.53,0.50,0.50,0.52,0.50,0.54,0.50,0.51,0.59,0.52,0.52,0.59,0.52,0.52,0.50,0.50,0.50,0.50,0.56,0.53,0.53,0.53,0.50,0.55,0.50,0.50,0.50,0.50,0.53,0.51,0.52,0.50,0.58,0.50,0.50,0.58,0.50,0.53,0.51,0.50,0.50,0.50,0.53,0.50,0.53,0.55,0.50,0.54,0.54,0.52,0.50,0.50,0.53,0.50,0.51,0.50,0.50,0.50,0.50,0.49,0.50,0.50,0.50,0.50,0.50,0.50,0.53,0.53,0.50,0.50,0.51,0.74
112-1,NaN,0.89,0.88,0.83,0.81,0.82,0.81,0.82,0.85,0.67,0.77,0.68,0.76,0.72,0.75,0.84,0.76,0.76,0.80,0.75,0.74,0.76,0.76,0.75,0.77,0.68,0.68,0.59,0.67,0.55,0.65,0.73,0.65,0.72,0.72,0.71,0.69,0.65,0.63,0.69,0.66,0.63,0.67,0.82,0.65,0.65,0.61,0.70,0.66,0.70,0.63,0.60,0.69,0.59,0.59,0.67,0.74,0.63,0.64,0.64,0.62,0.62,0.61,0.47,0.60,0.64,0.60,0.58,0.76,0.53,0.54,0.55,0.58,0.66,0.52,0.52,0.51,0.61,0.62,0.54,0.54,0.59,0.52,0.57,0.88
112-2,NaN,0.89,0.89,0.83,0.81,0.81,0.81,0.82,0.85,0.67,0.76,0.67,0.76,0.73,0.75,0.84,0.76,0.77,0.80,0.75,0.74,0.76,0.76,0.75,0.77,0.68,0.69,0.59,0.66,0.55,0.65,0.73,0.65,0.72,0.72,0.72,0.69,0.66,0.64,0.69,0.66,0.63,0.67,0.81,0.66,0.65,0.60,0.70,0.66,0.70,0.63,0.60,0.69,0.59,0.59,0.67,0.74,0.63,0.64,0.64,0.61,0.61,0.61,0.47,0.61,0.64,0.60,0.58,0.76,0.53,0.54,0.55,0.58,0.66,0.52,0.52,0.51,0.61,0.62,0.54,0.54,0.59,0.52,0.57,0.88
112-3,NaN,0.89,0.89,0.83,0.81,0.82,0.81,0.81,0.85,0.67,0.76,0.68,0.76,0.73,0.76,0.84,0.76,0.77,0.79,0.75,0.74,0.75,0.74,0.75,0.76,0.68,0.68,0.59,0.67,0.55,0.65,0.72,0.65,0.70,0.70,0.71,0.68,0.65,0.64,0.70,0.66,0.63,0.67,0.81,0.66,0.62,0.60,0.70,0.64,0.70,0.63,0.60,0.69,0.59,0.59,0.67,0.74,0.62,0.61,0.64,0.60,0.60,0.60,0.47,0.60,0.64,0.60,0.58,0.76,0.53,0.54,0.54,0.58,0.66,0.52,0.52,0.51,0.60,0.62,0.53,0.53,0.58,0.51,0.57,0.88
113-1,NaN,0.89,0.89,0.82,0.80,0.82,0.80,0.82,0.85,0.67,0.75,0.67,0.76,0.73,0.75,0.84,0.76,0.77,0.79,0.75,0.74,0.75,0.75,0.75,0.76,0.68,0.69,0.59,0.66,0.55,0.65,0.72,0.65,0.70,0.70,0.72,0.68,0.66,0.64,0.69,0.66,0.63,0.67,0.81,0.67,0.62,0.60,0.70,0.64,0.70,0.63,0.60,0.69,0.59,0.59,0.67,0.74,0.62,0.61,0.64,0.60,0.60,0.60,0.47,0.61,0.64,0.60,0.58,0.76,0.53,0.54,0.54,0.58,0.66,0.52,0.52,0.51,0.60,0.62,0.53,0.53,0.58,0.51,0.57,0.88
